nama_kecamatan,jumlah_pus,jml_pus_kps_ksi,persentase_pus_kps_ks1,jml_pus_jkn_penerima_bantuan,persentase_pus_jkn_terima_bantuan,jml_pus_jkn_bukan_penerima_bantuan,persentase_pus_jkn_bukan_penerima_bantuan,jml_pus_jkn,persentase_pus_jkn
Sukasari,8928,3561,39.89,0,0.00,0,0.00,0,0.00
Coblong,16773,6765,40.33,56,0.33,45,0.27,101,0.60
Babakan Ciparay,21575,8388,38.88,8192,37.97,13383,62.03,21575,100.00
Bojongloa Kaler,17547,7900,45.02,7622,43.44,9813,55.92,17435,99.36
Andir,14299,10865,75.98,9691,67.77,0,0.00,9691,67.77
Cicendo,13878,9537,68.72,0,0.00,13849,99.79,13849,99.79
Sukajadi,16683,5042,30.22,0,0.00,0,0.00,0,0.00
Cidadap,8182,2625,32.08,2623,32.06,4689,57.31,7312,89.37
Bandung Wetan,4716,2036,43.17,0,0.00,0,0.00,0,0.00
Astana Anyar,9732,2382,24.48,0,0.00,0,0.00,0,0.00
Regol,12215,3666,30.01,3666,30.01,8549,69.99,12215,100.00
Batununggal,17177,9305,54.17,0,0.00,0,0.00,0,0.00
Lengkong,7416,3178,42.85,419,5.65,6997,94.35,7416,100.00
Cibeunying Kidul,26450,7909,29.90,7034,26.59,9133,34.53,16167,61.12
Bandung Kulon,13950,9682,69.41,4405,31.58,3970,28.46,8375,60.04
Kiaracondong,19305,10034,51.98,0,0.00,0,0.00,0,0.00
Bojongloa Kidul,12125,4927,40.64,2102,17.34,8972,74.00,11074,91.33
Cibeunying Kaler,10321,1993,19.31,1965,19.04,0,0.00,1965,19.04
Sumur Bandung,3647,583,15.99,0,0.00,0,0.00,0,0.00
Antapani,10154,1413,13.92,0,0.00,0,0.00,0,0.00
Bandung Kidul,4274,1902,44.50,1803,42.19,2341,54.77,4144,96.96
Buahbatu,11855,2231,18.82,0,0.00,0,0.00,0,0.00
Rancasari,12727,2546,20.00,2323,18.25,223,1.75,2546,20.00
Arcamanik,8684,3267,37.62,3267,37.62,0,0.00,3267,37.62
Cibiru,9666,3526,36.48,1346,13.93,2369,24.51,3715,38.43
Ujung Berung,20757,16969,81.75,5473,26.37,6336,30.52,11809,56.89
Gedebage,7323,2755,37.62,557,7.61,4641,63.38,5198,70.98
Panyileukan,5659,1421,25.11,786,13.89,635,11.22,1421,25.11
Cinambo,4407,1498,33.99,777,17.63,1511,34.29,2288,51.92
Mandalajati,11312,4252,37.59,4252,37.59,7060,62.41,11312,100.00
