nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,9,0,0,2,0,27,7
Coblong,6,0,0,1,1,30,2
Babakan Ciparay,0,0,0,0,0,6,3
Bojongloa Kaler,45,0,0,11,5,32,17
Andir,13,1,0,0,1,5,0
Cicendo,12,0,0,4,0,19,3
Sukajadi,108,23,0,13,0,24,29
Cidadap,7,0,0,0,0,27,0
Bandung Wetan,26,9,0,3,0,13,6
Astana Anyar,126,26,0,0,2,52,6
Regol,21,4,0,3,0,11,4
Batununggal,26,0,0,0,0,24,1
Lengkong,6,0,0,0,2,13,0
Cibeunying Kidul,6,0,0,2,0,14,0
Bandung Kulon,1,0,0,8,0,35,32
Kiaracondong,1,0,0,0,0,7,3
Bojongloa Kidul,5,0,0,0,0,3,0
Cibeunying Kaler,0,0,0,0,0,8,0
Sumur Bandung,0,0,0,0,0,13,4
Antapani,1,0,0,0,0,12,0
Bandung Kidul,1,0,0,0,1,17,0
Buahbatu,7,0,0,0,0,26,0
Rancasari,3,0,0,1,0,35,3
Arcamanik,5,0,0,1,0,3,2
Cibiru,3,0,0,0,0,35,0
Ujung Berung,2,0,0,0,0,15,10
Gedebage,8,0,0,0,0,12,17
Panyileukan,1,0,0,0,0,7,0
Cinambo,88,16,0,0,0,3,0
Mandalajati,2,0,0,0,0,4,0
