nama_aplikasi,pemilik,tautan,status,jenis_platform,kepemillikan
Anti Pencucian Uang,PD BPR,,dioperasikan,web,sendiri
Aplikasi Absensi RSUD,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Administrasi Bedah,RSUD Kota Bandung,,direncanakan,desktop,sendiri
Aplikasi Admisi Rawat Inap,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Admisi Rawat Jalan,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Agenda Walikota,TU Setda,http://jadwalkpp.bandung.go.id,diujicoba,multiplatform,sendiri
Aplikasi Anjungan Informasi,RSKIA,,dioperasikan,web,sendiri
Aplikasi Antrian,RSKIA,,dioperasikan,desktop,sendiri
Aplikasi Antrian Langsung,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Antrian Mobile (Native to Device),RSUD Kota Bandung,,direncanakan,mobile,sendiri
Aplikasi Antrian SMS,RSUD Kota Bandung,,dioperasikan,mobile,sendiri
Aplikasi Antrian Web,RSUD Kota Bandung,,direncanakan,web,sendiri
Aplikasi Apotek,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi ASB,DPKAD,http://asb.bandung.go.id,dibangun,multiplatform,sendiri
Aplikasi Aset Pemkot,DPKAD,,direncanakan,web,sendiri
Aplikasi baca meter web Bimasakti,PDAM Tirtawening,,dioperasikan,multiplatform,sendiri
Aplikasi Catat Meter,PDAM Tirtawening,,dioperasikan,multiplatform,sendiri
Aplikasi Cicilan PB,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Aplikasi CSSD,RSUD Kota Bandung,,direncanakan,desktop,sendiri
Aplikasi DAPODIK,K/L Pusat,,dioperasikan,web,dari pusat
Aplikasi Dapur,RSUD Kota Bandung,,direncanakan,desktop,sendiri
Aplikasi Dashboard Pembangunan,Bappeda,,dibangun,web,sendiri
Aplikasi Depo Obat,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Disposisi Surat,Distarcip,,tidak operasional,web,sendiri
aplikasi disposisi surat,Satpol PP,,diujicoba,web,sendiri
Aplikasi Disposisi Surat Pemkot Bandung,Diskominfo,http://surat-diskominfo.bandung.go.id,diujicoba,multiplatform,sendiri
aplikasi e-Remunerasi Kinerja,BKD,,diujicoba,web,sendiri
Aplikasi Gaji dan Tunjangan,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Gawat Darurat,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Gizi dan Penimbangan Balita,Dinkes,,dioperasikan,desktop,sendiri
Aplikasi Gudang Obat,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Hasil Survey Percepatan PK,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Aplikasi IPSRS,RSUD Kota Bandung,,direncanakan,desktop,sendiri
Aplikasi Kartu SEP,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Kas Kecil,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Aplikasi Kasir,RSUD Kota Bandung,,dioperasikan,web,sendiri
Aplikasi Kearsipan,Disdukcapil,,dioperasikan,desktop,sendiri
Aplikasi Kepegawaian,Satpol PP,,diujicoba,web,sendiri
Aplikasi Kepuasan Pasien,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Laboratorium Patologi Anatomi,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Laboratorium Patologi Klinik,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Lapor,Satpol PP,,diujicoba,mobile,sendiri
Aplikasi laporan kerja harian,Satpol PP,,diujicoba,web,sendiri
Aplikasi Management Komputer,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Aplikasi Meja Pegawai,RSUD Kota Bandung,,direncanakan,desktop,sendiri
Aplikasi Meja Pembuat Keputusan (Mini BCC),RSUD Kota Bandung,,direncanakan,desktop,sendiri
Aplikasi Mitigasi Bencana,Dinsos,,direncanakan,desktop,sendiri
Aplikasi Monev Pembangunan Fisik,BPSDA,,tidak operasional,web,sendiri
Aplikasi monitoring AMR,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Aplikasi Monitoring Anggaran,PDAM Tirtawening,,dioperasikan,desktop,sendiri
