NO,PENDIDIKAN UMUM & MATA PENCAHARIAN,WNI PRIA,WNI WANITA,WNA PRIA,WNA WANITA
1,Tidak/belum sekolah,1474,1557,0,0
2,Tidak tamat SD,606,781,0,0
3,Belum tamat SD,1115,1075,0,0
4,Tamat SD,1854,2088,0,0
5,SLP,2186,2243,0,0
6,SLA,2869,2682,0,0
7,Akademi/Sarjana Muda,574,433,0,0
8,Sarjana,608,494,0,0
1,Pegawai Negeri,852,443,0,0
2,ABRI,600,4,0,0
3,Pegawai swasta,2577,2534,0,0
4,Tani,345,261,0,0
5,Dagang,961,1185,0,0
6,Pelajar,2126,2139,0,0
7,Mahasiswa,361,384,0,0
8,Pensiunan,468,351,0,0
9,lain-lain,3303,4406,0,0
,JUMLAH ,11593,11707,0,0
