lokasi,nama_komoditas,2016-09-01,2016-09-02,2016-09-06,2016-09-07,2016-09-08,2016-09-09,2016-09-13,2016-09-14,2016-09-15,2016-09-16,2016-09-19,2016-09-21,2016-09-22,2016-09-23,2016-09-26,2016-09-27,2016-09-28,2016-09-30,2016-09-05,,,
Pasar Andir,Beras Medium,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,,
Pasar Andir,Cabe Merah,25000,25000,50000,50000,50000,55000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,50000,,,
Pasar Andir,Bawang Merah,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,,,
Pasar Andir,Daging Ayam Ras,31000,31000,31000,31000,31000,33000,34000,34000,34000,34000,32000,32000,32000,32000,32000,32000,32000,32000,31000,,,
Pasar Andir,Telur Ayam Ras,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,19000,19000,19000,19000,20000,,,
Pasar Andir,Daging Sapi,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,,,
Pasar Andir,Minyak Goreng,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,,,
Pasar Andir,Gula Pasir,16000,16000,16000,16000,10000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,,,
Pasar Andir,Kentang,18000,18000,18000,18000,18000,18000,0,18000,18000,18000,18000,18000,18000,18000,15000,15000,15000,15000,18000,,,
Pasar Andir,Kedelai,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,0,0,11000,11000,11000,,,
Pasar Andir,Tepung Terigu,7500,7500,7500,7500,0,7500,7500,7500,7500,7500,0,7500,7500,7500,7500,7500,7500,7500,7500,,,
Pasar Andir,Bawang Putih,35000,35000,0,35000,35000,35000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,35000,,,
Pasar Andir,Cabe Keriting,25000,25000,40000,40000,40000,50000,40000,40000,0,40000,40000,0,40000,40000,40000,40000,40000,40000,40000,,,
Pasar Andir,Cabe Rawit,35000,35000,55000,55000,55000,55000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,55000,,,
Pasar Andir,Kacang Tanah,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,0,28000,28000,,,
Pasar Andir,Ubi Kayu,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,,
Pasar Andir,Ubi Jalar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Pasar Andir,Jagung,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,,,
Pasar Andir,Ikan Olahan,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,,,
Pasar Andir,Beras Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Pasar Andir,Minyak Goreng Curah,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,,,
Pasar Andir,Daging Ayam Kampung,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,,,
Pasar Andir,Telur Ayam Kampung,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,,,
Pasar Andir,Susu Kental Manis Merk Bendera,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,,,
Pasar Andir,Susu Kental Manis Merk Indomilk,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,,,
Pasar Andir,Garam Beryodium Bata,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,
Pasar Andir,Garam Beryodium Halus,5000,5000,5000,5000,5000,5000,5000,5000,5000,0,5000,5000,5000,5000,5000,5000,5000,5000,5000,,,
Pasar Andir,Tepung Terigu Cakra Kembar,7500,0,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,0,0,,,
Pasar Andir,Tepung Terigu Kunci,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,,,
Pasar Andir,Mie Instan,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,,
Pasar Andir,Cabe Rawit Hijau,30000,30000,30000,30000,30000,40000,30000,0,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000,,,
Pasar Andir,Kacang Hijau,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,,,
Pasar Andir,Susu Bubuk Dancow,35000,35000,35000,35000,35000,0,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,,,
Pasar Andir,Susu Bubuk Indomilk,0,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,,,
Pasar Andir,Ikan Kembung,32000,32000,32000,0,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,,,
