nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,3,0,0,2,4,17,9
Coblong,20,0,0,1,1,37,2
Babakan Ciparay,5,0,0,0,1,7,2
Bojongloa Kaler,3,0,0,10,0,34,20
Andir,15,0,0,1,1,17,1
Cicendo,14,0,0,2,0,21,6
Sukajadi,92,23,0,20,13,16,27
Cidadap,8,21,0,3,0,34,2
Bandung Wetan,12,5,0,7,0,13,7
Astana Anyar,76,20,0,0,1,42,3
Regol,12,0,0,2,0,48,0
Batununggal,21,0,0,0,0,19,0
Lengkong,2,0,0,0,0,17,2
Cibeunying Kidul,6,0,0,1,0,18,0
Bandung Kulon,2,1,0,27,0,67,19
Kiaracondong,14,0,0,12,0,23,5
Bojongloa Kidul,4,0,0,0,0,2,0
Cibeunying Kaler,0,0,0,0,0,3,0
Sumur Bandung,6,0,0,0,5,14,8
Antapani,0,0,0,1,0,18,2
Bandung Kidul,3,0,0,0,0,25,1
Buahbatu,8,0,0,1,1,30,0
Rancasari,6,0,0,0,0,23,0
Arcamanik,4,0,0,0,0,21,1
Cibiru,5,0,0,0,1,22,6
Ujung Berung,1,0,0,5,0,30,0
Gedebage,9,0,0,0,1,22,31
Panyileukan,0,0,0,0,0,8,0
Cinambo,78,10,0,0,2,3,0
Mandalajati,12,0,0,3,11,24,4
