id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
6335676,"Belanja Modal peralatan dan mesin - Pengadaan kendaraan bermotor roda Dua/Sepeda motor",293400000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","DINAS PELAYANAN PAJAK",2016,"Pengadaan Kendaraan Dinas/Operasional",Modal,Barang,"1 paket","Kota Bandung","Tersedianya Kendaraan bermotor roda dua untuk operasional Disyanjak",APBD," 293400000",1.20.1.20.08.02.05.5.2.3.17.05,E-Purchasing,04-02-2016,31-03-2016,01-04-2016,30-06-2016
7561013,"Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Jaringan(tap modem)",3000000000,"Lelang Sederhana",APBD,"Pemerintah Daerah Kota Bandung","DINAS PELAYANAN PAJAK",2016,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,1,"Kota Bandung","Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Jaringan(tap modem)",APBD," 3000000000",1.20.1.20.08.01.13.5.2.3.29.06,"Lelang Sederhana",13-06-2016,20-07-2016,20-07-2016,19-10-2016,"Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Jaringan(tap modem) (7560963) "
6327580,"Belanja Bahan bakar minyak",1728600000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PELAYANAN PAJAK",2016,"Penyediaan Jasa pemeliharaan dan Perizinan Kendaraan Dinas/Operasional",Barang/jasa,Barang,"1 Tahun","Kota Bandung","Tersedianya Bahan Bakar Minyak untuk Kendaraan Dinas/Operasional",APBD," 1728600000",1.20.1.20.08.01.06.5.2.2.05.03,"Penunjukan Langsung",04-02-2016,31-12-2016,04-02-2016,31-12-2016
6500280,"Belanja Modal peralatan dan Mesin - Pengadaan Personal Komputer (Note Book)",184447426,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","DINAS PELAYANAN PAJAK",2016,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 paket","Kota Bandung","Tersedianya Note Book",APBD," 184447426",1.20.1.20.08.01.13.5.2.3.29.02,E-Purchasing,01-06-2016,29-07-2016,01-06-2016,29-07-2016
7700219,"Belanja Modal peralatan dan Mesin - Pengadaan Alat Penyimpanan Perlengkapan kantor ( Filling Besi/Metal)",48900000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PELAYANAN PAJAK",2016,"Penyediaan Peralatan dan Perlengkapan kantor",Modal,Barang,"1 paket","Kota Bandung","Tersedianya Filling Besi/Metal",APBD," 48900000",1.20.1.20.08.01.13.5.2.3.27.04,"Pengadaan Langsung",01-06-2016,29-07-2016,01-06-2016,29-07-2016,"Belanja Modal peralatan dan Mesin - Pengadaan Alat Penyimpanan Perlengkapan kantor ( Filling Besi/Metal) (6500056) "
6328995,"Belanja Alat Tulis kantor",198200000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PELAYANAN PAJAK",2016,"Penyediaan Alat Tulis Kantor",Barang/jasa,Barang,"1 Tahun","Kota Bandung","Tersedianya Alat Tulis kantor",APBD," 198200000",1.20.1.20.08.01.10.5.2.2.01.01,"Pengadaan Langsung",04-02-2016,31-03-2016,01-04-2016,30-06-2016
6356542,"Belanja Pekerjaan Jasa Konsultasi yang di swakelolakan",50000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PELAYANAN PAJAK",2016,"Intensifikasi dan Ekstensifikasi sumber-sumber pendapatan daerah",Barang/jasa,"Jasa Konsultansi","1 Paket","Kota Bandung","Belanja Pekerjaan Jasa Konsultasi yang di swakelolakan",APBD," 50000000",1.20.1.20.08.17.19.5.2.2.21.07,"Pengadaan Langsung",01-04-2016,31-05-2016,01-05-2016,30-06-2016
6413775,"Belanja kawat/faksimili/internet/intranet/TV kabel/ TV satelit",1100000000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","DINAS PELAYANAN PAJAK",2016,"Perencanaan dan pengembangan kebijakan komunikasi dan informasi pajak daerah",Barang/jasa,Barang,"1 Tahun","Kota Bandung","Belanja kawat/faksimili/internet/intranet/TV kabel/ TV satelit",APBD," 1100000000",1.20.1.20.08.40.12.5.2.2.03.06,E-Purchasing,09-02-2016,30-12-2016,09-02-2016,30-12-2016
6418994,"Belanja penggandaan",30000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PELAYANAN PAJAK",2016,"Penetapan NJOP klasifikasi bumi dan bangunan setiap kelurahan",Barang/jasa,Barang,"1 Tahun","Kota Bandung","Belanja penggandaan",APBD," 30000000",1.20.1.20.08.40.02.5.2.2.06.02,"Pengadaan Langsung",09-02-2016,31-03-2016,01-03-2016,31-05-2016
7584344,"Belanja Sosialisasi",85000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PELAYANAN PAJAK",2016,"Sosialisasi Peraturan Perundang-undangan",Barang/jasa,Barang,1,"Kota Bandung","Belanja Sosialisasi",APBD," 85000000",1.20.1.20.08.01.05.02.5.2.2.17.02,"Pengadaan Langsung",27-06-2016,12-07-2016,13-07-2016,15-07-2016
6357597,"Belanja Cetak",93750000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PELAYANAN PAJAK",2016,"Analisa data bahan penyusunan verifikasi,otorisasi dan pembukuan pajak pendaftaran",Barang/jasa,Barang,"1 Paket","Kota Bandung","Belanja Cetak",APBD," 93750000",1.20.1.20.08.40.14.5.2.2.06.01,"Pengadaan Langsung",05-02-2016,29-02-2016,05-02-2016,31-03-2016
7684886,"Belanja Modal peralatan dan Mesin - Pengadaan Alat Penyimpanan Perlengkapan kantor ( Rak Besi/Metal)",98600000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PELAYANAN PAJAK",2016,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 paket","Kota Bandung","Tersedianya Rak Besi/Metal",APBD," 98600000",1.20.1.20.08.01.13.5.2.3.27.04,"Pengadaan Langsung",01-06-2016,29-07-2016,01-06-2016,29-07-2016,"Belanja Modal peralatan dan Mesin - Pengadaan Alat Penyimpanan Perlengkapan kantor ( Rak Besi/Metal) (6500157) "
6362613,"Belanja makanan dan minuman kegiatan",175000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PELAYANAN PAJAK",2016,"Bimbingan teknis implementasi peraturan perundang-undangan",Barang/jasa,Barang,"1 Tahun","Kota Bandung","Belanja makanan dan minuman kegiatan",APBD," 175000000",1.20.1.20.08.05.03.5.2.2.11.05,"Pengadaan Langsung",05-02-2016,31-10-2016,05-02-2016,31-10-2016
6445563,"Belanja jasa konsultansi penelitian",49000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PELAYANAN PAJAK",2016,"Analisa dan evaluasi pemungutan pajak daerah/survey kepuasan WP atas pelayanan pajak",Barang/jasa,"Jasa Konsultansi","1 Paket","Kota Bandung","Belanja jasa konsultansi penelitian",APBD," 49000000",1.20.1.20.08.40.06.5.2.2.21.01,"Pengadaan Langsung",01-04-2016,31-05-2016,01-06-2016,30-11-2016
7685021,"Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Jaringan (Peralatan Jaringan Lain-lain)",193200000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PELAYANAN PAJAK",2016,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 paket","Kota Bandung","Tersedianya Peralatan jaringan lain-lain di disyanjak",APBD," 193200000",1.20.1.20.08.01.13.5.2.3.29.06,"Pengadaan Langsung",04-02-2016,29-07-2016,04-02-2016,29-07-2016,"Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Jaringan (Peralatan Jaringan Lain-lain) (6333970) "
6420303,"Belanja jasa konsultansi perencanaan (Belanja jasa konsultansi perencanaan pemutakhiran data PBB Bandung Utara dan Bandung Tengah)",950000000,"Seleksi Umum",APBD,"Pemerintah Daerah Kota Bandung","DINAS PELAYANAN PAJAK",2016,"Penetapan NJOP klasifikasi Bumi dan Bangunan setiap Kelurahan",Barang/jasa,"Jasa Konsultansi","1 Paket","Kota Bandung","Belanja jasa konsultansi perencanaan (Belanja jasa konsultansi perencanaan pemutakhiran data PBB Bandung Utara dan Bandung Tengah)",APBD," 950000000",1.20.1.20.08.40.02.5.2.2.21.02,"Seleksi Umum",09-02-2016,29-04-2016,01-04-2016,31-10-2016
