"no_reg","alamat_lokasi","nama_kelurahan","nama_kecamatan"
"0001/KRK-DISTARCIP/I-2013","SUKAJADI NO.235/182 A","Cipedes","Sukajadi"
"0002/KRK-DISTARCIP/I-2013","SANINTEN NO.12","Cihapit","Bandung Wetan"
"0003/KRK-DISTARCIP/I-2013","KEMBAR TENGAH NO. 33","Cigereleng","Regol"
"0004/KRK-DISTARCIP/I-2013","PELANGI II NO. 7","Antapani Kulon","Antapani"
"0005/KRK-DISTARCIP/I-2013","PURNAWARMAN NO. 29","Taman Sari","Bandung Wetan"
"0006/KRK-DISTARCIP/I-2013","ARIA TIMUR VI NO. F. 6","Cipamokolan","Rancasari"
"0007/KRK-DISTARCIP/I-2013","JL. GUNTURSARI NO. 6","Turangga","Lengkong"
"0008/KRK-DISTARCIP/I-2013","TERUSAN JAKARTA NO. 310","Sukamiskin","Arcamanik"
"0009/KRK-DISTARCIP/I-2013","TERUSAN JAKARTA NO. 320","Sukamiskin","Arcamanik"
"0010/KRK-DISTARCIP/I-2013","JL. KOPO","Cirangrang","Babakan Ciparay"
"0011/KRK-DISTARCIP/I-2013","KOPO. GG. H MUKTI NO.9","Situsaer","Bojongloa Kidul"
"0012/KRK-DISTARCIP/I-2013","BKR 94","Ancol","Regol"
"0013/KRK-DISTARCIP/I-2013","ASTINA. GG SUKASINGKIR NO.2","Pamoyanan","Cicendo"
"0014/KRK-DISTARCIP/I-2013","BLOK SAPATU","Cibaduyut","Bojongloa Kidul"
"0015/KRK-DISTARCIP/I-2013","TERUSAN JAKARTA NO. 322","Sukamiskin","Arcamanik"
"0016/KRK-DISTARCIP/I-2013","CIGAGAK","Cipadung","Cibiru"
"0017/KRK-DISTARCIP/I-2013","PURI DAGO SELATAN NO. 83","Sukamiskin","Arcamanik"
"0018/KRK-DISTARCIP/I-2013","SEKAR GAMBIR II NO.4","Turangga","Lengkong"
"0019/KRK-DISTARCIP/I-2013","GOLF IV NO. 49","Cisaranten Bina Harapan","Arcamanik"
"0020/KRK-DISTARCIP/I-2013","SATURNUS RAYA NO. 74","Manjahlega","Rancasari"
"0021/KRK-DISTARCIP/I-2013","NUANSA MAS B-17","Cipamokolan","Rancasari"
"0022/KRK-DISTARCIP/I-2013","KP. TANJAKAN","Jatihandap","Mandalajati"
"0023/KRK-DISTARCIP/I-2013","CIPEDES ATAS NO. 90","Gegerkalong","Sukasari"
"0024/KRK-DISTARCIP/I-2013","BABAKAN SUKATMA","Jatihandap","Mandalajati"
"0025/KRK-DISTARCIP/I-2013","CISADEA NO. 32","Sukamaju","Cibeunying Kidul"
"0026/KRK-DISTARCIP/I-2013","MEKARSARI","Babakan Surabaya","Kiaracondong"
"0027/KRK-DISTARCIP/I-2013","CIKUDAPATEUH KOLOT NO. 186/116","Cibangkong","Batununggal"
"0028/KRK-DISTARCIP/I-2013","MEKAR MULYA NO. 9","Cijerah","Bandung Kulon"
"0029/KRK-DISTARCIP/I-2013","BANYUBIRU","Mekar Jaya","Rancasari"
"0030/KRK-DISTARCIP/I-2013","KOMP. DAICHI NO. 3 F + 3 G","Cicaheum","Kiaracondong"
"0031/KRK-DISTARCIP/I-2013","TERATAI VII NO. 9","Cipadung Kidul","Panyileukan"
"0032/KRK-DISTARCIP/I-2013","SRIMAHI DALAM I","Ancol","Regol"
"0033/KRK-DISTARCIP/I-2013","CIDURIAN UTARA NO. 21","Padasuka","Cibeunying Kidul"
"0034/KRK-DISTARCIP/I-2013","SASMITAPURA NO.15","Kebon Jeruk","Andir"
"0035/KRK-DISTARCIP/I-2013","MALANGBONG","Antapani Wetan","Antapani"
"0036/KRK-DISTARCIP/I-2013","JL. PASIR IMPUN","Pasir Impun","Mandalajati"
"0037/KRK-DISTARCIP/I-2013","RIUNG ARUM TIMUR III","Cisaranten Kidul","Gedebage"
"0038/KRK-DISTARCIP/I-2013","JL. BABAKAN BARU","Sukapada","Cibeunying Kidul"
"0039/KRK-DISTARCIP/I-2013","KOMP.GADING REGENCI KAV. 11","Cisaranten Endah","Arcamanik"
"0040/KRK-DISTARCIP/I-2013","JL. KAWALUYUAN INDAH XVII. NO.21","Jati Sari","Buahbatu"
"0041/KRK-DISTARCIP/I-2013","JL. SUKASENANG III NO.8","Cikutra","Cibeunying Kidul"
"0042/KRK-DISTARCIP/I-2013","KP CIJAMBE","Pasir Endah","Ujungberung"
"0043/KRK-DISTARCIP/I-2013","PERMATA ELOK III. AB-22A","Cisaranten Kulon","Arcamanik"
"0044/KRK-DISTARCIP/I-2013","CIPADUNG NO. 433","Cipadung","Cibiru"
"0045/KRK-DISTARCIP/I-2013","RADEN GANDA II NO. 99","Sukaraja","Cicendo"
"0046/KRK-DISTARCIP/I-2013","PERMATA ELOK III. AB-22A","Cisaranten Kulon","Arcamanik"
"0047/KRK-DISTARCIP/I-2013","PERMATA PERMAI VIII","Cisaranten Kulon","Arcamanik"
"0048/KRK-DISTARCIP/I-2013","PLN II NO. 14","Ciateul","Regol"
"0049/KRK-DISTARCIP/I-2013","JL. KIARA SARI UTAMA RAYA NO. 35 A BANDUNG","Margasari","Buahbatu"
"0050/KRK-DISTARCIP/I-2013","PARAKAN INDAH RAYA NO.8 B","Batununggal","Bandung Kidul"
"0051/KRK-DISTARCIP/I-2013","JL. KOMP. BATUMAS III KAV. G-8","Pasirluyu","Regol"
"0052/KRK-DISTARCIP/I-2013","JL. CIWASTRA","Mekar Jaya","Rancasari"
"0053/KRK-DISTARCIP/I-2013","JL. MEGA ASRI II NO. C1","Campaka","Andir"
"0054/KRK-DISTARCIP/I-2013","RANCACILI","Mekar Jaya","Rancasari"
"0055/KRK-DISTARCIP/I-2013","JL. SEKELIMUS BARAT","Batununggal","Bandung Kidul"
