lokasi,nama_komoditas,2014-01-01,2014-01-02,2014-01-03,2014-01-04,2014-01-05,2014-01-06,2014-01-07,2014-01-08,2014-01-09,2014-01-10,2014-01-11,2014-01-12,2014-01-13,2014-01-14,2014-01-15,2014-01-16,2014-01-17,2014-01-18,2014-01-19,2014-01-20,2014-01-21,2014-01-22,2014-01-23,2014-01-24,2014-01-25,2014-01-26,2014-01-27,2014-01-28,2014-01-29,2014-01-30,2014-01-31
"Pasar Andir","Beras Medium",8500,0,0,8500,8500,0,0,8500,8500,8500,8500,8500,0,0,8500,0,8500,8500,8500,0,0,8500,8500,8500,8500,8500,0,0,8500,8500,8500
"Pasar Andir","Cabe Merah",38000,0,0,38000,38000,0,0,38000,38000,38000,38000,38000,0,0,38000,0,38000,38000,38000,0,0,38000,38000,38000,38000,38000,0,0,38000,38000,38000
"Pasar Andir","Bawang Merah",25000,0,0,25000,25000,0,0,25000,25000,25000,24000,24000,0,0,18000,0,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,20000
"Pasar Andir","Daging Ayam Ras",27000,0,0,27000,27000,0,0,27000,27000,27000,27000,27000,0,0,27000,0,27000,27000,27000,0,0,27000,27000,27000,27000,27000,0,0,27000,27000,27000
"Pasar Andir","Telur Ayam Ras",18000,0,0,18000,18000,0,0,18000,18000,18000,18000,19000,0,0,19000,0,19000,19000,19000,0,0,19000,19000,19000,19000,19000,0,0,19000,19000,20000
"Pasar Andir","Daging Sapi",95000,0,0,95000,95000,0,0,95000,95000,95000,95000,95000,0,0,95000,0,95000,95000,95000,0,0,95000,95000,95000,95000,95000,0,0,95000,95000,95000
"Pasar Andir","Minyak Goreng",12000,0,0,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,0,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000
"Pasar Andir","Gula Pasir",11000,0,0,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,0,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000
"Pasar Andir",Kentang,12000,0,0,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,0,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000
"Pasar Andir",Kedelai,12000,0,0,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,0,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000
"Pasar Andir","Tepung Terigu",7000,0,0,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,0,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000
"Pasar Andir","Bawang Putih",12000,0,0,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,0,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000
"Pasar Andir","Cabe Keriting",38000,0,0,38000,38000,0,0,38000,38000,38000,38000,38000,0,0,38000,0,38000,38000,38000,0,0,38000,38000,38000,38000,38000,0,0,38000,38000,38000
"Pasar Andir","Cabe Rawit",37000,0,0,37000,37000,0,0,37000,37000,37000,37000,37000,0,0,37000,0,37000,37000,37000,0,0,37000,37000,37000,37000,37000,0,0,37000,37000,37000
"Pasar Andir","Kacang Tanah",17000,0,0,17000,17000,0,0,17000,17000,17000,17000,17000,0,0,17000,0,17000,17000,17000,0,0,17000,17000,17000,17000,17000,0,0,17000,17000,17000
"Pasar Andir","Ubi Kayu",3000,0,0,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,0,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000
"Pasar Andir","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir",Jagung,7000,0,0,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,0,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000
"Pasar Andir","Ikan Olahan",40000,0,0,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,0,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000
"Pasar Andir","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Minyak Goreng Curah",11500,0,0,11500,11500,0,0,11500,11500,11500,11500,11500,0,0,10000,0,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000
"Pasar Andir","Daging Ayam Kampung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Telur Ayam Kampung",29000,0,0,29000,29000,0,0,29000,29000,29000,29000,29000,0,0,29000,0,29000,29000,29000,0,0,29000,29000,29000,29000,29000,0,0,29000,29000,29000
"Pasar Andir","Susu Kental Manis Merk Bendera",8500,0,0,8500,8500,0,0,8500,8500,8500,8500,8500,0,0,8500,0,8500,8500,8500,0,0,8500,8500,8500,8500,8500,0,0,8500,8500,8500
"Pasar Andir","Susu Kental Manis Merk Indomilk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Garam Beryodium Bata",1000,0,0,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,0,1000,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000
"Pasar Andir","Garam Beryodium Halus",3000,0,0,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,0,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000
"Pasar Andir","Tepung Terigu Cakra Kembar",7500,0,0,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,0,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500
"Pasar Andir","Tepung Terigu Kunci",6500,0,0,6500,6500,0,0,6500,6500,6500,6500,6500,0,0,6500,0,6500,6500,6500,0,0,6500,6500,6500,6500,6500,0,0,6500,6500,6500
"Pasar Andir","Mie Instan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Cabe Rawit Hijau",15000,0,0,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,0,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000
"Pasar Andir","Kacang Hijau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Susu Bubuk Dancow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Susu Bubuk Indomilk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Ikan Kembung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
