id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
6427455,"Pengadaan Personal Komputer P.C/Komputer PC",200000000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Penyediaan Peralatan Dan Perlengkapan Kantor",Barang/jasa,Barang,1,"Jl Rumah Sakit No 22 Ujung Berung Kota Bandung","Tersedianya Peralatan dan Perlengkapan Perkantoran",APBD," 200000000",1.02.1.02.02.01.01.13.5.2.3.29.02,E-Purchasing,01-03-2016,31-03-2016,01-04-2016,30-04-2016,"Pengadaan Personal Komputer P.C/Komputer PC (5035565) "
8481698,"Belanja Bahan Makanan Dan Minuman Pasien Bulan Januari s.d Juni 2017",1003202500,"Lelang Sederhana",BLUD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Kegiatan Pelayanan ",Barang/jasa,Barang,1,"JL Rumah Sakit No 22 Ujung Berung Kota Bandung","Belanja Bahan Makanan Dan Minuman Pasien Bulan Januari s.d Juni 2017",BLUD," 1003202500",1.02.1.02.02.02.33.001.5.2.2.26.01,"Lelang Sederhana",13-12-2016,31-12-2016,01-01-2017,30-06-2017
8218109,"Belanja Modal Peralatan Dan Mesin Pengadaan Alat Kedokteran Umum",2922706688,e-Purchasing,APBDP,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Peningkatan derajat kesehatan masyarakat dengan penyediaan fasilitas perawatan kesehatan bagi penderita akibat dampak asap rokok",Barang/jasa,Barang,1,"Jl Rumah Sakit No 22 Ujung Berung Kota Bandung","Tersedianya alat-alat kesehatan",APBDP," 2922706688",1.02.1.02.02.01.21.06.5.2.3.34.01,E-Purchasing,18-11-2016,22-11-2016,22-11-2016,05-12-2016,"Belanja Modal Peralatan Dan Mesin Pengadaan Alat Kedokteran Umum (6426367) "
6425765,"Belanja Obat-obatan",531100000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Pengadaan Obat Dan Perbekalan Kesehatan",Barang/jasa,Barang,1,"Jl Rumah Sakit No 22 Ujung Berung Kota Bandung","Tersedianya Obat Dan Perbekalan Kesehatan",APBD," 531100000",1.02.1.02.02.01.15.01.5.2.2.02.04,E-Purchasing,10-02-2016,29-02-2016,01-03-2016,30-05-2016,"Belanja Obat-obatan (5035709) "
6427517,"Pengadaan Alat Kantor Lainnya Mesin Antrian",88500000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Penyediaan Peralatan Dan Perlengkapan Kantor",Barang/jasa,Barang,1,"Jl Rumah Sakit No 22 Ujung Berung Kota Bandung","Tersedianya Peralatan dan Perlengkapan Perkantoran",APBD," 88500000",1.02.1.02.02.01.01.13.5.2.3.27.05,E-Purchasing,15-03-2016,31-03-2016,01-04-2016,30-04-2016,"Pengadaan Alat Kantor Lainnya Mesin Antrian (5035533) "
7836411,"Belanja kursus-kursus singkat / Pelatihan Outbound",169950000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Pembinaan Kinerja Aparatur",Barang/jasa,"Jasa Lainnya",1,"Jl Rumah Sakit No 22 Ujung Berung Kota Bandung","Meningkatnya kinerja aparatur / pelayanan",APBD," 169950000",1.02.1.02.02.01.05.04.5.2.2.17.01,"Pengadaan Langsung",03-10-2016,08-10-2016,11-10-2016,20-10-2016
5035789,"Belanja Bahan Makanan Dan Minuman Pasien Bulan Januari - Juni 2016",1000000000,"Lelang Sederhana",N/A,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Kegiatan Pelayanan",Barang/jasa,Barang,1,"jl Rumah Sakit No 22 Ujung Berung Kota Bandung","Tersedianya Bahan Makanan Dan Minuman Pasien",BLUD," 1000000000",1.02.1.02.02.33.01.5.2.2.26.01,"Lelang Sederhana",10-12-2015,31-12-2016,01-01-2016,30-06-2016
6260579,"Belanja Modal Peralatan dan Mesin- Pengadaan Alat Kedokteran Umum",3490000000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Pengadaan Alat-alat Kesehatan (DAK)",Modal,Barang,"1 paket","RSUD Kota Bandung","Belanja Modal Peralatan dan Mesin- Pengadaan Alat Kedokteran Umum",APBD," 3490000000",1.02.1.02.02.26.27.5.2.3.34.01,E-Purchasing,02-02-2016,29-02-2016,09-02-2016,16-05-2016
6427674,"Pengadaan Alat Kantor Lainnya Mesin Absensi",50000000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Penyediaan Peralatan Dan Perlengkapan Kantor",Barang/jasa,Barang,1,"Jl Rumah Sakit No 22 Ujung Berung Kota Bandung","Tersedianya Peralatan dan Perlengkapan Perkantoran",APBD," 50000000",1.02.1.02.02.01.01.13.5.2.3.27.05,E-Purchasing,15-03-2016,31-03-2016,01-04-2016,30-04-2016,"Pengadaan Alat Kantor Lainnya Mesin Absensi (5035507) "
6426679,"Belanja Pakaian Dinas Harian (PDH)",136715000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Pengadaan pakaian khusus hari-hari tertentu",Barang/jasa,Barang,1,"Jl Rumah Sakit No 22 Ujung Berung Kota Bandung","Pakaian Khusus hari-hari tertentu",APBD," 136715000",1.02.1.02.02.01.03.05.5.2.2.12.04,"Pengadaan Langsung",01-03-2016,31-03-2016,01-04-2016,31-05-2016,"Belanja Pakaian Dinas Harian (PDH) (5035665) "
6427012,"Belanja Pakaian Perlindungan Masyarakat",136115000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Pengadaan pakaian khusus hari-hari tertentu",Barang/jasa,Barang,1,"Jl Rumah Sakit No 22 Ujung Berung Kota Bandung","Pakaian khusus hari-hari tertentu",APBD," 136115000",1.02.1.02.02.01.03.05.5.2.2.12.07,"Pengadaan Langsung",01-03-2016,31-03-2016,01-04-2016,31-05-2016,"Belanja Pakaian Perlindungan Masyarakat (5035681) "
6427201,"Pengadaan Alat Kantor lainnya  Mesin Kepuasan Pelanggan",200000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Penyediaan Peralatan dan Perlengkapan Kantor",Barang/jasa,Barang,1,"Jl Rumah Sakit No 22 Ujung Berung Kota Bandung","Tersedianya peralatan dan perlengkapan perkantoran",APBD," 200000000",1.02.1.02.02.01.01.13.5.2.3.27.05,"Pengadaan Langsung",01-03-2016,31-03-2016,01-04-2016,30-04-2016,"Pengadaan Alat Kantor lainnya Mesin Kepuasan Pelanggan (5035584) "
5035804,"Belanja Bahan Makanan Dan Minuman Pasien Bulan Juli - Desember 2016",1000000000,"Lelang Sederhana",N/A,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Kegiatan Pelayanan",Barang/jasa,Barang,1,"Jl Rumah Sakit No 22 Ujung Berung","Tersedianya Bahan Makanan Dan Minuman Pasien",BLUD," 1000000000",1.02.1.02.02.33.01.5.2.2.26.01,"Lelang Sederhana",01-06-2016,30-06-2016,01-07-2016,31-12-2016
9185806,"Belanja Pengelolaan Limbah Medis ",600000000,"Lelang Sederhana",BLUD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Kegiatan Pelayanan",Barang/jasa,"Jasa Lainnya",1,"JL Rumah Sakit No 22 Ujung Berung Kota Bandung","Berlanja Pengelolaan Limbah Medis ",BLUD," 600000000",1.02.1.02.02.02.33.01.5.2.2.26.01,"Lelang Sederhana",18-01-2017,31-01-2017,01-02-2017,31-12-2018,"Belanja Pengelolaan Limbah Medis dan B3 (8530331) "
6427392,"Pengadaan Meubelair Bangku Tunggu",100000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Penyediaan Peralatan Dan Perlengkapan Kantor",Barang/jasa,Barang,1,"Jl Rumah Sakit No 22 Ujung Berung Kota Bandung","Tersedianya Peralatan dan Perlengkapan Perkantoran",APBD," 100000000",1.02.1.02.02.01.01.13.5.2.3.28.01,"Pengadaan Langsung",15-03-2016,31-03-2016,01-04-2016,30-04-2016,"Pengadaan Meubelair Bangku Tunggu (5035552) "
6426886,"Pengadaan Alat Bantu Keamanan CCTV",123600000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Pengadaan Perlengkapan Gedung Kantor",Barang/jasa,Barang,1,"Jl Rumah Sakit No 22 Ujung Berung Kota Bandung","Tersedianya perlengkapan kantor",APBD," 123600000",1.02.1.02.02.01.02.07.5.2.3.48.01,E-Purchasing,15-03-2016,31-03-2016,01-04-2016,30-04-2016,"Pengadaan Alat Bantu Keamanan CCTV (5035628) "
6428223,"Pengadaan Peralatan Studio Visual Audio Monitor Active Audio Line",99600000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Penyuluhan Masyarakat Pola Hidup Sehat",Barang/jasa,Barang,1,"Jl Rumah Sakit No 22 Ujung Berung Kota Bandung","Terlaksananya penyuluhan pada pengunjung rumah sakit",APBD," 99600000",1.02.1.02.02.01.19.02.5.2.3.31.01,"Pengadaan Langsung",01-03-2016,31-03-2016,01-04-2016,30-06-2016,"Pengadaan Peralatan Studio Visual Audio Monitor Active Audio Line (5035727) "
6427780,"Pengadaan Peralatan Studio Visual Audio Monitor Active Audio Line",99600000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Penyuluhan Masyarakat Pola Hidup Sehat",Barang/jasa,Barang,1,"Jl Rumah Sakit No 22 Ujung Berung Kota Bandung","Terlaksananya penyuluhan pada pengunjung rumah sakit",APBD," 99600000",1.02.1.02.02.01.19.02.5.2.3.31.01,"Pengadaan Langsung",01-03-2016,31-03-2016,01-04-2016,30-06-2016,"Pengadaan Peralatan Studio Visual Audio Monitor Active Audio Line (5035727) "
9185846,"Belanja Pengelolaan Limbah B3",120000000,"Pengadaan Langsung",BLUD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,"Kegiatan Pelayanan",Barang/jasa,"Jasa Lainnya",1,"JL Rumah Sakit No 22 Ujung Berung Kota Bandung","Berlanja Pengelolaan Limbah B3",BLUD," 120000000",1.02.1.02.02.02.33.01.5.2.2.26.01,"Pengadaan Langsung",18-01-2017,31-01-2017,01-02-2017,31-12-2018,"Belanja Pengelolaan Limbah Medis dan B3 (8530331) "
7560610,"Belanja Peralatan Dan Mesin Pengadaan Alat Kedokteran Umum",4000000000,e-Purchasing,BLUD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,Pelayanan,Barang/jasa,Barang,1,"Jl Rumah Sakit No 22 Ujung Berung Kota Bandung","Belanja Modal Peralatan Dan Mesin Pengadaan Alat Kedokteran Umum",BLUD," 4000000000",1.02.1.02.02.02.33.01.5.2.3.34.01,E-Purchasing,13-06-2016,31-12-2016,13-06-2016,31-12-2016
7560572,"Belanja Barang Dan Jasa BLUD",47000000000,e-Purchasing,BLUD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT UMUM DAERAH KOTA BANDUNG",2016,Pelayanan,Barang/jasa,Barang,1,"Jl Rumah Sakit No 22 Ujung Berung Kota Bandung","Belanja Barang Dan Jasa BLUD",BLUD," 47000000000",1.02.1.02.02.02.33.01.5.2.2.26.01,E-Purchasing,13-06-2016,31-12-2016,13-06-2016,31-12-2016
