id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
1071539,"Belanja Jasa Konsultasi yang di swakelolakan",112000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN PEREKONOMIAN",2014,"Koordinasi dan Sinkronisasi Peningkatan Kapasitas BUMD",Barang/jasa,"Jasa Konsultansi","1 paket","Bagian Perekonomian","Koordinasi dan Sinkronisasi Peningkatan Kapasitas BUMD",APBD," 112000000",1.20.1.20.03.38.02,"Pengadaan Langsung",21-07-2014,03-11-2014,01-08-2014,03-11-2014
1078123,"Belanja Mamin Kegiatan",30000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN PEREKONOMIAN",2014,"Koordinasi dan Sinkronisasi Pelaksanaan CSR Sebagai Salah Satu Pembangunan Ekonomi",Barang/jasa,Barang,"1 paket","Bagian Perekonomian","Belanja Mamin Kegiatan",APBD," 30000000",1.20.1.20.03.38.01.5.2.2.11.04,"Pengadaan Langsung",01-04-2014,30-04-2014,01-04-2014,30-04-2014
1071597,"Belanja Modal Pengadaan Printer",5000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN PEREKONOMIAN",2014,"Pengadaan Perlengkapan Peralatan Aparatur",Barang/jasa,Barang,"2 unit","Bagian Perekonomian","Belanja Modal Pengadaan Printer",APBD," 5000000",1.20.03.07.02.12.5.2.3.16.04,"Pengadaan Langsung",01-04-2014,11-04-2014,11-04-2014,15-12-2014
1071016,"Belanja Makanan dan Minuman Kegiatan",26000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN PEREKONOMIAN",2014,"Pengkajian Dampak Regulasi/Kebijakan Nasional",Barang/jasa,"Jasa Lainnya","1 paket","Bagian Perekonomian","Belanja Mamin Kegiatan",APBD," 26000000",1.15.1.20.03.15.05.5.2.2.11.04,"Pengadaan Langsung",01-04-2014,28-04-2014,30-04-2014,30-04-2014
1085819,"Belanja Jasa Konsultasi Perencanaan",50000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN PEREKONOMIAN",2014,"Pengembangan Kapasitas Produk Industri Kreatif",Barang/jasa,"Jasa Konsultansi","1 paket","Bagian Perekonomian","Belanja Jasa Konsultasi Perencanaan",APBD," 50000000",2.07.1.20.03.21.06.5.2.2.21.02,"Pengadaan Langsung",02-04-2014,30-04-2014,02-04-2014,30-04-2014
1071651,"Belanja Cetak",50000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN PEREKONOMIAN",2014,"Koordinasi dan Sinkronisasi Pelaksanaan CSR",Barang/jasa,"Jasa Lainnya","1 paket","Bagian Perekonomian","Belanja Cetak",APBD," 50000000",1.20.1.20.03.38.01.5.2.2.01.01,"Pengadaan Langsung",01-05-2014,30-05-2014,01-05-2014,30-05-2014
1084692,"Belanja Mamin Kegiatan",20000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN PEREKONOMIAN",2014,"Koordinasi dan Sinkronisasi Pelaksanaan Pengembangan Potensi dan Daya Saing Kota",Barang/jasa,"Jasa Lainnya","1 paket","Bagian Perekonomian","Belanja Mamin Kegiatan",APBD," 20000000",1.20.1.20.03.38.04.5.2.2.11.04,"Pengadaan Langsung",11-08-2014,11-08-2014,11-08-2014,11-08-2014
1085769,"Belanja Mamin Kegiatan",40000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN PEREKONOMIAN",2014,"Pengembangan Kapasitas Produk Industri Kreatif",Barang/jasa,"Jasa Lainnya","1 paket","Bagian Perekonomian","Belanja Mamin Kegiatan",APBD," 40000000",2.07.1.20.03.21.06.5.2.2.11.04,"Pengadaan Langsung",22-04-2014,26-04-2014,07-05-2014,07-05-2014
1071614,"Belanja Pakaian Dinas Harian (PDH)",22500000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN PEREKONOMIAN",2014,"Pengadaan Pakaian Dinas Beserta Perlengkapannya",Barang/jasa,Barang,"1 paket","Bagian Perekonomian","Belanja Pakaian Dinas Harian (PDH)",APBD," 22500000",1.20.03.07.03.02.5.2.2.12.05,"Pengadaan Langsung",01-04-2014,30-04-2014,15-04-2014,15-12-2014
1071504,"Belanja Makanan dan Minuman",10000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN PEREKONOMIAN",2014,"Peningkatan Manajemen Investasi Daerah",Barang/jasa,"Jasa Lainnya","1 paket","Bagian Perekonomian","Peningkatan Manajemen Investasi Daerah",APBD," 10000000",1.20.1.20.03.17.17,"Pengadaan Langsung",09-04-2014,15-04-2014,15-04-2014,15-04-2014
1084730,"Belanja Jasa Konsultasi yang di swakelolakan",165000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN PEREKONOMIAN",2014,"Koordinasi dan Sinkronisasi Pelaksanaan Pengembangan Potensi dan Daya Saing Kota",Barang/jasa,"Jasa Konsultansi","1 paket","Bagian Perekonomian","Belanja Jasa Konsultasi yang di swakelolakan",APBD," 165000000",1.20.1.20.03.38.04.5.2.2.21.07,"Pengadaan Langsung",02-04-2014,01-07-2014,02-04-2014,01-07-2014
1071607,"Belanja Modal Pengadaan Handycam",10000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN PEREKONOMIAN",2014,"Pengadaan Perlengkapan Peralatan Aparatur",Barang/jasa,Barang,"1 unit","Bagian Perekonomian","Belanja Modal Pengadaan Handycam",APBD," 10000000",1.20.03.07.01.11.5.2.2.06.03,"Pengadaan Langsung",01-04-2014,11-04-2014,11-04-2014,15-12-2014
