id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
3441233,Bejalan makan dan minuman rapat,16155600,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Koordinasi perumusan dan sikronisasi pelaksanaan upaya-upaya penanggulangan kemiskinan dan perumusan kesenjangan,Barang/jasa,Jasa Lainnya,1 paket,Bagian Kesra dan Kemasyarakatan,Bejalan makan dan minuman rapat,APBD,16155600,1.20.1.20.03.16.09.5.2.2.11.02,Pengadaan Langsung,03/03/2015,12/03/2015,12/03/2015,13/03/2015
3478052,Belanja makan dan minuman kegiatan,65000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Koordinasi perumusan kebijakan dan sikroninsasi pelaksanaan upaya-upaya penanggulangan kemiskinan dan penurunan kesenjangan,Barang/jasa,Jasa Lainnya,1 paket,Bagian Kesra dan Kemasyarakatan,Belanja makan dan minuman kegiatan,APBD,65000000,1.20.1.20.03.16.19.5.2.2.14.05,Pengadaan Langsung,18/03/2015,01/04/2015,01/04/2015,02/04/2015
3487021,Belanja cetak,10000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Fasilitasi pencapaian halaqoh dan berbagai forum keagamaan lainnya dalam upaya peningkatan wawasan kebangsaan,Barang/jasa,Barang,1 paket,Bagian Kesra dan Kemasyarakatan,Belanja cetak,APBD,10000000,1.20.1.20.03.18.01.5.2.2.06.01,Pengadaan Langsung,18/09/2015,01/10/2015,01/10/2015,14/10/2015
3480188,Belanja makanan dan minuman kegiatan,12500000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Peningkatan toleransi dan kerukunan dalam kehidupan beragama,Barang/jasa,Jasa Lainnya,1 paket,Bagian Kesra dan Kemasyarakatan,Belanja makanan dan minuman kegiatan,APBD,12500000,1.20.1.20.03.17.01.5.2.2.11.05,Pengadaan Langsung,18/03/2015,01/04/2015,01/04/2015,02/04/2015
3487174,Belanja alat tulis kantor,6380000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Safari Ramadhan,Barang/jasa,Barang,1 paket,Bagian Kesra dan Kemasyarakatan,Belanja alat tulis kantor,APBD,6380000,1.20.1.20.03.23.03.5.2.2.01.01,Pengadaan Langsung,20/04/2015,04/05/2015,04/05/2015,10/05/2015
3432118,Pengadaan Mesin ketik elektronik/selektrik,15000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Pengadaan Perlengkapan Peralatan Aparatur,Modal,Barang,3 buah,Bagian Kesra dan Kemasyarakatan,Pengadaan Mesin ketik elektronik/selektrik,APBD,15000000,1.20.1.20.03.02.12.5.2.3.27.01,Pengadaan Langsung,02/03/2015,13/03/2015,13/03/2015,19/03/2015
3470231,Belanja pakaian dinas harian (PDH) warna bebas,50000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Pelaksanaan Kegiataan UKS Kota Bandung,Barang/jasa,Jasa Lainnya,1 paket,Bagian Kesra dan Kemasyarakatan,Belanja pakaian dinas harian (PDH) warna bebas,APBD,50000000,1.20.1.20.03.16.19.5.2.2.14.05,Pengadaan Langsung,03/03/2015,16/03/2015,16/03/2015,14/04/2015
3480905,Belanja alat tulis kantor (seminar kit ) ,24750000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Pembinaan dan penyuluhan Ormas Keagamaan,Barang/jasa,Barang,1 paket,Bagian Kesra dan Kemasyarakatan,Belanja alat tulis kantor (seminar kit ),APBD,24750000,1.20.1.20.03.23.04.5.2.2.01.01,Pengadaan Langsung,18/03/2015,01/04/2015,01/04/2015,30/04/2015
3486641,Belanja cetak,10000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Peningkatan rasa solidaritas dan ikatan sosial dikalangan masyarakat,Barang/jasa,Barang,1 paket,Bagian Kesra dan Kemasyarakatan,Belanja cetak,APBD,10000000,1.20.1.20.03.17.02.5.2.2.06.01,Pengadaan Langsung,20/04/2015,04/05/2015,04/05/2015,17/05/2015
3431752,Belanja Modal Pengadaan Alat Komunikasi Telephone,43920000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Pengadaan Peralatan Komunikasi,Modal,Barang,4 unit,Bagian Kesra dan Kemasyarakatan,Belanja Modal Pengadaan Alat Komunikasi Telephone,APBD,43920000,1.20.1.20.03.02.11.5.2.3.32.01,Pengadaan Langsung,02/03/2015,13/03/2015,13/03/2015,19/03/2015
3427733,Belanja jasa konsultasi penelitian sistem informasi pengelolaan pengadaan barang dan jasa (SIMPAR),50000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Penyediaan jasa surat menyurat,Barang/jasa,Barang,1 paket,Bagian kesra dan kemasyarakatan,Belanja jasa konsultasi penelitian sistem informasi pengelolaan pengadaan barang dan jasa (SIMPAR),APBD,50000000,1.20.1.20.03.01.01.5.2.2.21.01,Pengadaan Langsung,02/03/2015,13/03/2015,13/03/2015,11/04/2015
3486476,Pakaian Olah Raga dan Topi,61600000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Pemantauan dan evaluasi program pengembangan nilai budaya,Barang/jasa,Jasa Lainnya,1 paket,Bagian Kesra dan Kemasyarakatan,Belanja Pakaian Olah Raga dan Topi,APBD,61600000,1.20.1.20.03.15.04.5.2.2.14.04,Pengadaan Langsung,18/06/2015,01/07/2015,01/07/2015,30/07/2015
3476905,Belanja sewa tenda,60000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Pemantauan dan evaluasi pelaksanaan program pengembangan nilai budaya,Barang/jasa,Barang,1 paket,Bagian Kesra dan Kemasyarakatan,Belanja sewa tenda,APBD,60000000,1.20.1.20.03.15.04.5.2.2.10.05,Pengadaan Langsung,18/03/2015,01/04/2015,01/04/2015,02/04/2015
3470305,Kajian toleransi dan kerukunan umat beragama,145000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Peningkatan toleransi dan kerukunan dalam kehidupan beragama,Barang/jasa,Jasa Lainnya,1 paket,Bagian Kesra dan Kemasyarakatan,Kajian toleransi dan kerukunan umat beragama,APBD,145000000,1.20.1.20.03.17.01.5.2.2.21.07,Pengadaan Langsung,03/03/2015,16/03/2015,16/03/2015,21/07/2015
3480544,Belanja alat tulis kantor,10000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Fasilitasi pencapaian halaqoh dan berbagai forum keagamaan lainnya dalam upaya peningkatan wawasan kebangsaan ,Barang/jasa,Barang,1 paket,Bagian Kesra dan Kemasyarakatan,Belanja alat tulis kantor,APBD,10000000,1.20.1.20.03.18.01.5.2.2.01.01,Pengadaan Langsung,18/03/2015,01/04/2015,01/04/2015,07/04/2015
3487679,Kajian pemahaman dan pengamalan agama sesuai dengan agama dan kepercayaan masing-masing,150000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Peningkatan toleransi dan kerukunan dalam kehidupan beragama,Barang/jasa,Jasa Lainnya,1 paket,Bagian Kesra dan Kemasyarakatan,Kajian pemahaman dan pengamalan agama sesuai dengan agama dan kepercayaan masing-masing,APBD,150000000,1.20.1.20.03.17.01.5.2.2.21.07,Pengadaan Langsung,19/05/2015,01/06/2015,01/06/2015,30/09/2015
3440962,Komputer PC,19000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Pengadaan Perlengkapan Peralatan Aparatur,Modal,Barang,2 unit,Bagian Kesra dan Kemasyarakatan,Komputer PC,APBD,19000000,1.20.1.20.03.02.12.5.2.3.29.02,Pengadaan Langsung,02/03/2015,13/03/2015,13/03/2015,19/03/2015
3431245,Belanja alat tulis kantor,24100000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Penyediaan alat tulis kantor,Barang/jasa,Barang,1 paket,Bagian Kesra dan kemasyarakatan,Belanja alat tulis kantor,APBD,24100000,1.20.1.20.03.01.10.5.2.2.01.01,Pengadaan Langsung,02/03/2015,13/03/2015,13/03/2015,19/03/2015
3470088,Belanja makan dan minuman kegiatan,90000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Pelaksanaan Kegiatan UKS Kota Bandung,Barang/jasa,Jasa Lainnya,1 paket,Bagian Kesra dan kemasyarakatan,Belanja makan dan minuman kegiatan,APBD,90000000,1.20.1.20.03.16.19.5.2.2.11.05,Pengadaan Langsung,03/03/2015,16/03/2015,16/03/2015,17/03/2015
3440873,Note book,7500000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,BAGIAN KESEJAHTERAAN RAKYAT DAN KEMASYARAKATAN,2015,Pengadaan Perlengkapan Peralatan Aparatur,Modal,Barang,1 unit,Bagian Kesra dan Kemasyarakatan,Note book,APBD,7500000,1.20.1.20.03.02.12.5.2.3.29.02,Pengadaan Langsung,02/03/2015,13/03/2015,13/03/2015,19/03/2015
