lokasi,nama_komoditas,2016-12-01,2016-12-02,2016-12-03,2016-12-04,2016-12-05,2016-12-06,2016-12-07,2016-12-08,2016-12-09,2016-12-10,2016-12-11,2016-12-12,2016-12-13,2016-12-14,2016-12-15,2016-12-16,2016-12-17,2016-12-18,2016-12-19,2016-12-20,2016-12-21,2016-12-22,2016-12-23,2016-12-24,2016-12-25,2016-12-26,2016-12-27,2016-12-28,2016-12-29,2016-12-30,2016-12-31
"Pasar Andir","Beras Medium",10000,10000,0,0,10000,10000,10000,10000,10000,0,0,0,0,10000,10000,0,0,10000,10000,10000,10000,7000,10000,0,0,0,10000,10000,10000,10000,0
"Pasar Andir","Cabe Merah",60000,0,0,0,60000,60000,60000,60000,60000,0,0,0,0,60000,60000,0,0,60000,55000,50000,50000,15000,50000,0,0,0,40000,40000,40000,40000,0
"Pasar Andir","Bawang Merah",45000,45000,0,0,45000,45000,45000,45000,45000,0,0,0,0,45000,32500,0,0,45000,45000,45000,45000,21000,45000,0,0,0,30000,30000,30000,30000,0
"Pasar Andir","Daging Ayam Ras",30000,30000,0,0,30000,30000,30000,30000,30000,0,0,0,0,30000,30000,0,0,30000,30000,30000,30000,11000,30000,0,0,0,32000,32000,32000,32000,0
"Pasar Andir","Telur Ayam Ras",17000,17000,0,0,17000,17000,17000,17000,17000,0,0,0,0,20000,20000,0,0,20000,20500,21000,21000,32000,30000,0,0,0,23000,23000,23000,23000,0
"Pasar Andir","Daging Sapi",120000,120000,0,0,120000,120000,120000,120000,120000,0,0,0,0,120000,120000,0,0,120000,120000,120000,120000,32000,120000,0,0,0,120000,120000,120000,120000,0
"Pasar Andir","Minyak Goreng",0,14500,0,0,14500,14500,14500,14500,14500,0,0,0,0,14500,14500,0,0,14500,14500,14500,14500,5000,14500,0,0,0,14500,14500,14500,14500,0
"Pasar Andir","Gula Pasir",15000,15000,0,0,15000,15000,15000,15000,15000,0,0,0,0,15000,15000,0,0,15000,15000,15000,15000,7500,15000,0,0,0,15000,0,15000,15000,0
"Pasar Andir",Kentang,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,0,0,10000,25000,0,0,10000,10000,10000,10000,9000,10000,0,0,0,12000,12000,12000,12000,0
"Pasar Andir",Kedelai,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,0,0,11000,11000,0,0,11000,11000,11000,11000,11000,11000,0,0,0,11000,11000,11000,11000,0
"Pasar Andir","Tepung Terigu",7500,7500,0,0,7500,7500,7500,7500,0,0,0,0,0,7500,7500,0,0,7500,7500,7500,7500,45000,0,0,0,0,7500,7500,7500,7500,0
"Pasar Andir","Bawang Putih",34000,34000,0,0,34000,34000,34000,34000,34000,0,0,0,0,34000,34000,0,0,34000,34000,34000,34000,0,34000,0,0,0,34000,34000,34000,34000,0
"Pasar Andir","Cabe Keriting",60000,60000,0,0,60000,60000,60000,60000,60000,0,0,0,0,60000,60000,0,0,60000,55000,50000,50000,14500,50000,0,0,0,45000,45000,45000,45000,0
"Pasar Andir","Cabe Rawit",50000,50000,0,0,50000,50000,50000,50000,50000,0,0,0,0,80000,80000,0,0,80000,75000,70000,70000,2000,45000,0,0,0,90000,90000,90000,90000,0
"Pasar Andir","Kacang Tanah",28000,28000,0,0,28000,28000,28000,28000,28000,0,0,0,0,28000,28000,0,0,28000,28000,28000,28000,34000,28000,0,0,0,27000,27000,27000,27000,0
"Pasar Andir","Ubi Kayu",3000,3000,0,0,3000,3000,3000,3000,3000,0,0,0,0,3000,3000,0,0,3000,3000,3000,3000,7500,3000,0,0,0,3000,3000,3000,3000,0
"Pasar Andir","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir",Jagung,9000,9000,0,0,9000,9000,0,0,9000,0,0,0,0,9000,9000,0,0,9000,9000,9000,9000,10000,9000,0,0,0,9000,9000,9000,9000,0
"Pasar Andir","Ikan Olahan",60000,60000,0,0,60000,60000,60000,60000,60000,0,0,0,0,60000,60000,0,0,60000,60000,60000,60000,65000,60000,0,0,0,60000,60000,60000,60000,0
"Pasar Andir","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Minyak Goreng Curah",11000,11000,0,0,11000,11000,11000,11000,11000,0,0,0,0,11000,11000,0,0,11000,11000,11000,11000,9000,11000,0,0,0,11000,11000,11000,11000,0
"Pasar Andir","Daging Ayam Kampung",70000,70000,0,0,70000,70000,70000,70000,70000,0,0,0,0,70000,70000,0,0,70000,70000,70000,70000,60000,70000,0,0,0,70000,70000,70000,70000,0
"Pasar Andir","Telur Ayam Kampung",40000,40000,0,0,40000,40000,40000,40000,40000,0,0,0,0,40000,40000,0,0,40000,40000,40000,40000,30000,40000,0,0,0,40000,40000,40000,40000,0
"Pasar Andir","Susu Kental Manis Merk Bendera",9500,9500,0,0,9500,9500,9500,9500,9500,0,0,0,0,9500,9500,0,0,9500,9500,9500,9500,50000,9500,0,0,0,9500,9500,9500,9500,0
