nama_kecamatan,iud_sisa_bulan_lalu,kondom_sisa_bulan_lalu,implant_sisa_bulan_lalu,suntikan_sisa_bulan_lalu,pil_sisa_bulan_lalu,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_sisa_akhir_bulan_ini,kondom_sisa_akhir_bulan_ini,implant_sisa_akhir_bulan_ini,suntikan_sisa_akhir_bulan_ini,pil_sisa_akhir_bulan_ini
Sukasari,101,189,28,94,182,0,0,0,500,700,7,6,0,198,47,94,183,28,396,835
Coblong,46,39,20,0,831,0,0,0,140,300,14,9,0,125,13,32,30,20,15,1118
Babakan Ciparay,69,818,5,101,290,17,12,8,0,50,4,13,1,59,28,82,817,12,42,312
Bojongloa Kaler,50,61,23,0,451,0,0,0,100,200,25,3,0,88,74,25,58,23,12,577
Andir,103,44,20,0,180,0,0,0,60,0,0,10,0,54,5,103,34,20,6,175
Cicendo,27,229,8,54,190,25,0,0,110,10,13,10,0,60,9,39,219,8,104,191
Sukajadi,92,48,19,4,154,100,0,0,202,300,125,21,0,158,239,67,27,19,48,215
Cidadap,128,155,28,152,616,0,0,0,300,600,8,3,0,73,139,120,152,28,379,1077
Bandung Wetan,51,79,50,86,1096,30,0,0,200,600,3,10,2,76,13,78,69,48,210,1683
Astana Anyar,54,115,14,760,1011,80,0,0,536,800,72,15,1,269,310,62,100,13,1027,1501
Regol,82,141,17,261,529,0,0,0,100,200,10,9,0,141,67,72,132,17,220,662
Batununggal,38,56,14,63,814,0,19,0,300,600,3,17,2,167,42,35,58,12,196,1372
Lengkong,82,182,44,144,658,0,0,20,440,800,8,9,0,151,60,74,173,64,433,1398
Cibeunying Kidul,46,31,17,19,704,0,0,0,220,400,9,0,0,134,24,37,31,17,105,1080
Bandung Kulon,85,89,11,60,724,0,0,0,140,100,4,39,2,164,50,81,50,9,36,774
Kiaracondong,27,18,14,61,499,0,0,0,200,400,9,4,1,104,48,18,14,13,157,851
Bojongloa Kidul,22,24,10,80,137,0,0,0,0,0,3,4,0,8,15,19,20,10,72,122
Cibeunying Kaler,22,0,20,18,193,0,0,0,0,0,22,0,0,18,30,0,0,20,0,163
Sumur Bandung,35,14,24,63,389,0,0,34,120,300,25,5,34,58,219,10,9,24,125,470
Antapani,66,133,2,44,763,0,0,0,300,600,3,12,0,90,177,63,121,2,254,1186
Bandung Kidul,111,249,49,92,731,0,0,0,53,200,3,20,0,66,119,108,229,49,79,812
Buahbatu,27,21,13,71,428,5,0,2,220,400,3,4,3,131,348,29,17,12,160,480
Rancasari,12,78,19,0,355,0,0,0,200,400,4,1,0,160,110,8,77,19,40,645
Arcamanik,151,60,7,12,278,0,0,10,200,400,4,0,1,135,200,147,60,16,77,478
Cibiru,99,162,48,163,478,43,0,30,285,302,51,8,31,347,238,91,154,47,101,542
Ujung Berung,0,17,6,73,154,3,0,0,40,30,3,9,0,27,26,0,8,6,86,158
Gedebage,31,26,2,131,403,0,0,0,40,100,4,2,0,79,104,27,24,2,92,399
Panyileukan,43,11,10,104,249,0,0,0,40,100,2,3,0,69,3,41,8,10,75,346
Cinambo,33,157,72,145,461,69,0,0,26,0,69,15,0,102,29,33,142,72,69,432
Mandalajati,163,54,0,27,393,0,11,0,20,0,3,3,0,20,68,160,62,0,27,325
