id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,awal_pekerjaan,akhir_pekerjaan
3471048,"RUMAH SAKIT KHUSUS GIGI DAN MULUT","Penyediaan peralatan dan perlengkapan kantor",5625000,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS GIGI DAN MULUT",2015,"1 paket","Jalan LL RE Martadinata 45 Bandung","Untuk Honor-honor",APBD," 5625000",1.02.04.01.13..5.2.3.29.02,22-04-2015,29-05-2015
3471540,"RUMAH SAKIT KHUSUS GIGI DAN MULUT","Pengadaan perlengkapan rumah tangga rs",5625000,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS GIGI DAN MULUT",2015,"1 paket","Jalan LL RE Martadinata 45 Bandung","honor dan perjalanan dinas",APBD," 5625000",1.02.04.26.22.5.2.3.28.05,01-04-2015,19-05-2015
3471162,"RUMAH SAKIT KHUSUS GIGI DAN MULUT","Pengadaan pakaian dinas beserta perlengkapannya",2675000,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS GIGI DAN MULUT",2015,"1 paket","Jalan LL RE Martadinata 45 Bandung",Honor-honor,APBD," 2675000",1.02.04.03.02..5.2.,23-03-2015,14-04-2015
3471005,"RUMAH SAKIT KHUSUS GIGI DAN MULUT","Penyediaan alat tulis kantor",2675000,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS GIGI DAN MULUT",2015,"1 paket","Jalan LL RE Martadinata 45 Bandung","Penyediaan alat tulis kantor",APBD," 2675000",1.02.04.01.10..5.2.,12-03-2015,17-04-2015
3470938,"RUMAH SAKIT KHUSUS GIGI DAN MULUT","Penyediaan jasa komunikasi, sumber daya air dan listrik",240000000,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS GIGI DAN MULUT",2015,"12 bulan","Jalan LL RE Martadinata 45 Bandung","Penyediaan jasa komunikasi, sumber daya air dan listrik",APBD," 240000000",1.02.04.01.02.5.2.,03-03-2015,31-12-2016
3471464,"RUMAH SAKIT KHUSUS GIGI DAN MULUT","Pengadaan obat-obatan rumah sakit",31625000,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS GIGI DAN MULUT",2015,"1 paket","Jalan LL RE Martadinata 45 Bandung",lain-lain,APBD," 31625000",1.02.04.26.19.5.2.,04-03-2015,15-06-2015
3489993,"RUMAH SAKIT KHUSUS GIGI DAN MULUT",Pelayanan,1232000000,BLUD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS GIGI DAN MULUT",2015,"1 paket","Jalan LL RE Martadinata 45 Bandung","Untuk lain-lain",BLUD," 1232000000",1.02.04.33.01.5.2.,05-03-2015,31-12-2016
3471507,"RUMAH SAKIT KHUSUS GIGI DAN MULUT","Pengadaan ambulance/mobil jenazah",7900000,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS GIGI DAN MULUT",2015,"1 paket","Jalan LL RE Martadinata 45 Bandung","honor dan perjalanan dinas",APBD," 7900000",1.02.04.26.20.5.2,20-04-2015,28-05-2015
3471321,"RUMAH SAKIT KHUSUS GIGI DAN MULUT","Pengadaan alat-alat kesehatan rumah sakit",37100000,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS GIGI DAN MULUT",2015,"1 paket","Jalan LL RE Martadinata 45 Bandung",Lain-lain,APBD," 37100000",1.02.04.26.18.5.2.3.34.02,22-03-2015,06-07-2015
3471292,"RUMAH SAKIT KHUSUS GIGI DAN MULUT","Pembangunan rumah sakit",226604999,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS GIGI DAN MULUT",2015,"1 paket","Jalan LL RE Martadinata 45 Bandung",lain-lain,APBD," 226604999",1.02.04.26.01.5.2.3.49.01,23-03-2015,08-12-2015
3471127,"RUMAH SAKIT KHUSUS GIGI DAN MULUT","Pengadaan perlengkapan peralatan aparatur",8200000,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS GIGI DAN MULUT",2015,"1 paket","Jalan LL RE Martadinata 45 Bandung","honor, perjalanan dinas, mamin",APBD," 8200000",1.02.04.02.12.5.2.3.27.05.,27-04-2015,26-05-2015
3471200,"RUMAH SAKIT KHUSUS GIGI DAN MULUT","Akreditasi rumah sakit",330000000,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS GIGI DAN MULUT",2015,"1 paket","Jalan LL RE Martadinata 45 Bandung","Akreditasi rumah sakit",APBD," 330000000",1.02.04.23.07.5.2.,03-03-2015,31-12-2016
