lokasi,nama_komoditas,2017-03-01,2017-03-02,2017-03-03,2017-03-04,2017-03-05,2017-03-06,2017-03-07,2017-03-08,2017-03-09,2017-03-10,2017-03-11,2017-03-12,2017-03-13,2017-03-14,2017-03-15,2017-03-16,2017-03-17,2017-03-18,2017-03-19,2017-03-20,2017-03-21,2017-03-22,2017-03-23,2017-03-24,2017-03-25,2017-03-26,2017-03-27,2017-03-28,2017-03-29,2017-03-30,2017-03-31
"Pasar Andir","Beras Medium",10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000
"Pasar Andir","Cabe Merah",45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000,47500,47500,37500,0,0,37500,40000,40000,40000,40000,0,0,0,0,0,0,0
"Pasar Andir","Bawang Merah",40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,42500,42500,37500,0,0,35000,35000,35000,35000,35000,0,0,35000,35000,35000,35000,35000
"Pasar Andir","Daging Ayam Ras",28000,28000,28000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000,29000,29000,31000,0,0,31500,33000,33000,33000,33000,0,0,33000,33000,33000,33000,33000
"Pasar Andir","Telur Ayam Ras",18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000
"Pasar Andir","Daging Sapi",120000,120000,120000,0,0,120000,120000,120000,120000,120000,0,0,120000,120000,120000,120000,120000,0,0,120000,120000,120000,120000,120000,0,0,120000,120000,120000,120000,120000
"Pasar Andir","Minyak Goreng",14500,14500,14500,0,0,14500,14500,14500,14500,14500,0,0,14500,14500,14750,14750,14750,0,0,14750,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000
"Pasar Andir","Gula Pasir",15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,14500,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000
"Pasar Andir",Kentang,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,14000,14000,14000,0,0,16000,16000,16000,16000,16000,0,0,16000,16000,16000,16000,16000
"Pasar Andir",Kedelai,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000
"Pasar Andir","Tepung Terigu",7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500
"Pasar Andir","Bawang Putih",40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,42500,42500,37500,0,0,37500,40000,40000,40000,40000,0,0,10000,10000,10000,10000,10000
"Pasar Andir","Cabe Keriting",45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000,47500,47500,45000,0,0,40000,40000,40000,40000,40000,0,0,9500,9500,9500,9500,9500
"Pasar Andir","Cabe Rawit",140000,140000,140000,0,0,140000,140000,140000,140000,140000,0,0,140000,140000,145000,145000,130000,0,0,110000,100000,100000,100000,100000,0,0,30000,30000,30000,30000,30000
"Pasar Andir","Kacang Tanah",27000,27000,27000,0,0,27000,27000,27000,27000,27000,0,0,27000,27000,27500,27500,27500,0,0,27500,28000,28000,28000,28000,0,0,28000,28000,28000,28000,28000
"Pasar Andir","Ubi Kayu",3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3500,3500,3500,0,0,3500,4000,4000,4000,4000,0,0,4000,4000,4000,4000,4000
"Pasar Andir","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir",Jagung,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,10500,10500,10500,0,0,10500,12000,12000,12000,12000,0,0,120000,120000,120000,120000,120000
"Pasar Andir","Ikan Olahan",60000,60000,60000,0,0,60000,60000,60000,60000,60000,0,0,60000,60000,65000,65000,65000,0,0,65000,70000,70000,70000,70000,0,0,70000,70000,70000,70000,70000
"Pasar Andir","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Minyak Goreng Curah",12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12250,12250,12250,0,0,12250,12500,12500,12500,12500,0,0,12500,12500,12500,12500,12500
"Pasar Andir","Daging Ayam Kampung",70000,70000,70000,0,0,70000,70000,70000,70000,70000,0,0,70000,70000,72500,72500,72500,0,0,72500,75000,75000,75000,75000,0,0,40000,40000,40000,40000,40000
"Pasar Andir","Telur Ayam Kampung",40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,0,0,0,0,0
"Pasar Andir","Susu Kental Manis Merk Bendera",9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9750,9750,9750,0,0,9750,10000,10000,10000,10000,0,0,0,0,0,0,0
"Pasar Andir","Susu Kental Manis Merk Indomilk",9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9250,9250,9250,0,0,9250,9500,9500,9500,9500,0,0,34500,34500,34500,34500,34500
"Pasar Andir","Garam Beryodium Bata",1000,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1250,1250,1250,0,0,1250,1500,1500,1500,1500,0,0,12000,12000,12000,12000,12000
"Pasar Andir","Garam Beryodium Halus",5000,5000,5000,0,0,5000,5000,5000,5000,5000,0,0,5000,5000,5500,5500,5500,0,0,5500,6000,6000,6000,6000,0,0,1500,1500,1500,1500,1500
"Pasar Andir","Tepung Terigu Cakra Kembar",7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500
"Pasar Andir","Tepung Terigu Kunci",7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000
"Pasar Andir","Mie Instan",2000,2000,2000,0,0,2000,2000,2000,2000,2000,0,0,2000,2000,2150,2150,2150,0,0,2150,2300,2300,2300,2300,0,0,2300,2300,2300,2300,2300
"Pasar Andir","Cabe Rawit Hijau",70000,70000,70000,0,0,70000,70000,70000,70000,70000,0,0,60000,60000,65000,65000,57500,0,0,60000,70000,70000,70000,70000,0,0,0,0,0,0,0
"Pasar Andir","Kacang Hijau",21000,21000,21000,0,0,21000,21000,21000,21000,21000,0,0,21000,21000,20000,20000,20000,0,0,20000,19000,19000,19000,19000,0,0,19000,19000,19000,19000,19000
"Pasar Andir","Susu Bubuk Dancow",35000,35000,35000,0,0,35000,35000,35000,35000,35000,0,0,35000,35000,34750,34750,34750,0,0,34750,34500,34500,34500,34500,0,0,100000,100000,100000,100000,100000
"Pasar Andir","Susu Bubuk Indomilk",32000,32000,32000,0,0,32000,32000,32000,32000,32000,0,0,32000,32000,31000,31000,31000,0,0,31000,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000
"Pasar Andir","Ikan Kembung",32000,32000,32000,0,0,32000,32000,32000,32000,32000,0,0,32000,32000,33500,33500,33500,0,0,33500,35000,35000,35000,35000,0,0,35000,35000,35000,35000,35000
