NO,JENIS ,POHON ,JUMLAH POHON ,TITIK LOKASI,KELURAHAN,
1,ANGSANA," BUNGA PUCUK MERAH, PALEM, KEMUNING, KUPU KUPU, MELATI, KUPING GAJAH",3X PER UNIT TANAMAN JUMLAH 24,TAMAN BERMAIN RW. 01 RT. 09,CISARANTEN KULON,
2,ANGSANA," BUNGA PUCUK MERAH, PALEM, KEMUNING, KUPU KUPU, MELATI, KUPING GAJAH",3X PER UNIT TANAMAN JUMLAH 24,BANTARAN SUNGAI RW. 02 RT. 01,CISARANTEN KULON,
3,ANGSANA," BUNGA PUCUK MERAH, PALEM, KEMUNING, KUPU KUPU, MELATI, KUPING GAJAH",3X PER UNIT TANAMAN JUMLAH 24,BANTARAN SUNGAI RW. 03 RT. 04,CISARANTEN KULON,
4,ANGSANA," BUNGA PUCUK MERAH, PALEM, KEMUNING, KUPU KUPU, MELATI, KUPING GAJAH",3X PER UNIT TANAMAN JUMLAH 24,BANTARAN SUNGAI RW. 04 RT. 03,CISARANTEN KULON,
5,ANGSANA," BUNGA PUCUK MERAH, PALEM, KEMUNING, KUPU KUPU, MELATI, KUPING GAJAH",3X PER UNIT TANAMAN JUMLAH 24,BANTARAN SUNGAI RW. 05 RT. 05,CISARANTEN KULON,
6,ANGSANA," BUNGA PUCUK MERAH, PALEM, KEMUNING, KUPU KUPU, MELATI, KUPING GAJAH",3X PER UNIT TANAMAN JUMLAH 24,RUSUNAWA RW. 06 RT. 02,CISARANTEN KULON,
7,ANGSANA," BUNGA PUCUK MERAH, PALEM, KEMUNING, KUPU KUPU, MELATI, KUPING GAJAH",3X PER UNIT TANAMAN JUMLAH 24,TITIK JEMBATAN RW. 07 RT. 01,CISARANTEN KULON,
8,ANGSANA," BUNGA PUCUK MERAH, PALEM, KEMUNING, KUPU KUPU, MELATI, KUPING GAJAH",3X PER UNIT TANAMAN JUMLAH 24,JL SUMBERSARI RW. 08 RT. 04,CISARANTEN KULON,
9,ANGSANA," BUNGA PUCUK MERAH, PALEM, KEMUNING, BOUGENVILE,KUPU KUPU, MAHONI",3X PER UNIT TANAMAN JUMLAH 24,TAMAN RW 09 RT. 03,CISARANTEN KULON, 
10,ANGSANA," BUNGA PUCUK MERAH, PALEM, KEMUNING, BOUGENVILE, KUPU KUPU, MAHONI",3X PER UNIT TANAMAN JUMLAH 24,KANTOR RW 10 RT. 02,CISARANTEN KULON,
11,ANGSANA," BUNGA PUCUK MERAH, PALEM, KEMUNING, BOUGENVILE, KUPU KUPU, MELATI, KUPING GAJAH",3X PER UNIT TANAMAN JUMLAH 24,TAMAN BERMAIN RW. 11 RT. 03,CISARANTEN KULON,
12,Nangka ,,10,Rt. 04 RW.01,SUKAMISKIN,
13,Rambutan ,,25,Rt. 04 RW.01,SUKAMISKIN,
14,Angsana,,10,Rt. 04 RW.01,SUKAMISKIN,
15,Mahoni,,15,Rt. 04 RW.01,SUKAMISKIN,
16,Nangka ,,15,Rt.03 Rw.02,SUKAMISKIN,
17,Rambutan ,,25,Rt.03 Rw.02,SUKAMISKIN,
18,Angsana,,10,Rt.01 Rw.02,SUKAMISKIN,
19,Mahoni,,15, Rt.02 Rw.02,SUKAMISKIN,
20,Nangka ,,10,Rt. 02 RW.03,SUKAMISKIN,
21,Rambutan ,,25,Rt. 02 RW.03,SUKAMISKIN,
22,Angsana,,10,Rt. 04 RW.03,SUKAMISKIN,
