nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,4,0,0,1,1,34,13
Coblong,12,0,0,10,1,22,1
Babakan Ciparay,9,0,0,0,3,7,1
Bojongloa Kaler,15,0,0,1,0,25,0
Andir,12,0,0,0,2,11,0
Cicendo,18,0,0,7,0,14,3
Sukajadi,97,25,0,21,3,34,24
Cidadap,9,11,0,0,0,16,1
Bandung Wetan,16,6,0,10,0,11,13
Astana Anyar,71,23,0,12,1,22,0
Regol,31,1,0,0,0,28,2
Batununggal,43,0,0,1,0,39,0
Lengkong,7,0,0,0,1,18,6
Cibeunying Kidul,133,0,0,1,2,46,0
Bandung Kulon,7,0,0,10,2,51,11
Kiaracondong,13,0,0,0,1,17,1
Bojongloa Kidul,0,0,0,0,0,1,0
Cibeunying Kaler,25,0,0,0,0,15,0
Sumur Bandung,4,0,0,2,0,16,10
Antapani,1,0,0,1,0,18,3
Bandung Kidul,6,0,0,0,0,33,0
Buahbatu,5,0,0,0,2,17,1
Rancasari,14,0,0,1,0,51,2
Arcamanik,7,0,0,0,0,17,0
Cibiru,3,0,0,0,0,26,9
Ujung Berung,0,0,0,11,0,24,13
Gedebage,6,0,0,0,0,22,24
Panyileukan,1,0,0,0,1,7,0
Cinambo,77,10,0,0,1,0,0
Mandalajati,5,0,0,0,0,21,6
