NO,BULAN,KK,KTP,SKTM,IZIN MENETAP,SURAT PINDAH,UMUM,LEGALISIR,SKAW,DP,PROPOSAL,JUMLAH
1,JANUARY,537,512,100,63,90,41,51,8,10,1,1412
2,FEBRUARY,524,461,108,76,95,42,71,12,15,1,1404
3,MARCH,621,606,165,73,103,64,95,11,13,2,1751
4,APRIL,577,599,229,49,72,54,186,15,14,3,1795
5,MAY,723,605,392,97,95,33,331,8,10,1,2294
6,JUNE,794,659,409,79,101,59,398,11,15,1,2525
7,JULY,453,446,184,34,52,26,43,4,9,0,1251
8,AUGUST,626,421,355,91,91,38,51,11,10,1,1694
9,SEPTEMBER,565,425,138,72,88,53,45,10,12,2,1408
10,OCTOBER,571,422,90,58,75,56,78,7,12,0,1369
11,NOVEMBER,507,378,70,62,98,43,66,8,13,0,1245
12,DECEMBER,483,522,0,53,81,56,73,11,12,1,1291
,JUMLAH,6981,6056,2240,807,1041,565,1488,116,145,13,19452
