kecamatan,pernah_imunisasi_bcg,jenis_kelamin,jumlah
Bandung Kulon,Ya,Laki-laki,7163
Babakan Ciparay,Ya,Laki-laki,2550
Bojongloa Kaler,Ya,Laki-laki,1472
Bojongloa Kidul,Ya,Laki-laki,4564
Astana Anyar,Ya,Laki-laki,946
Regol,Ya,Laki-laki,2117
Lengkong,Ya,Laki-laki,1850
Bandung Kidul,Ya,Laki-laki,1023
Buah Batu,Ya,Laki-laki,2347
Rancasari,Ya,Laki-laki,2905
Gedebage,Ya,Laki-laki,1026
Cibiru,Ya,Laki-laki,2169
Panyileukan,Ya,Laki-laki,660
Ujung Berung,Ya,Laki-laki,2499
Cinambo,Ya,Laki-laki,448
Arcamanik,Ya,Laki-laki,1516
Antapani,Ya,Laki-laki,1580
Mandalajati,Ya,Laki-laki,2585
Kiara Condong,Ya,Laki-laki,1859
Batununggal,Ya,Laki-laki,1782
Sumur Bandung,Ya,Laki-laki,426
Andir,Ya,Laki-laki,4099
Cicendo,Ya,Laki-laki,1510
Bandung Wetan,Ya,Laki-laki,715
Cibeunying Kidul,Ya,Laki-laki,1085
Cibeunying Kaler,Ya,Laki-laki,458
Coblong,Ya,Laki-laki,6624
Sukajadi,Ya,Laki-laki,2292
Sukasari,Ya,Laki-laki,2745
Cidadap,Ya,Laki-laki,1829
Bandung Kulon,Tidak,Laki-laki,1692
Babakan Ciparay,Tidak,Laki-laki,1971
Bojongloa Kaler,Tidak,Laki-laki,1438
Bojongloa Kidul,Tidak,Laki-laki,796
Astana Anyar,Tidak,Laki-laki,0
Regol,Tidak,Laki-laki,426
Lengkong,Tidak,Laki-laki,0
Bandung Kidul,Tidak,Laki-laki,503
Buah Batu,Tidak,Laki-laki,0
Rancasari,Tidak,Laki-laki,216
Gedebage,Tidak,Laki-laki,266
Cibiru,Tidak,Laki-laki,0
Panyileukan,Tidak,Laki-laki,0
Ujung Berung,Tidak,Laki-laki,407
Cinambo,Tidak,Laki-laki,0
Arcamanik,Tidak,Laki-laki,174
Antapani,Tidak,Laki-laki,0
Mandalajati,Tidak,Laki-laki,0
Kiara Condong,Tidak,Laki-laki,607
Batununggal,Tidak,Laki-laki,531
Sumur Bandung,Tidak,Laki-laki,111
Andir,Tidak,Laki-laki,664
Cicendo,Tidak,Laki-laki,590
Bandung Wetan,Tidak,Laki-laki,0
Cibeunying Kidul,Tidak,Laki-laki,1150
Cibeunying Kaler,Tidak,Laki-laki,0
Coblong,Tidak,Laki-laki,1061
Sukajadi,Tidak,Laki-laki,253
Sukasari,Tidak,Laki-laki,0
Cidadap,Tidak,Laki-laki,470
Bandung Kulon,Ya,Perempuan,4340
Babakan Ciparay,Ya,Perempuan,3588
Bojongloa Kaler,Ya,Perempuan,2221
Bojongloa Kidul,Ya,Perempuan,2767
Astana Anyar,Ya,Perempuan,1370
Regol,Ya,Perempuan,1148
Lengkong,Ya,Perempuan,2693
Bandung Kidul,Ya,Perempuan,1013
Buah Batu,Ya,Perempuan,5007
Rancasari,Ya,Perempuan,2855
Gedebage,Ya,Perempuan,1123
Cibiru,Ya,Perempuan,3216
Panyileukan,Ya,Perempuan,837
Ujung Berung,Ya,Perempuan,2343
Cinambo,Ya,Perempuan,365
Arcamanik,Ya,Perempuan,2206
Antapani,Ya,Perempuan,2169
Mandalajati,Ya,Perempuan,1133
Kiara Condong,Ya,Perempuan,3186
Batununggal,Ya,Perempuan,1491
Sumur Bandung,Ya,Perempuan,541
Andir,Ya,Perempuan,2173
Cicendo,Ya,Perempuan,2876
Bandung Wetan,Ya,Perempuan,533
Cibeunying Kidul,Ya,Perempuan,1156
Cibeunying Kaler,Ya,Perempuan,960
Coblong,Ya,Perempuan,2695
Sukajadi,Ya,Perempuan,1084
Sukasari,Ya,Perempuan,1577
Cidadap,Ya,Perempuan,1227
Bandung Kulon,Tidak,Perempuan,529
Babakan Ciparay,Tidak,Perempuan,334
Bojongloa Kaler,Tidak,Perempuan,0
Bojongloa Kidul,Tidak,Perempuan,244
Astana Anyar,Tidak,Perempuan,163
Regol,Tidak,Perempuan,128
Lengkong,Tidak,Perempuan,0
Bandung Kidul,Tidak,Perempuan,0
Buah Batu,Tidak,Perempuan,0
Rancasari,Tidak,Perempuan,224
Gedebage,Tidak,Perempuan,0
Cibiru,Tidak,Perempuan,370
Panyileukan,Tidak,Perempuan,0
Ujung Berung,Tidak,Perempuan,424
Cinambo,Tidak,Perempuan,174
Arcamanik,Tidak,Perempuan,0
Antapani,Tidak,Perempuan,759
Mandalajati,Tidak,Perempuan,0
Kiara Condong,Tidak,Perempuan,0
Batununggal,Tidak,Perempuan,407
Sumur Bandung,Tidak,Perempuan,111
Andir,Tidak,Perempuan,138
Cicendo,Tidak,Perempuan,793
Bandung Wetan,Tidak,Perempuan,0
Cibeunying Kidul,Tidak,Perempuan,1518
Cibeunying Kaler,Tidak,Perempuan,0
Coblong,Tidak,Perempuan,0
Sukajadi,Tidak,Perempuan,0
Sukasari,Tidak,Perempuan,0
Cidadap,Tidak,Perempuan,566
