lokasi,nama_komoditas,2015-09-01,2015-09-02,2015-09-03,2015-09-04,2015-09-05,2015-09-06,2015-09-07,2015-09-08,2015-09-09,2015-09-10,2015-09-11,2015-09-12,2015-09-13,2015-09-14,2015-09-15,2015-09-16,2015-09-17,2015-09-18,2015-09-19,2015-09-20,2015-09-21,2015-09-22,2015-09-23,2015-09-24,2015-09-25,2015-09-26,2015-09-27,2015-09-28,2015-09-29,2015-09-30
"Pasar Andir","Beras Medium",9500,9500,9500,0,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,0,9500,0,0,9500,9500,0
"Pasar Andir","Cabe Merah",28000,28000,28000,28000,0,0,28000,28000,35000,35000,35000,0,0,30000,30000,30000,30000,30000,0,0,30000,30000,30000,0,30000,0,0,20000,20000,0
"Pasar Andir","Bawang Merah",17000,17000,17000,17000,0,0,17000,17000,17000,17000,17000,0,0,17000,17000,17000,17000,20000,0,0,20000,20000,20000,0,20000,0,0,20000,20000,0
"Pasar Andir","Daging Ayam Ras",34000,34000,34000,34000,0,0,34000,34000,28000,28000,28000,0,0,28000,28000,28000,28000,30000,0,0,30000,30000,28000,0,28000,0,0,28000,28000,0
"Pasar Andir","Telur Ayam Ras",22000,22000,22000,22000,0,0,22000,22000,20000,20000,20000,0,0,20000,20000,20000,18000,18000,0,0,18000,18000,18000,0,18000,0,0,18000,18000,0
"Pasar Andir","Daging Sapi",130000,130000,130000,130000,0,0,130000,130000,130000,130000,130000,0,0,130000,130000,130000,110000,110000,0,0,110000,110000,110000,0,110000,0,0,110000,110000,0
"Pasar Andir","Minyak Goreng",14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,0,14000,0,0,14000,14000,14000,0,14000,0,0,14000,14000,0
"Pasar Andir","Gula Pasir",12500,12500,12500,12500,0,0,12500,12500,12500,12500,12500,0,0,12500,12500,12500,12500,12500,0,0,12500,12500,12000,0,12000,0,0,12000,12000,0
"Pasar Andir",Kentang,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,0,11000,0,0,0,11000,0
"Pasar Andir",Kedelai,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,11000,11000,0,0,11000,11000,11000,0,11000,0,0,11000,11000,0
"Pasar Andir","Tepung Terigu",0,7500,7500,0,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,0,7500,0,0,7500,7500,0
"Pasar Andir","Bawang Putih",20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,0,20000,0,0,20000,20000,0
"Pasar Andir","Cabe Keriting",37000,37000,37000,37000,0,0,37000,37000,37000,37000,37000,0,0,37000,37000,37000,37000,37000,0,0,37000,37000,30000,0,0,0,0,25000,25000,0
"Pasar Andir","Cabe Rawit",75000,75000,75000,75000,0,0,75000,75000,75000,75000,75000,0,0,57000,57000,57000,40000,40000,0,0,40000,40000,45000,0,45000,0,0,45000,45000,0
"Pasar Andir","Kacang Tanah",28000,28000,28000,28000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000,28000,0,28000,0,0,28000,28000,0
"Pasar Andir","Ubi Kayu",3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,0,3000,0,0,3000,3000,0
"Pasar Andir","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir",Jagung,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,0,7000,0,0,7000,7000,0
"Pasar Andir","Ikan Olahan",45000,45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,0,45000,45000,45000,0,0,45000,45000,0,0,45000,0,0,45000,45000,0
"Pasar Andir","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Minyak Goreng Curah",9500,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,9500,12000,0,0,12000,12000,9500,0,9500,0,0,9500,9500,0
"Pasar Andir","Daging Ayam Kampung",60000,60000,60000,60000,0,0,60000,60000,60000,60000,60000,0,0,60000,60000,60000,60000,60000,0,0,60000,60000,60000,0,60000,0,0,60000,60000,0
"Pasar Andir","Telur Ayam Kampung",40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,0,40000,0,0,40000,40000,0
"Pasar Andir","Susu Kental Manis Merk Bendera",9500,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,0,9500,0,0,9500,9500,0
"Pasar Andir","Susu Kental Manis Merk Indomilk",9000,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9000,0,9000,0,0,9000,9000,0
"Pasar Andir","Garam Beryodium Bata",1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,0,1000,0,0,1000,1000,0
"Pasar Andir","Garam Beryodium Halus",3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,0,3000,0,0,3000,3000,0
"Pasar Andir","Tepung Terigu Cakra Kembar",7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,0,7500,0,0,7500,7500,0
"Pasar Andir","Tepung Terigu Kunci",7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,0,7000,0,0,7000,7000,0
"Pasar Andir","Mie Instan",2000,2000,2000,0,0,0,2000,2000,2000,2000,2000,0,0,2000,2000,2000,2000,2000,0,0,2000,2000,2000,0,2000,0,0,2000,2000,0
