id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
6697137,"Belanja Cetak",8000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BATUNUNGGAL",2016,"Penyediaan Barang Cetakan dan Penggandaan",Barang/jasa,Barang,"1 Tahun","Kelurahan Binong","Belanja Cetak dan Belanja Cetak Karung Kelurahan",APBD," 8000000",1.20.1.20.27.09.01.10.5.2.2.01.11.5.2.2.06.01,"Pengadaan Langsung",22-02-2016,31-12-2016,22-02-2016,31-12-2016
5998291,"belanja pengadaan Sound system",18000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BATUNUNGGAL",2016,"penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 paket","kecamatan Batununggal","Belanja pegadaan Sound System",APBD," 18000000",1.20.1.20.27.01.01.13.5.2.3.27.05,"Penunjukan Langsung",22-01-2016,30-06-2016,22-01-2016,31-12-2016
6449029,"Honorarium Tim Barang dan Jasa",1400000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BATUNUNGGAL",2016,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 Paket","Kelurahan Maleer","Honorarium Tim Barang dan Jasa",APBD," 1400000",1.20.1.20.27.03.01.13.5.2.3.30.05,"Pengadaan Langsung",01-04-2016,15-04-2016,15-02-2016,30-04-2016
6701855,"Belanja Sewa Gedung/Kantor/Tempat",30000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BATUNUNGGAL",2016,"Pemeliharaan Rutin/berkala gedung kantor",Barang/jasa,Barang,"1 Tahun","Kelurahan Binong","Belanja Sewa Gedung/Kantor/Tempat",APBD," 30000000",1.20.1.20.27.09.02.22.5.2.2.07.02,"Pengadaan Langsung",22-02-2016,31-12-2016,22-02-2016,31-12-2016
7586587,"Belanja riil besi untuk rw 02",3600000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BATUNUNGGAL",2016,"Belanja riil besi untuk rw 02",Barang/jasa,"Pekerjaan Konstruksi","1 kegiatan","Kelurahan Kacapiring","Kelurahan Kacapiring",APBD," 3600000",1.22.20.27.05.22.01,"Pengadaan Langsung",21-06-2016,24-06-2016,04-07-2016,22-07-2016
7610661,"Belanja makanan dan minuman",44450000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BATUNUNGGAL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,"1 tahun","Kelurahan Kebon Gedang","belanja maminkegiatan RW Triwulan III & IV",APBD," 44450000",1.22.27.07.22.01.5.2,"Penunjukan Langsung",01-07-2016,30-12-2016,01-07-2016,30-12-2016
7586711,"Pembuatan Penutup Saluran RW 02",2350000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BATUNUNGGAL",2016,"Pembuatan Penutup Saluran RW 02",Barang/jasa,"Pekerjaan Konstruksi","1 kegiatan","Kelurahan Kacapiring","Kelurahan Kacapiring",APBD," 2350000",1.22.20.27.05.22.01,"Pengadaan Langsung",21-06-2016,24-06-2016,04-07-2016,22-07-2016
6487167,"Pengadaan Harddisk External",2500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BATUNUNGGAL",2016,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"2 Buah","Kelurahan Kebonwaru","Pengadaan Harddisk External",APBD," 2500000",1.20.1.20.27.06.01.13.5.2.3.29.02,"Pengadaan Langsung",01-04-2016,15-04-2016,18-04-2016,30-04-2016
6697045,"Belanja Perangko, Materai dan Benda Pos Lainnya",1500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BATUNUNGGAL",2016,"Penyediaan Alat Tulis Kantor ",Barang/jasa,Barang,"1 Tahun","Kelurahan Binong","Belanja Materai",APBD," 1500000",1.20.1.20.27.09.01.10.5.2.2.01.04,"Pengadaan Langsung",22-02-2016,31-12-2016,22-02-2016,31-12-2016
6681477,"Belanja Modal Peralatan dan Mesin Pengadaan Meja dan Kursi/Rapat Pejabat",7000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BATUNUNGGAL",2016,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"2 Unit","Kelurahan Gumuruh","Belanja Modal Peralatan dan Mesin Pengadaan Lemari Arsip dan Arsip Pejabat",APBD," 7000000",1.20.1.20.27.02.01.13.5.2.3.30.07,"Pengadaan Langsung",22-02-2016,31-03-2016,22-02-2016,02-03-2016
