bidang_urusan,tahun,total_usulan,urusan_wajib,urusan_pilihan,jml_program,jml_kegiatan,jml_diakomodir,jml_tdk_diakomodir,jml_dana_usulan
Pendidikan,2017,278,278,0,8,68,80,198,63696808000
Kesehatan,2017,244,244,0,17,59,143,101,59259075750
Pekerjaan umum,2017,2586,2586,0,13,66,560,2026,1041536943162
Perumahan,2017,423,423,0,8,22,395,28,329634340202
Penataan Ruang,2017,1,1,0,1,1,0,1,400000000
Perhubungan,2017,90,90,0,3,7,59,31,4222700000
Lingkungan Hidup,2017,502,502,0,7,32,262,240,204590100000
Pertanahan,2017,114,114,0,2,18,62,52,754822500000
Kependudukan dan catatan sipil,2017,16,16,0,1,6,15,1,765000000
Pemberdayaan perempuan dan perlindungan anak,2017,15,15,0,6,10,12,3,274600000
Keluarga berencana dan keluarga sejahtera,2017,49,49,0,8,17,36,13,1548235000
Sosial,2017,49,49,0,8,12,39,10,1287200000
Ketenagakerjaan,2017,83,83,0,4,14,42,41,3074000000
Koperasi dan usaha kecil dan menengah,2017,102,102,0,4,17,82,20,3569500000
Kebudayaan,2017,60,60,0,3,9,20,40,153386500000
Kepemudaan dan olah raga,2017,179,179,0,4,8,151,28,10609745000
Kesatuan bangsa dan politik dalam negeri,2017,57,57,0,7,14,27,30,4957250000
"Otonomi daerah, pemerintahan umum, administrasi keuangan, perangkat daerah, kepegawaian dan persandian",2017,12,12,0,4,8,4,8,7000000000
Ketahanan pangan,2017,12,12,0,3,9,6,6,350000000
Pemberdayaan masyarakat dan desa,2017,50,50,0,7,16,8,42,1790658325
Kearsipan,2017,1,1,0,1,1,0,1,5000000
Komunikasi dan informatika,2017,20,20,0,3,8,11,9,871725000
Perpustakaan,2017,12,12,0,1,3,10,2,367000000
Pertanian,2017,21,0,21,1,4,18,3,690000000
Pariwisata,2017,7,0,7,1,1,6,1,275000000
Kelautan dan Perikanan,2017,1,0,1,1,1,1,0,5500000
Perdagangan,2017,2,0,2,2,2,2,0,105000000
Industri,2017,10,0,10,3,3,10,0,219200000
Pariwisata,2017,3,0,3,2,3,0,3,930000000
Kelautan dan Perikanan,2017,11,0,11,1,1,10,1,405000000
Perdagangan,2017,4,1,3,4,4,2,2,663500000
Industri,2017,2,0,2,2,2,2,0,20000000
