id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan,
656464,Jasa Konsultasi Perencanaan,250000000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Pengkajian dan Pengembangan Sistem Informasi,Barang/jasa,Jasa Konsultansi,5 Paket,Bandung,Jasa Konsultasi,APBD,250000000,1.25.25.01.15.06,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
661624,Kelengkapan Komputer,23000000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Pengadaan Perlengkapan Aparatur,Modal,Barang,16 Unit,Bandung,Kelengkapan Komputer,APBD,23000000,1.25.25.01.02.12,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,11/03/2014,
665461,Belanja Bimbingan Teknis,64000000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Pelatihan SDM dalam Bidang Komunikasi dan Informasi,Barang/jasa,Jasa Lainnya,8 Paket,Bandung,Bimbingan Teknis,APBD,64000000,1.25.25.01.17.01,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
662374,Cetak,78125000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Pembinaan dan Pengembangan Jaringan komunikasi dan Informasi,Barang/jasa,Jasa Lainnya,1 Paket,Bandung,Belanja Cetak,APBD,78125000,1.25.25.01.15.02,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,11/03/2014,
660735,Kendaraan Roda Empat,544500000,Penunjukan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Pengadaan Mobil Jabatan,Modal,Barang,3 Unit,Bandung,Kendaraan Roda Empat,APBD,544500000,1.25.25.01.02.04,Penunjukan Langsung,03/02/2014,25/02/2014,04/03/2014,11/12/2014,
665668,Konsultasi Perencanaan,50000000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Penyebarluasan Informasi Pembangunan Daerah,Barang/jasa,Jasa Konsultansi,1 Paket,Bandung,Konsultasi Perencanaan,APBD,50000000,1.25.25.01.18.01,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
662813,Relokasi Tower,25000000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Perencanaan dan Pengembanagn Kebijakan Komunikasi dan Informasi,Barang/jasa,Pekerjaan Konstruksi,1 Paket,Bandung,Relokasi Tower ,APBD,25000000,1.25.25.01.15.07,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
639256,Jasa Konsultasi,50000000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",Barang/jasa,Jasa Konsultansi,1 Paket,Bandung,Jasa Konsultasi,APBD,50000000,1.25.25..01.01.02,Pengadaan Langsung,03/02/2014,25/02/2014,25/02/2014,10/12/2014,
665124,Peralatan Jaringan Komputer dan Firewall Operation Room,1200000000,Lelang Umum,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Perenacanaan dan Pengembangan Kebijakan Komunikasi dan Informasi,Modal,Barang,1 Paket,Bandung,Peralatan JAringan Komputer dan Firewall Operation Room,APBD,1200000000,1.25.25.01.15.07,Lelang Umum,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
661045,Kendaraan Roda Dua,48900000,Penunjukan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Pengadaan Kendaraan Dinas / Operasional,Modal,Barang,3 Unit,Bandung,Kendaraan Roda Dus,APBD,48900000,1.25.25.01.02.05,Penunjukan Langsung,03/02/2014,25/02/2014,04/03/2014,11/03/2014,
661418,Notebook,291250000,Lelang Umum,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Pengadaan Perlengkapan Aparatur,Modal,Barang,24 Unit,Bandung,Notebook,APBD,291250000,1.25.25.01.02.12,Lelang Umum,03/02/2014,25/02/2014,04/03/2014,11/03/2014,
665728,Cetak,718850000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Penyebarluasan Informasi Penyelenggaraan Pemerintah Daerah,Barang/jasa,Jasa Lainnya,14 Paket,Bandung,Cetak,APBD,718850000,1.25.25.01.18.02,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
640488,Penggantian Suku Cadang,125000000,Penunjukan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Penyedia Jasa Pemeliharaan dan Perizinan Kendaraan Dinas / Operasional,Barang/jasa,Jasa Lainnya,12 Bulan,Bandung,Penggantian Suku Cadang,APBD,125000000,1.25.25.01.01.06,Penunjukan Langsung,03/02/2014,25/02/2014,25/02/2014,10/12/2014,
660575,Pemeliharaan Alat Kantor,78100000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Penyediaan PEralatan Rumah Tangga,Barang/jasa,Jasa Lainnya,1 Tahun,Bandung,Pemeliharaan Alat Kantor,APBD,78100000,1.25.25.01.01.14,Pengadaan Langsung,21/02/2014,26/02/2014,25/02/2014,10/12/2014,
662636,Pemeliharaan Jaringan,525000000,Lelang Umum,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Perencanaan dan Pengembangan KEbijakan Komunikasi dan Informasi,Barang/jasa,Jasa Konsultansi,1 Paket,Bandung,Pemeliharaan jaringan,APBD,525000000,1.25.25.01.15.07,Lelang Umum,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
662176,Pakaian Dinas dan Perlengkapannya,88950000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Pengadaan Pakaian Dinas Beserta Perlengkapannya ,Barang/jasa,Barang,1 Paket,Bandung,Pakaian Dinas dan Perlengkapannya,APBD,88950000,1.25.25.01.03.02,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,11/03/2014,
662004,Rehab Gedung,98950000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Pemeliharaan rutin/Berkala Gedung Kantor,Barang/jasa,Pekerjaan Konstruksi,1 Paket,Bandung,Rehab Gedung,APBD,98950000,1.25.25.01.02.22,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,25/03/2014,
1948730,Belanja Modal Pengadaan Monitor/Display,3740000000,Lelang Umum,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Perencanaan dan Pengembangan Kebijakan Komunikasi dan Informasi,Modal,Barang,1 Paket,Dinas Komunikasi dan Informatika Kota Bandung,Belanja Modal Pengadaan Monitor/Display,APBD,3740000000,1.25.1.25.01.15.07.5.2.3.12.06,Lelang Umum,06/11/2014,21/11/2014,21/11/2014,10/12/2014,Belanja Modal Pengadaan Monitor/Display (1924322) 
