no,nama_sekolah,tahun_2010,tahun_2011,tahun_2012
1,SMP Negeri 1 Bandung,26.3,26.7,27.35
2,SMP Negeri 2 Bandung,27.9,27.1,28.2
3,SMP Negeri 3 Bandung,25.65,26.15,26.4
4,SMP Negeri 4 Bandung,25.8,25.75,26.15
5,SMP Negeri 5 Bandung,27.8,26.15,28.3
6,SMP Negeri 6 Bandung,23.6,23.05,23.85
7,SMP Negeri 7 Bandung,27.25,27.35,27.95
8,SMP Negeri 8 Bandung,26.55,26.6,27.25
9,SMP Negeri 9 Bandung,25.8,25.75,26.45
10,SMP Negeri 10 Bandung,24.7,25.3,25.4
11,SMP Negeri 11 Bandung,25.35,25.95,26.2
12,SMP Negeri 12 Bandung,25.55,25.25,25.75
13,SMP Negeri 13 Bandung,26.55,27,27.4
14,SMP Negeri 14 Bandung,26.75,27,27.45
15,SMP Negeri 15 Bandung,24.9,24.8,25.95
16,SMP Negeri 16 Bandung,25.7,25.9,25.9
17,SMP Negeri 17 Bandung,26.05,26.2,26.4
18,SMP Negeri 18 Bandung,25.35,25.75,26.45
19,SMP Negeri 19 Bandung,24.3,23.65,24.35
20,SMP Negeri 20 Bandung,24.75,24.5,25.05
21,SMP Negeri 21 Bandung,22.8,23.25,22.95
22,SMP Negeri 22 Bandung,24.85,25.3,26
23,SMP Negeri 23 Bandung,22.9,23.25,23.45
24,SMP Negeri 24 Bandung,22.25,22.6,22.6
25,SMP Negeri 25 Bandung,24.55,25.1,25.35
26,SMP Negeri 26 Bandung,24.25,24.6,24.95
27,SMP Negeri 27 Bandung,25.35,25.3,25.95
28,SMP Negeri 28 Bandung,26.05,26.4,27.6
29,SMP Negeri 29 Bandung,23.05,23.1,23.4
30,SMP Negeri 30 Bandung,25.75,26.65,26.5
31,SMP Negeri 31 Bandung,24.95,25.3,25.55
32,SMP Negeri 32 Bandung,22.7,22.85,22.9
33,SMP Negeri 33 Bandung,22.95,23.55,22.9
34,SMP Negeri 34 Bandung,25.85,26.15,26.6
35,SMP Negeri 35 Bandung,23.5,23.45,24.35
36,SMP Negeri 36 Bandung,23.25,24.35,24.35
37,SMP Negeri 37 Bandung,23.75,23.9,24.1
38,SMP Negeri 38 Bandung,23.75,24.35,24.35
39,SMP Negeri 39 Bandung,21.55,23.25,23
40,SMP Negeri 40 Bandung,24.5,22.85,24.85
41,SMP Negeri 41 Bandung,23.9,24.15,24.1
42,SMP Negeri 42 Bandung,23.55,23.9,24.35
43,SMP Negeri 43 Bandung,24.5,24.45,24.95
44,SMP Negeri 44 Bandung,25.95,26.15,27.1
45,SMP Negeri 45 Bandung,23.85,23.95,24.45
46,SMP Negeri 46 Bandung,24.2,24.45,24.95
47,SMP Negeri 47 Bandung,23.9,24.35,24.55
48,SMP Negeri 48 Bandung,24.05,24.55,25.2
49,SMP Negeri 49 Bandung,24.9,24.6,25.3
50,SMP Negeri 50 Bandung,24.9,24.85,24.9
51,SMP Negeri 51 Bandung,24.4,24.75,24.5
52,SMP Negeri 52 Bandung,22.6,23,23.25
53,SMP Negeri 53 Bandung,,,24.25
54,MTs Negeri 1 Bandung,20.65,21.7,22.1
55,MTs Negeri 2 Bandung,23.95,24.2,24
