Kecamatan ,Luas (KM2),Kepadatan Penduduk Per KM2
Bandung Kulon ,"6,46 ",22.045
Babakan Ciparay ,"7,45 ",19.744
Bojongloa Kaler ,"3,03 ",39.738
Bojongloa Kidul ,"6,26 ",13.685
Astanaanyar ,"2,89 ",23.817
Regol ,"4,30",18.946
Lengkong ,"5,90",12.066
Bandung Kidul,"6,05",9.729
Buah Batu ,"7,93",11.993
Rancasari ,"7,33",10.49
Gedebage,"9,58",3.871
Cibiru,"6,32",11.395
Panyileukan,"5,10",7.892
Ujung Berung,"6,40",12.016
Cinambo,"3,68 ",6.856
Arcamanik,"5,87 ",11.808
Antapani ,"3,79 ",19.647
Mandalajati,"6,67 ",9.532
Kiaracondong,"6,12 ",21.564
Batununggal,"5,03 ",24.041
Sumur Bandung,"3,4 ",10.759
Andir,"3,71 ",26.295
Cicendo,"6,86 ",14.541
Bandung Wetan,"3,39 ",9.181
Cibeunying Kidul,"5,25 ",20.534
Cibeunying Kaler,"4,50 ",15.761
Coblong ,"7,35 ",17.895
Sukajadi ,"4,30 ",25.203
Sukasari ,"6,27 ",13.063
Cidadap ,"6,11 ",9.603
