id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,awal_pekerjaan,akhir_pekerjaan
4082762,"KECAMATAN RANCASARI","Belanja Alat Tulis Kantor",27098000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Alat Tulis Kantor Penunjang Kegiatan Operasional",APBD," 27098000",5.2.2.01.01,02-01-2015,31-12-2016
4084046,"KECAMATAN RANCASARI","Belanja Jasa Konsultansi Pengembangan ",0,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Jasa Konsultansi Pengembangan ",APBD," 0",5.2.2.21.04,02-01-2015,31-12-2016
4083225,"KECAMATAN RANCASARI","Belanja Jasa Pembayaran Retribusi Kebersihan",3600000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Jasa Pembayaran Retribusi Kebersihan",APBD," 3600000",5.2.2.03.13,02-01-2015,31-12-2016
4082847,"KECAMATAN RANCASARI","Belanja Pengisian Tabung Gas",4680000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","kecamatan rancasari","Tersedianya isi ulang tabung gas",APBD," 4680000",5.2.2.01.08,02-01-2015,31-12-2016
4083174,"KECAMATAN RANCASARI","Belanja Surat Kabar/Majalah",15600000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Surat Kabar/Majalah",APBD," 15600000",5.2.2.03.05,02-01-2015,31-12-2016
4082803,"KECAMATAN RANCASARI","Belanja Prangko,Materai dan Benda Pos lainnya",13200000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Prangko,Materai dan Benda Pos lainnya",APBD," 13200000",5.2.2.01.04,02-01-2015,31-12-2016
4082777,"KECAMATAN RANCASARI","Belanja Alat Listrik dan Elektronik",10800000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Alat Listrik dan Elektronik Penunjang Kegiatan Operasional",APBD," 10800000",5.2.2.01.03,02-01-2015,31-12-2016
4083248,"KECAMATAN RANCASARI","Belanja Jasa Pemasangan Iklan",1200000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Jasa Pemasangan Iklan",APBD," 1200000",5.2.2.03.14,02-01-2015,31-12-2016
4084024,"KECAMATAN RANCASARI","Belanja Pemeliharaan yang Disewakelolakan",2378507000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Pemeliharaan yang Disewakelolakan",APBD," 2378507000",5.2.2.20.10,02-01-2015,31-12-2016
4083887,"KECAMATAN RANCASARI","Belanja Perjalanan Dinas Luar Daerah",60700000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Perjalanan Dinas Luar Daerah",APBD," 60700000",5.2.2.15.02,02-01-2015,31-12-2016
4083372,"KECAMATAN RANCASARI","Belanja Penggantian Suku Cadang",56200000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Penggantian Suku Cadang",APBD," 56200000",5.2.2.05.02,02-01-2015,31-12-2016
4083962,"KECAMATAN RANCASARI","Belanja Bimbingan Teknis",13000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Bimbingan Teknis",APBD," 13000000",5.2.2.17.03,02-01-2015,31-12-2016
4083197,"KECAMATAN RANCASARI","Belanja Kawat/Faksimili/Internet/Intranet/TV Kabel/TV satelit",120000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","TErsedianya Kawat/Faksimili/Internet/Intranet/TV Kabel/TV satelit",APBD," 120000000",5.2.2.03.06,02-01-2015,31-12-2016
4083861,"KECAMATAN RANCASARI","Belanja Perjalanan Dinas Dalam Daerah",5000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Perjalanan Dinas Dalam Daerah",APBD," 5000000",5.2.2.15.01,02-01-2015,31-12-2016
4083509,"KECAMATAN RANCASARI","Belanja Cetak Publikasi",2400000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Cetak Publikasi",APBD," 2400000",5.2.2.06.03,02-01-2015,31-12-2016
4083758,"KECAMATAN RANCASARI","Belanja Makanan dan MInuman Tamu",28200000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Makanan dan MInuman Tamu",APBD," 28200000",5.2.2.11.03,02-01-2015,31-12-2016
4083427,"KECAMATAN RANCASARI","Belanja Surat Tanda Nomor Kendaraan",11200000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","TErsedianya Surat Tanda Nomor Kendaraan",APBD," 11200000",5.2.2.05.07,02-01-2015,31-12-2016
4083457,"KECAMATAN RANCASARI","Belanja Cetak",82300000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Cetak",APBD," 82300000",5.2.2.06.01,02-01-2015,31-12-2016
4082987,"KECAMATAN RANCASARI","Belanja Bahan/ Bibit Tanaman",135000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Bahan dan Bibit Tanaman",APBD," 135000000",5.2.2.02.02,02-01-2015,31-12-2016
4082965,"KECAMATAN RANCASARI","Belanja Dekorasi",14000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Dekorasi",APBD," 14000000",5.2.2.01.14,02-01-2015,31-12-2016
4083978,"KECAMATAN RANCASARI","Belanja Pemeliharaan Peralatan dan Mesin",22200000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Pemeliharaan Peralatan dan Mesin",APBD," 22200000",5.2.2.20.04,02-01-2015,31-12-2016
4082998,"KECAMATAN RANCASARI","Belanja Persediaan Makanan Pokok",118000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN RANCASARI",2015,"12 Bulan","Kecamatan Rancasari","Tersedianya Persediaan Makanan Pokok",APBD," 118000000",5.2.2.02.06,02-01-2015,31-12-2016
