NO,KETERANGAN,2010,2011,2012,2013,2014,2015,SATUAN
1,Jumlah Kendaraan yang masuk via gerbang tol pasteuR/Pasirkoja/Kopo/M.Toha/Buah Batu,28686824,30533812,32587386,33731385,35002815,32174348,Kendaraan
,1.       Jumlah Pengunjung Melalui gerbang Tol.,65442916,69674507,73976993,76765364,79164051,73592442,Orang
,2.       Jumlah Pengunjung melalui Bandara, stasiun,terminal,7990407,6388447,6524071,7073615,7038837,7603193,Orang
,               Jumlah,73433323,76062954,80501064,83838979,86202888,81195635,Orang
2,Wisatawan yang melalui pintu gerbang kedatangan,,,,,,,
,a.        Wisman,228449,225585,176855,176432,180143,183932,Orang
,b.       Wisnus,4951439,6487239,5080584,5388292,5627421,5877162,Orang
,Jumlah,5179888,6712824,5257439,5564724,5807564,6061094,Orang
3,Wisatawan Menginap,,,,,,,
,a.        Wisman,180603,194062,158848,170982,176487,130.039   3.874.453     4.004.492,Orang
,b.       Wisnus,3024666,3882010,3354857,3726447,4242294,,Orang
,Jumlah Tamu Menginap,3205269,4076072,3513705,3897429,4418781,,Orang
,Jumlah Tamu Tidak Menginap,1974619,2636752,1743734,1667295,1388783,2056602,Orang
,Rata-rata Lama Tinggal Wisatawan,,,,,,2,25,Hari 
