lokasi,nama_komoditas,2014-02-01,2014-02-02,2014-02-03,2014-02-04,2014-02-05,2014-02-06,2014-02-07,2014-02-08,2014-02-09,2014-02-10,2014-02-11,2014-02-12,2014-02-13,2014-02-14,2014-02-15,2014-02-16,2014-02-17,2014-02-18,2014-02-19,2014-02-20,2014-02-21,2014-02-22,2014-02-23,2014-02-24,2014-02-25,2014-02-26,2014-02-27,2014-02-28
"Pasar Kosambi","Beras Medium",0,0,0,8500,8500,8500,8500,8500,8500,0,0,8500,8500,8500,8500,8500,0,0,8500,8500,8500,8500,8500,0,0,8500,8500,8500
"Pasar Kosambi","Cabe Merah",0,0,0,40000,40000,40000,40000,40000,40000,0,0,35000,35000,35000,35000,35000,0,0,35000,25000,25000,25000,25000,0,0,25000,25000,25000
"Pasar Kosambi","Bawang Merah",0,0,0,24000,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000
"Pasar Kosambi","Daging Ayam Ras",0,0,0,30000,30000,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,30000,30000
"Pasar Kosambi","Telur Ayam Ras",0,0,0,20000,19000,19000,19000,19000,20000,0,0,18500,18500,18500,18500,18500,0,0,18500,18500,18500,18500,18500,0,0,18500,18500,16500
"Pasar Kosambi","Daging Sapi",0,0,0,100000,100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000
"Pasar Kosambi","Minyak Goreng",0,0,0,12300,12300,12300,12300,12300,12300,0,0,12300,12300,12300,12300,12300,0,0,12300,12300,12300,12300,12300,0,0,12300,12300,13300
"Pasar Kosambi","Gula Pasir",0,0,0,11000,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000
"Pasar Kosambi",Kentang,0,0,0,11000,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000
"Pasar Kosambi",Kedelai,0,0,0,10000,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000
"Pasar Kosambi","Tepung Terigu",0,0,0,7500,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500
"Pasar Kosambi","Bawang Putih",0,0,0,16000,16000,16000,16000,16000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000
"Pasar Kosambi","Cabe Keriting",0,0,0,40000,40000,40000,40000,40000,40000,0,0,35000,35000,35000,35000,35000,0,0,35000,25000,25000,25000,25000,0,0,25000,25000,25000
"Pasar Kosambi","Cabe Rawit",0,0,0,50000,60000,60000,60000,60000,60000,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,60000
"Pasar Kosambi","Kacang Tanah",0,0,0,17000,17000,17000,17000,17000,17000,0,0,17000,17000,17000,17000,17000,0,0,17000,17000,17000,17000,17000,0,0,17000,17000,17000
"Pasar Kosambi","Ubi Kayu",0,0,0,4000,4000,4000,4000,4000,4000,0,0,4000,4000,4000,4000,4000,0,0,4000,4000,4000,4000,4000,0,0,4000,4000,4000
"Pasar Kosambi","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
