npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan_nama,Column,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20271533,SLB YPDP,Keaksaraan,SMA / sederajat,Jl. Puri Asih VIII No. 12 Santosa Asih Jaya,4,4,,Cipamokolan,Kec. Rancasari,-6.94,108.0,"C1, D",Tidak Aktif,Yayasan
20219867,SLB ABCD CARINGIN,Keaksaraan,SMA / sederajat,Jl. Holis Gg. Faqih Rt 02/09,2,9,Caringin,Babakan,Kec. Babakan Ciparay,-6.9396,107.5705,"C1, D",Tidak Aktif,Yayasan
20219137,SMKS PASUNDAN 1 BANDUNG,SMK,SMA / sederajat,JL BALONGGEDE NO.44 BANDUNG,10,5,,Balong Gede,Kec. Regol,-6.9268,107.6069,Tidak ada,Tidak Aktif,Yayasan
20219725,SMA KARTIKA XIX-2,SMA,SMA / sederajat,JL. PAK GATOT RAYA NO. 73,2,2,-,Gegerkalong,Kec. Sukasari,-6.8652,107.5877,Tidak ada,Tidak Aktif,Yayasan
20265530,SMKS CITRA PEMBAHARUAN,SMK,SMA / sederajat,PAJAJARAN NO.92,3,4,,Pamoyanan,Kec. Cicendo,-6.9059,107.593,Tidak ada,Tidak Aktif,Yayasan
20272028,SMKS PAHLAWAN TOHA,SMK,SMA / sederajat,Jl. Peta (Sukamulya I),1,9,Sukamulya,Suka Asih,Kec. Bojong Loa Kaler,-6.9326,107.5895,Tidak ada,Tidak Aktif,Yayasan
20219727,SMAS KARTIKA XIX-1,SMA,SMA / sederajat,JL. TAMAN PRAMUKA NO. 163,2,1,,Cihapit,Kec. Bandung Wetan,-6.9096,107.6268,Tidak ada,Tidak Aktif,Yayasan
20253836,SMAS PRIBADI,SMA,SMA / sederajat,Jln. PHH. Mustofa no. 41 ,2,6,-,Neglasari,Kec. Cibeunying Kaler,-6.8993,107.6408,Tidak ada,Tidak Aktif,Yayasan
20219254,SMAN 2 BANDUNG,SMA,SMA / sederajat,JL. CIHAMPELAS NO. 173,9,4,-,Cipaganti,Kec. Coblong,-6.8892,107.6038,Tidak ada,Aktif,Pemerintah Daerah
20219219,SMKS VIJAYA KUSUMA,SMK,SMA / sederajat,JL. DR. SETIABUDI NO. 238,4,6,-,Ledeng,Kec. Cidadap,-6.8638,107.5942,Tidak ada,Tidak Aktif,Yayasan
20265522,SMAS PLUS PARIWISATA,SMA,SMA / sederajat,JL. TERS. BOROBUDUR NO. 1-4,3,4,-,Cibaduyut Kidul,Kec. Bojong Loa Kidul,-6.9584,107.5914,Tidak ada,Tidak Aktif,Yayasan
20219785,SMAS NUSANTARA,SMA,SMA / sederajat,JL.KOPO NO.322,1,7,Kopo,Kopo,Kec. Bojong Loa Kaler,-6.9419,107.592,Tidak ada,Tidak Aktif,Yayasan
20219140,SMKN 8 BANDUNG,SMK,SMA / sederajat,JLN. KILININGAN NO.31,3,6,-,Turangga,Kec. Lengkong,-6.9402,107.6289,Tidak ada,Aktif,Pemerintah Pusat
20219175,SMKN 11 BANDUNG,SMK,SMA / sederajat,JL. BUDI CILEMBER,1,4,-,Sukaraja,Kec. Cicendo,-6.899,107.5884,Tidak ada,Aktif,Pemerintah Daerah
20246140,SMKS BUDAYA BANGSA,SMK,SMA / sederajat,CITARIP RAYA BARAT  NO.16,5,10,-,Kopo,Kec. Bojong Loa Kaler,-6.9377,107.5886,Tidak ada,Tidak Aktif,Yayasan
20275333,SMKS BAKTI BANGSA,SMK,SMA / sederajat,SARIJADI BLOK I,2,2,Sarijadi,Sarijadi,Kec. Sukasari,-6.8756,107.5802,Tidak ada,Tidak Aktif,Yayasan
20219768,SMAS PAJAJARAN,SMA,SMA / sederajat,JL. MALEBER UTARA NO. 37,4,4,-,Maleber,Kec. Andir,-6.920902,107.599795,Tidak ada,Tidak Aktif,Yayasan
20280599,SLB ABCD LOB,Keaksaraan,SMA / sederajat,Jl. Manglayang  I  No. 7 ,3,5,,Palasari,Kec. Cibiru,-6.913808,107.724543,"C1, D",Tidak Aktif,Yayasan
20219178,SMKN 1 BANDUNG,SMK,SMA / sederajat,JL. WASTUKANCANA NO. 3,3,7,-,Babakan Ciamis,Kec. Sumur Bandung,-6.9132,107.6089,Tidak ada,Aktif,Pemerintah Pusat
20219773,SMAS PASUNDAN 7 BANDUNG,SMA,SMA / sederajat,JL. KEBONJATI NO. 31,3,3,-,Kebon Jeruk,Kec. Andir,-6.9162,107.601,Tidak ada,Tidak Aktif,Yayasan
