lokasi,nama_komoditas,2016-05-06,2016-05-13,2016-05-20,2016-05-27,2016-05-02,2016-05-03,2016-05-04,2016-05-09,2016-05-10,2016-05-11,2016-05-12,2016-05-16,2016-05-17,2016-05-19,2016-05-23,2016-05-24,2016-05-25,2016-05-26,2016-05-30,2016-05-31,,
Pasar Baru,Beras Medium,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,
Pasar Baru,Cabe Merah,0,40000,30000,30000,32000,32000,32000,40000,40000,40000,40000,30000,30000,30000,30000,30000,30000,30000,30000,30000,,
Pasar Baru,Bawang Merah,0,38000,38000,38000,38000,0,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,,
Pasar Baru,Daging Ayam Ras,0,34000,33000,0,33000,33000,33000,34000,34000,34000,34000,33000,33000,33000,33000,33000,33000,33000,33000,34000,,
Pasar Baru,Telur Ayam Ras,0,20000,20000,22500,20000,0,20000,20000,20000,20000,20000,20000,20000,20000,21000,21000,21000,22000,22500,23000,,
Pasar Baru,Daging Sapi,0,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,0,120000,120000,120000,120000,120000,120000,120000,120000,,
Pasar Baru,Minyak Goreng,0,14000,14000,14000,14000,0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,,
Pasar Baru,Gula Pasir,0,15000,15000,15000,13000,13000,13000,13000,13000,13000,13000,15000,15000,15000,15000,15000,15000,15000,15000,15000,,
Pasar Baru,Kentang,0,12000,12000,15000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,15000,15000,15000,15000,15000,15000,,
Pasar Baru,Kedelai,0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,0,11000,11000,11000,0,11000,11000,,
Pasar Baru,Tepung Terigu,0,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,0,7500,7500,7500,,
Pasar Baru,Bawang Putih,0,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,,
Pasar Baru,Cabe Keriting,0,30000,25000,25000,0,25000,25000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,
Pasar Baru,Cabe Rawit,0,32000,30000,30000,32000,32000,32000,32000,32000,32000,32000,30000,30000,30000,30000,30000,30000,30000,30000,30000,,
Pasar Baru,Kacang Tanah,0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,,
Pasar Baru,Ubi Kayu,0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,
Pasar Baru,Ubi Jalar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pasar Baru,Jagung,0,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,,
