No,NAMA RUMAH MAKAN,ALAMAT,KELURAHAN
1,RM Siti Nurbaya,Jl. Soekarno Hatta No. 652 RT 01 RW 01,Cipamokolan
2,RM Dua Putra,Jl. Cipamokolan RT 08 RW 01,Cipamokolan
3,Kantin Cipamokolan,Jl. Cipamokolan No. 5  RT 05 RW 01,Cipamokolan
4,RM Masakan Sunda,Jl. Cipamokolan RT 05 RW 01,Cipamokolan
5,Kantin Ananda,Jl. Cipamokolan No. 23 RT 05 RW 01,Cipamokolan
6,RM Citra Alam,Jl. Cipamokolan No. 42 RT 05 RW 01,Cipamokolan
7,RM Rasaki,Jl. Cipamokolan No. 42 RT 05 RW 01,Cipamokolan
8,RM Kania,Jl. Cipamokolan No. 34 RT 05 RW 01,Cipamokolan
9,RM Mutiara,Jl. Cipamokolan Raya RT 04 RW 08,Cipamokolan
10,Ayam Suharti,Jl. Soekarno Hatta No. 652 Rt 01 RW 01,Cipamokolan
11,Sari Minang,Jl. Derwati Rt 03 Rw 06,Derwati
12,Pincuran Tujuah,Jl. Dewati Rt 05 Rw 02,Derwati
13,RM Jaso Bundho,Jl. Ciwastra Rt 01/07,Mekarjaya
14,Rm Hikmah,Jl Ciwastra no 288 Rt 01 Rw 07,Mekarjaya
15,RM Lubuk Alung,Jl. Ciwastra no 185,Mekarjaya
16,RM Ampera Minang,Jl. Ciwastra No 189 Rt 06 Rw 08,Mekarjaya
17,RM Metro,Jl. Ciwastra No188 Rt 06 RW 08,Mekarjaya
18,RM Selamat,Jl. Bodogol Rt 02/03,Mekarjaya
19,Saung Lembur Nikmat,Jl. Bodogol Rt 02/03,Mekarjaya
20,RM Uni,Jl. Bodogol Rt 01 Rw 05,Mekarjaya
21,Laksana,Jl. Venus Raya RW 01 Metro,Manjahlega
22,Ampera Minang,Jl. Soekarno Hatta ,Manjahlega
23,KCF,Jl. Venus Raya Rw 01 Mmetro,Manjahlega
24,Garuda,Jl. Tata Surya,Manjahlega
25,B. Hasbul,Jl. Tata Surya No.9,Manjahlega
26,Cipta Rasa,Ruko Metro,Manjahlega
27,RR,Jl. Tata Surya No. 7,Manjahlega
28,Heboh,Jl. Tata Surya No. 81,Manjahlega
29,Do'a Mandeh,Jl. Mercuri tengah No. 41,Manjahlega
30,Mufin,Jl. Rancabolang Blok P 85,Manjahlega
31,Andalus,Jl. Tata Surya,Manjahlega
32,VENUS KAFE,Jl. Venus Raya,Manjahlega
