BULAN, HO , JML IZIN , IMB , JML IZIN , Trayek , JML IZIN 
1," 389,512,380 ", 316 ," 3,100,345,689 ", 299 ," 24,900,000 ", 166 
2," 202,716,990 ", 374 ," 2,094,326,410 ", 322 ," 18,250,000 ", 117 
3," 432,217,380 ", 548 ," 3,322,895,621 ", 391 ," 18,750,000 ", 124 
4," 483,138,084 ", 546 ," 3,102,998,801 ", 315 ," 18,800,000 ", 118 
5," 279,845,100 ", 480 ," 1,560,306,203 ", 317 ," 8,250,000 ", 54 
6," 586,579,230 ", 572 ," 3,189,967,477 ", 338 ," 29,000,000 ", 173 
7," 163,989,738 ", 316 ," 1,226,158,296 ", 234 ," 12,800,000 ", 82 
8," 483,993,792 ", 553 ," 2,320,423,077 ", 345 ," 19,500,000 ", 130 
9," 328,047,960 ", 594 ," 11,395,592,113 ", 310 ," 11,400,000 ", 75 
10," 211,786,710 ", 470 ," 1,821,519,904 ", 301 ," 15,150,000 ", 101 
11, - , - , - , - , - , - 
12, - , - , - , - , - , - 
