Kecamatan,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati
Bandung Kulon,43.08,48.37,1.36,7.19
Babakan Ciparay,45.58,44.86,1.5,8.06
Bojongloa Kaler,43.55,49.82,1.74,4.89
Bojongloa Kidul,44.5,46.14,2.57,6.79
Astana Anyar,42.5,44.73,1.91,10.86
Regol,35.8,47.47,5.82,10.91
Lengkong,38.09,50.29,4.45,7.17
Bandung Kidul,45.97,44.51,1.36,8.16
Buah Batu,47.06,47.3,0.96,4.68
Rancasari,35.69,48.24,2.23,13.84
Gedebage,44.78,45.53,2.3,7.39
Cibiru,40.87,54.25,0.47,4.41
Panyileukan,41.78,47.18,5.15,5.89
Ujung Berung,43.12,51.66,1.21,4.01
Cinambo,37.99,49.44,5.66,6.91
Arcamanik,44.31,51.84,1.09,2.76
Antapani,38.97,49.55,1.86,9.62
Mandalajati,42.89,44.55,0.78,11.78
Kiara Condong,41.78,51.17,4.09,2.96
Batununggal,35.06,53.42,4.09,7.43
Sumur Bandung,44.24,41.05,2.44,12.27
Andir,42.29,42.53,4.12,11.06
Cicendo,29.65,54.17,4.29,11.89
Bandung Wetan,33.88,48.8,4.26,13.06
Cibeunying Kidul,40.72,53.24,0.93,5.11
Cibeunying Kaler,44.14,43.3,4.13,8.43
Coblong,47.86,44.86,2.92,4.36
Sukajadi,44.84,47.92,1.88,5.36
Sukasari,36.55,50.12,3.04,10.29
Cidadap,30.97,60.82,2.17,6.04
