lokasi,nama_komoditas,2014-07-01,2014-07-02,2014-07-03,2014-07-04,2014-07-05,2014-07-06,2014-07-07,2014-07-08,2014-07-09,2014-07-10,2014-07-11,2014-07-12,2014-07-13,2014-07-14,2014-07-15,2014-07-16,2014-07-17,2014-07-18,2014-07-19,2014-07-20,2014-07-21,2014-07-22,2014-07-23,2014-07-24,2014-07-25,2014-07-26,2014-07-27,2014-07-28,2014-07-29,2014-07-30,2014-07-31
"Pasar Kiaracondong","Beras Medium",0,8000,8000,8000,8000,8000,0,0,8000,8000,0,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,0,0
"Pasar Kiaracondong","Cabe Merah",0,23000,23000,23000,23000,23000,0,0,20000,20000,0,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,30000,30000,30000,30000,0,0,0,0
"Pasar Kiaracondong","Bawang Merah",0,24000,24000,24000,24000,24000,0,0,24000,24000,0,24000,24000,0,0,24000,24000,24000,24000,24000,0,0,20000,22000,20000,20000,20000,0,0,0,0
"Pasar Kiaracondong","Daging Ayam Ras",0,36000,36000,36000,35000,35000,0,0,32000,32000,0,32000,32000,0,0,32000,32000,32000,32000,32000,0,0,30000,32000,32000,32000,32000,0,0,0,0
"Pasar Kiaracondong","Telur Ayam Ras",0,19000,19000,19000,19000,19000,0,0,19000,19000,0,19000,19000,0,0,19000,19000,19000,19000,19000,0,0,19000,19000,19000,19000,19000,0,0,0,0
"Pasar Kiaracondong","Daging Sapi",0,100000,100000,100000,100000,100000,0,0,100000,100000,0,100000,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000,110000,110000,0,0,0,0
"Pasar Kiaracondong","Minyak Goreng",0,15000,15000,15000,15000,15000,0,0,15000,15000,0,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,0,0
"Pasar Kiaracondong","Gula Pasir",0,11000,11000,11000,11000,11000,0,0,11500,11500,0,11500,11500,0,0,11500,11500,11500,11500,11500,0,0,11500,11500,11500,11500,11500,0,0,0,0
"Pasar Kiaracondong",Kentang,0,10000,10000,10000,10000,10000,0,0,10000,10000,0,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,11000,11000,13000,13000,13000,0,0,0,0
"Pasar Kiaracondong",Kedelai,0,11000,11000,11000,11000,11000,0,0,11000,11000,0,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,12000,12000,12000,12000,12000,0,0,0,0
