lokasi,nama_komoditas,2017-04-01,2017-04-02,2017-04-03,2017-04-04,2017-04-05,2017-04-06,2017-04-07,2017-04-08,2017-04-09,2017-04-10,2017-04-11,2017-04-12,2017-04-13,2017-04-14,2017-04-15,2017-04-16,2017-04-17,2017-04-18,2017-04-19,2017-04-20,2017-04-21,2017-04-22,2017-04-23,2017-04-24,2017-04-25,2017-04-26,2017-04-27,2017-04-28,2017-04-29,2017-04-30
"Pasar Kosambi","Beras Medium",0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,0,0,0,10000,10000,10000,10000,10000,0,0,0,10000,10000,10000,10000,0,0
"Pasar Kosambi","Cabe Merah",0,0,40000,40000,40000,40000,40000,0,0,40000,40000,60000,60000,0,0,0,60000,60000,60000,60000,60000,0,0,0,60000,60000,60000,60000,0,0
"Pasar Kosambi","Bawang Merah",0,0,35000,35000,35000,35000,35000,0,0,35000,35000,35000,35000,0,0,0,35000,35000,35000,35000,35000,0,0,0,35000,35000,35000,35000,0,0
"Pasar Kosambi","Daging Ayam Ras",0,0,32000,32000,32000,32000,32000,0,0,32000,32000,35000,35000,0,0,0,34000,34000,34000,34000,34000,0,0,0,34000,33000,33000,33000,0,0
"Pasar Kosambi","Telur Ayam Ras",0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18500,18500,0,0,0,18500,18500,18500,18500,18500,0,0,0,18500,18500,18500,18500,0,0
"Pasar Kosambi","Daging Sapi",0,0,120000,120000,120000,120000,120000,0,0,120000,120000,120000,120000,0,0,0,120000,120000,120000,120000,120000,0,0,0,120000,120000,120000,120000,0,0
"Pasar Kosambi","Minyak Goreng",0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,0,0,0,15000,15000,15000,15000,15000,0,0,0,15000,15000,15000,15000,0,0
"Pasar Kosambi","Gula Pasir",0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,0,0,0,14000,14000,14000,14000,14000,0,0,0,14000,14000,14000,14000,0,0
"Pasar Kosambi",Kentang,0,0,16000,16000,16000,16000,16000,0,0,16000,16000,16000,16000,0,0,0,18000,18000,18000,18000,18000,0,0,0,18000,18000,18000,18000,0,0
"Pasar Kosambi",Kedelai,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,0,0,0,11000,11000,11000,11000,11000,0,0,0,11000,11000,11000,11000,0,0
"Pasar Kosambi","Tepung Terigu",0,0,7500,7500,7500,7500,7500,0,0,7500,7500,2500,7500,0,0,0,7500,7500,7500,7500,7500,0,0,0,7500,7500,7500,7500,0,0
"Pasar Kosambi","Bawang Putih",0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,0,0,0,40000,40000,40000,40000,40000,0,0,0,40000,55000,55000,55000,0,0
"Pasar Kosambi","Cabe Keriting",0,0,30000,30000,30000,30000,30000,0,0,30000,30000,50000,50000,0,0,0,50000,50000,50000,50000,50000,0,0,0,50000,40000,40000,40000,0,0
"Pasar Kosambi","Cabe Rawit",0,0,80000,80000,80000,80000,80000,0,0,80000,80000,60000,60000,0,0,0,70000,70000,70000,70000,70000,0,0,0,70000,60000,60000,60000,0,0
"Pasar Kosambi","Kacang Tanah",0,0,28000,28000,28000,28000,28000,0,0,28000,28000,28000,28000,0,0,0,28000,28000,28000,28000,28000,0,0,0,28000,28000,28000,28000,0,0
"Pasar Kosambi","Ubi Kayu",0,0,4000,4000,4000,4000,4000,0,0,4000,4000,4000,4000,0,0,0,4000,4000,4000,4000,4000,0,0,0,4000,4000,4000,4000,0,0
"Pasar Kosambi","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi",Jagung,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,0,0,0,12000,12000,12000,12000,12000,0,0,0,12000,12000,12000,12000,0,0
"Pasar Kosambi","Ikan Olahan",0,0,70000,70000,70000,70000,70000,0,0,70000,70000,70000,0,0,0,0,70000,70000,0,0,0,0,0,0,0,0,70000,70000,0,0
"Pasar Kosambi","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi","Minyak Goreng Curah",0,0,12500,12500,12500,12500,12500,0,0,12500,12500,12500,12500,0,0,0,12500,12500,12500,12500,12500,0,0,0,12500,12500,12500,12500,0,0
"Pasar Kosambi","Daging Ayam Kampung",0,0,75000,75000,75000,75000,75000,0,0,75000,75000,75000,75000,0,0,0,75000,75000,75000,75000,75000,0,0,0,75000,75000,75000,75000,0,0
"Pasar Kosambi","Telur Ayam Kampung",0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,0,0,0,40000,40000,40000,40000,40000,0,0,0,40000,40000,40000,40000,0,0
"Pasar Kosambi","Susu Kental Manis Merk Bendera",0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,0,0,0,10000,10000,10000,10000,10000,0,0,0,10000,10000,10000,10000,0,0
"Pasar Kosambi","Susu Kental Manis Merk Indomilk",0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,9500,0,0,0,9500,9500,9500,9500,9500,0,0,0,9500,9500,9500,9500,0,0
"Pasar Kosambi","Garam Beryodium Bata",0,0,1500,1500,1500,1500,1500,0,0,1500,1500,1500,1500,0,0,0,1500,1500,1500,1500,1500,0,0,0,1500,1500,1500,1500,0,0
"Pasar Kosambi","Garam Beryodium Halus",0,0,6000,6000,6000,6000,6000,0,0,6000,6000,6000,6000,0,0,0,6000,6000,6000,6000,6000,0,0,0,6000,6000,6000,6000,0,0
"Pasar Kosambi","Tepung Terigu Cakra Kembar",0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,0,0,0,7500,7500,7500,7500,7500,0,0,0,7500,7500,7500,7500,0,0
"Pasar Kosambi","Tepung Terigu Kunci",0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,0,0,0,7000,7000,7000,7000,7000,0,0,0,7000,7000,7000,7000,0,0
"Pasar Kosambi","Mie Instan",0,0,2300,2300,2300,2300,2300,0,0,2300,2300,2300,2300,0,0,0,2300,2300,2300,2300,2300,0,0,0,2300,2300,2300,2300,0,0
"Pasar Kosambi","Cabe Rawit Hijau",0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,0,0,0,50000,50000,50000,50000,50000,0,0,0,50000,50000,50000,50000,0,0
"Pasar Kosambi","Kacang Hijau",0,0,19000,19000,19000,19000,19000,0,0,19000,19000,19000,19000,0,0,0,19000,19000,19000,19000,19000,0,0,0,19000,19000,19000,19000,0,0
