nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,6,0,0,0,0,23,3
Coblong,9,0,0,0,0,7,0
Babakan Ciparay,0,0,0,0,0,0,0
Bojongloa Kaler,9,0,0,0,0,5,0
Andir,9,3,0,0,0,4,0
Cicendo,7,0,0,0,1,33,12
Sukajadi,15,2,0,0,0,18,10
Cidadap,0,0,0,0,0,0,0
Bandung Wetan,0,0,0,0,0,0,0
Astana Anyar,0,0,0,0,0,0,0
Regol,0,0,0,0,0,9,0
Batununggal,2,0,0,0,0,46,13
Lengkong,6,0,0,0,0,3,0
Cibeunying Kidul,0,0,0,0,0,0,0
Bandung Kulon,1,0,0,6,0,79,3
Kiaracondong,15,1,0,1,0,19,0
Bojongloa Kidul,32,14,0,0,0,20,0
Cibeunying Kaler,0,0,0,0,0,0,0
Sumur Bandung,3,0,0,0,0,0,0
Antapani,90,0,0,0,0,44,0
Bandung Kidul,5,0,0,4,0,18,2
Buahbatu,10,0,0,0,0,10,4
Rancasari,25,3,0,0,0,23,3
Arcamanik,0,0,0,0,0,0,0
Cibiru,16,0,0,0,0,1,0
Ujung Berung,0,0,0,0,0,0,0
Gedebage,0,0,0,0,0,0,0
Panyileukan,0,0,0,0,0,0,0
Cinambo,0,0,0,0,0,0,0
Mandalajati,0,0,0,0,0,0,0
