NO,ID_TPS,WILAYAH,KECAMATAN,NAMA TPS,LOKASI TPS (JALAN),LATITUDE,LONGITUDE,SAMPAH YANG MASUK (±M³/HARI),SAMPAH DIANGKUT KE TPA (±M³/HARI)
1,TU001,BANDUNG UTARA,SUKASARI,ORARI,LEMAH NEUNDEUT,-6.88077,107.579187,39.49,39.49
2,TU002,BANDUNG UTARA,SUKASARI,SARIMADU,SARIMADU KOMPLEK SARIJADI,-6.882981,107.573238,45.39,45.39
3,TU003,BANDUNG UTARA,SUKASARI,KPAD,KARTIKA KOMP. KPAD GERLONG,-6.868206,107.588659,15.86,14
4,TU004,BANDUNG UTARA,SUKASARI,GERLONG,PASAR GERLONG JL. GERLONG TENGAH,-6.86741,107.591298,16.57,16
5,TU005,BANDUNG UTARA,SUKASARI,SERSAN BAJURI,SERSAN BAJURI,-6.855445,107.592013,12.87,12.87
6,TU006,BANDUNG UTARA,SUKASARI,UPI,KOMPLEK UPI,-6.862401,107.592886,6,4.5
7,TU007,BANDUNG UTARA,SUKAJADI,KARANGTINEUNG (JEMPUTAN),KARANGTINEUNG (JEMPUTAN),-6.883527,107.593569,10,10
8,TU008,BANDUNG UTARA,CIDADAP,PUNCLUT,PUNCLUT DEKAT SMPN 52,-6.860752,107.606472,14.93,14.93
9,TU009,BANDUNG UTARA,CIDADAP,LEDENG,TERMINAL LEDENG,-6.85925,107.595322,3,3
10,TU010,BANDUNG UTARA,CIDADAP,CIRATEUN,CIRATEUN,-6.845731,107.599585,10,10
11,TU011,BANDUNG UTARA,CIBEUNYING KALER,CIHAURGEULIS,SURAPATI (PASAR CIHAURGEULIS),-6.899374,107.628068,42.79,42.79
12,TU012,BANDUNG UTARA,CIBEUNYING KALER,ITENAS,PH. MUSTOPHA (ITENAS),-6.896515,107.636539,6,5
13,TU013,BANDUNG UTARA,CIBEUNYING KALER,DAGO GOLF (JEMPUTAN),DAGO GOLF (JEMPUTAN),-6.869288,107.623386,10,10
14,TU014,BANDUNG UTARA,SUKAJADI,PASTEUR,DJUNJUNAN,-6.896963,107.59194,59.86,59.86
15,TU015,BANDUNG UTARA,SUKAJADI,SEDERHANA,SEDERHANA,-6.890433,107.599634,49.78,49.78
16,TU016,BANDUNG UTARA,SUKAJADI,CIBOGO,CIBOGO,-6.891418,107.579992,22.32,22.32
17,TU017,BANDUNG UTARA,SUKAJADI,RUMAH SAKIT HASAN SADIKIN (RSHS),RUMAH SAKIT,-6.897324,107.599055,6,4
18,TU018,BANDUNG UTARA,SUKAJADI,PARIS VAN JAVA (PVJ),SUKAJADI,-6.889355,107.595842,10,10
19,TU019,BANDUNG UTARA,SUKAJADI,GIANT HYPERSQUARE,DJUNJUNAN,-6.91437,107.594345,15,12
20,TU020,BANDUNG UTARA,SUKAJADI,MARANATHA,SURYA SUMANTRI,-6.886454,107.58099,6,3
21,TU021,BANDUNG UTARA,CIBEUNYING KIDUL,CIKUTRA,CIKUTRA,-6.906454,107.643936,31.3,31.3
22,TU022,BANDUNG UTARA,CIBEUNYING KIDUL,SUCI,PH. MUSTOPHA,-6.900163,107.64465,31.75,31.75
23,TU023,BANDUNG UTARA,CIBEUNYING KIDUL,PUSAT PERSENJATAAN INFANTRI (PPI),SUPRATMAN (KOMPLEK PPI),-6.903209,107.632913,1.5,1
24,TU024,BANDUNG UTARA,BANDUNG WETAN,PASAR BUNGA,WASTUKANCANA,-6.904978,107.607525,1,1
