KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.03 . 00 . 00 . 5,BELANJA,310911063914,
1.20 . 1.20.03 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,61886993314,
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,61886993314,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.20 . 1.20.03 . 01 . 01 . 5 . 2,BELANJA LANGSUNG,249024070600,
1.20 . 1.20.03 . 01,Program Pelayanan Administrasi Perkantoran,94747357083,
1.20 . 1.20.03 . 01 . 01,Penyediaan jasa surat menyurat,1349855000,
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 1,Belanja Pegawai,878210000,
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,471645000,
1.20 . 1.20.03 . 01 . 02,Penyediaan jasa komunikasi sumber daya air dan listrik,57119584113,
1.20 . 1.20.03 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,57119584113,
1.20 . 1.20.03 . 01 . 03,Penyediaan jasa peralatan dan perlengkapan kantor,4825500000,
1.20 . 1.20.03 . 01 . 03 . 5 . 2 . 1,Belanja Pegawai,295000000,
1.20 . 1.20.03 . 01 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,4530500000,
1.20 . 1.20.03 . 01 . 08,Penyediaan jasa kebersihan kantor,8061120000,
1.20 . 1.20.03 . 01 . 08 . 5 . 2 . 1,Belanja Pegawai,205000000,
1.20 . 1.20.03 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,7856120000,
1.20 . 1.20.03 . 01 . 09,Penyediaan jasa perbaikan peralatan kerja,187750000,
1.20 . 1.20.03 . 01 . 09 . 5 . 2 . 1,Belanja Pegawai,4000000,
1.20 . 1.20.03 . 01 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,183750000,
1.20 . 1.20.03 . 01 . 10,Penyediaan alat tulis kantor,1589435331,
