NO,TAHUN,PENGHARGAAN
1,2014,KEPALA SEKOLAH BERPRESTASI TINGKAT SMP
2,2014,PENGHARGAAN BPJS AWARD TK. PROPINSI JUARA 1
3,2014,PENGHARGAAN BUDAYA JAWA BARAT
4,2014,ANUGERAH INOVATIF BIDANG KEBUDAYAAN
5,2014,PENGHARGAAN SASTRA RANCAGE (YAYASAN RANCAGAGE)
6,2014,"JAJAKA JUARA PINILIH  I DAN HARAPAN II MOJANG, MOJANG JAJAKA JAWA BARAT"
7,2014,BINOJAKRAMA PADALANGAN WAYANG PURWA SE - JAWA  BARAT
8,2014,JUARA HARAPAN 2 HELARAN HUT KOTA SUKABUMI
9,2014,JUARA HARAPAN I FESTIVAL MUSIK ETNIS KOLABORASI GARUT
10,2014,"PASANGGIRI MUSIK, TARI DAN TEATER TINGKAT JAWA BARAT GRAND FINAL"
11,2014,"PASANGGIRI MUSIK, TARI DAN TEATER TINGKAT JAWA BARAT ZONA PRIANGAN II JAWA BARAT"
12,2014,"JUARA 3 KATEGORI KABUPATEN/ KOTA PENYELENGGARA MANAJEMEN KEPEGAWAIAN YANG BERMUTU, AKUNTABEL, INOVATIF DAN KREATIF (BAIK) KLASTER 1 TINGKAT JAWA BARAT"
13,2014,JUARA 1 DONGENG SUNDA
14,2014,JUARA UMUM BERGILIR TRAVELLING
15,2014,JUARA 1 LOMBA PERAWATAN KELUARGA
16,2014,JUARA 1 LOMBA KEPEMIMPINAN
17,2014,JUARA 1 LOMBA POSTER DORAS
18,2014,JUARA 1 LOMBA KARAOKE LAGU PMR
19,2014,JUARA 2 LOMBA KARAOKE LAGU PMR
20,2014,JUARA 3 LOMBA KARAOKE LAGU PMR
21,2014,JUARA 3 LOMBA HASTA KARYA
22,2014,JUARA 1 JUARA PKBM DIWAKILI PKBM NUSA BANGSA
23,2014,JUARA 1 LOMBA PADUAN SUARA
24,2014,JUARA 3 LOMBA  ECO OFFICE
25,2014,JUARA 1 LOMBA  UKS
26,2014,JUARA HARAPAN LOMBA KELURAHAN TINGKAT PROPINSI JAWA BARAT TAHUN 2014
27,2014,PEMENANG LOMBA DESA/ KELURAHAN SADAR HUKUM TAHUN 2014
28,2014,JUARA KE 1 SEPAK BOLA LIGA NGABUBURIT
29,2014,JUARA UMUM MTQ JAWA BARAT KE-33
30,2014,PENGHARGAAN GUBERNUR JAWA BARAT SEBAGAI PEMENANG PELAYANAN TERPADU SATU PINTU (PTSP) KATEGORI BAIK KABUPATEN/KOTA SE-JAWA BARAT.
31,2014,RASKIN AWARD 2014 TINGKAT PROPINSI JAWA BARAT
32,2014,PENGHARGAAN DARI TNI AD KB-KES TERPADU KODAM III/SILIWANGI
33,2014,PENGHARGAAN JAMINAN SOSIAL AWARD 2014
34,2014,JUARA 1 LOMBA B2SA PROPINSI JABAR KATEGORI MENU OLAHAN IKAN
35,2014,JUARA 2 LOMBA CIPTA MENU B2SA TINGKAT PROPINSI JABAR
36,2014,JUARA 1 LOMBA KESRAK PKK KB KES
37,2015,JUARA I FESTIVAL CALUNG TINGKAT PROPINSI
38,2015,JUARA II HELARAN SENI BUDAYA JAWA BARAT 
39,2015,LEMBAGA PELESTARI BUDAYA JAWA BARAT 
40,2015,PENILAIAN PERUSAHAAN PMA DAN PMDN TERBAIK DALAM RANGKA HARI JADI JAWA BARAT KE-70
41,2015,JUARA 1 PADUAN SUARA
42,2015,JUARA 1 AKSARA SUNDA FLS2N
43,2015,JUARA HARAPAN 3 PENDAMPING KELOMPOK POSYANDU
44,2015,JUARA FAVORIT LOMBA MASAK FOOD ETHNIC
45,2015,JUARA 2 LOMBA KELUARGA SAKINAH TK. PROVINSI JABAR
46,2015,JUARA 3 KARATE TK. PROVINSI
47,2015,JUARA 1 PRAMUKA SMP TK PROVINSI
48,2015,JUARA 2 PMR SMP TK PROVINSI
49,2015,JUARA 2 ADIWIYATA TK PROVINSI
50,2015,JUARA 2 KARATE TK PROVINSI
51,2015,JUARA 1 TARI JAIPONG TK. PROVINSI
52,2015,JUARA 1 PASKIBRA SD TK. PROVINSI
53,2015,JUARA 1 KARATE TK. KOTA BANDUNG DAN TK. PROVINSI
54,2015,"JUARA 2 LOMBA BKB,BKR"
55,2015,JUARA HARAPAN 3 LOMBA DOKTER CILIK
56,2015,JUARA 1 LOMBA ASMAUL HUSNA (MEWAKILI WILAYAH GEDEBAGE)
57,2015,JUARA 2 LOMBA POSYANDU
58,2015,JUARA 1 LOMBA SEKOLAH SEHAT
59,2015,JUARA KE 1 SEPAK BOLA  LIGA NGABUBURIT
60,2015,PENGHARGAAN REVITALISASI POSYANDU
61,2015,JUARA 4 LOMBA KELURAHAN TINGKAT PROPINSI
62,2016,PENGHARGAAN PENYALURAN DAN PEMBAYARAN HARGA TEBUS RASKIN TERBAIK TAHUN 2015
63,2016,PENGHARGAAN DUKUNGAN APBD TERHADAP KELANCARAN PROGRAM RASKIN TERBAIK TAHUN 2015
64,2016,JUARA UMUM MTQ TINGKAT PROPINSI JAWA BARAT
