id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
1211160,"Belanja Kendaraan Bermotor Roda 4	
",310000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pengadaan Kendaraan Dinas Operasional ",Modal,"Jasa Lainnya","1 paket","Kota Bandung ","Kendaraan Toyota Kijang Innova ",APBD," 310000000",2.04.2.04.01.021.05.5.2.3.03.03,"Pengadaan Langsung",18-04-2014,30-04-2014,01-05-2014,05-06-2014
1210401,"Belanja jasa Konsultasi Pengembangan Aplikasi Kepariwisataan Android",45000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Peningkatan pemanfaatan teknologi informasi dalam pemasaran pariwisata",Barang/jasa,"Jasa Konsultansi","1 paket","Kota Bandung","Belanja jasa Konsultasi Pengembangan Aplikasi Kepariwisataan Android",APBD," 45000000",2.04.2.04.01.15.02.5.2.2.21.04,"Pengadaan Langsung",23-04-2014,07-05-2014,08-05-2014,06-06-2014
1212582,"Belanja Jasa Konsultasi Pengembangan",50000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pengembangan dan Penguatan Litbang Kebudayaan dan Pariwisata",Barang/jasa,"Jasa Konsultansi","1 paket","Kota Bandung","Belanja Jasa Konsultasi Pengembangan",APBD," 50000000",2.04.2.04.01.17.02.5.2.2.21.04,"Pengadaan Langsung",21-04-2014,05-05-2014,06-05-2014,05-06-2014
1212752,"Belanja Pemeliharaan Peralatan dan Perlengkapan Kantor/Rumah tangga	
",50000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pemeliharaan rutin/berkala perlengkapan gedung kantor ",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung ","Pemeliharaan Sound System ",APBD," 50000000",2.04.2.04.01.02.26.5.2.2.20.05,"Penunjukan Langsung",21-04-2014,05-05-2014,06-05-2014,09-06-2014
1211788,"Belanja Pemeliharaan Bangunan Gedung Kantor/dinas	
",194370000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pemeliharaan rutin/berkala gedung kantor ",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung ","Belanja Pemeliharaan Bangunan Gedung Kantor/dinas ",APBD," 194370000",2.04.2.04.01.02.22.5.2.2.20.04,"Pengadaan Langsung",01-07-2014,14-07-2014,15-07-2014,18-08-2014
1213696,"Belanja Modal Pengadaan Konstruksi/Pembelian Bangunan Monumen	
",140000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pengembangan Objek Pariwisata Unggulan ",Modal,"Jasa Lainnya","1 paket","Kota Bandung ","Pembuatan Gerbang Bandung ",APBD," 140000000",2.04.2.04.01.16.01.5.2.3.26.06,"Penunjukan Langsung",24-04-2014,08-05-2014,09-05-2014,09-06-2014
1211906,"Belanja Souvenir",25000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pelaksanaan Koordinasi Pengembangan Kemitraan Pariwisata",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung","Belanja Souvenir",APBD," 25000000",2.04.2.04.01.17.05.5.2.2.01.11,"Pengadaan Langsung",04-08-2014,15-08-2014,18-08-2014,17-09-2014
1212282,"Belanja makan dan Minum Kegiatan",106000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pelaksanaan Koordinasi Pengembangan Kemitraan Pariwisata",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung","belanja makan dan Minum Kegiatan",APBD," 106000000",2.04.2.04.01.17.05.5.2.2.11.04,"Pengadaan Langsung",04-11-2014,17-11-2014,18-11-2014,17-12-2014
1213967,"Belanja Mamin Kegiatan",15000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pengembangan dan Pengelolaan Pelestarian peninggalan Sejarah Purbakala, Museum dan Peninggalan Bawah air",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung","Belanja Mamin Kegiatan",APBD," 15000000",1.17.2.04.01.16.05.5.2.2.11.04,"Pengadaan Langsung",03-11-2014,14-11-2014,17-11-2014,15-12-2015
1214990,"Pentas seni di sentra budaya
",20000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pengembangan kesenian dan kebudayaan daerah ",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung ","Souvenir ",APBD," 20000000",1.17.2.04.01.17.01.5.2.2.01.11,"Pengadaan Langsung",08-10-2014,22-10-2014,23-10-2014,23-10-2014
1213722,"Cetak Buku Sastra",75000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Sosialisasi Pengelolaan Kekayaan Budaya Lokal Daerah",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung","Cetak Buku Sastra",APBD," 75000000",1.17.2.04.01.16.04.5.2.2.06.01,"Pengadaan Langsung",17-04-2014,01-05-2014,02-05-2014,02-06-2014
1214008,"Belanja penggandaan	
",50000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pelaksaan promosi pariwisata Nusantara di dalam dan di luar negeri ",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung ","Belanja penggandaan ",APBD," 50000000",2.04.2.04.01.15.05.5.2.2.06.02,"Pengadaan Langsung",22-04-2014,02-05-2014,05-05-2014,06-06-2014
1213934,"Belanja Cetak Heritage Map Kota Bandung",15000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pengembangan dan Pengelolaan Pelestarian peninggalan Sejarah Purbakala, Museum dan Peninggalan Bawah air",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung","Belanja Cetak Heritage Map Kota Bandung",APBD," 15000000",1.17.2.04.01.16.05.5.2.2.06.01,"Pengadaan Langsung",01-05-2014,12-05-2014,13-05-2014,12-06-2014
1214068,"Belanja Souvenir Anugrah Budaya",12500000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pemberian Dukungan, Penghargaan dan Kerjasama di bidang seni dan Budaya",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung","Belanja Souvenir Anugrah Budaya",APBD," 12500000",1.17.2.04.01.15.05.5.2.2.01.11,"Pengadaan Langsung",02-09-2014,15-09-2014,16-09-2014,15-10-2014
1214016,"Belanja Jasa Konsultasi kajian data BCB",50000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pengembangan dan Pengelolaan Pelestarian peninggalan Sejarah Purbakala, Museum dan Peninggalan Bawah air",Barang/jasa,"Jasa Konsultansi","1 paket","Kota Bandung","Belanja jasa KonsultasiKajian Data BCB",APBD," 50000000",1.17.2.04.01.16.05.5.2.2.21.07,"Pengadaan Langsung",03-11-2014,14-11-2014,17-11-2014,17-12-2014
1210893,"Belanja jasa pemasangan iklan	
",40000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Penyediaan bahan bacaan dan peraturan perundang-undangan ",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung ","Belanja jasa pemasangan iklan media cetak dan elektronik ",APBD," 40000000",2.04.2.04.01.01.15.5.2.2.03.14,"Pengadaan Langsung",01-10-2014,14-10-2014,15-10-2014,14-11-2014
1213553,"Konsultasi penelitian identifikasi 30 kampung wisata kreatif	
",50000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pengembangan Objek Pariwisata Unggulan ",Barang/jasa,"Jasa Konsultansi","1 paket","Kota Bandung ","Konsultasi penelitian identifikasi 30 kampung wisata kreatif ",APBD," 50000000",2.04.2.04.01.16.01.5.2.2.21.01,"Penunjukan Langsung",28-04-2014,12-05-2014,13-05-2014,13-06-2014
1214154,"Belanja Souvenir pasanggiri Moka",12500000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pemberian Dukungan, Penghargaan dan Kerjasama di bidang Seni dan Budaya",Barang/jasa,"Jasa Lainnya","1 paket","kota Bandung","Belanja Souvenir pasanggiri Moka",APBD," 12500000",1.17.2.04.01.15.05.5.2.2.01.11,"Pengadaan Langsung",01-10-2014,14-10-2014,15-10-2014,14-11-2014
1220261,"Belanja cetak",8250000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pemberian Dukungan, Penghargaan dan Kerjasama di Bidang Seni dan Budaya ",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung","Belanja cetak pasanggiri moka",APBD," 8250000",1.17.2.04.01.15.05.5.2.2.06.01,"Pengadaan Langsung",01-10-2014,14-10-2014,15-10-2014,16-10-2014
1209921,"Belanja modal pengadaan telepon	
",111000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Penyediaan Peralatan dan Perlengkapan Kantor ",Modal,"Jasa Lainnya","1 paket","Kota Bandung ","Pengadaan iPad Air (wi-fi + celluler) Pengadaan smartphone ",APBD," 111000000",2.04.2.04.01.01.01.13.5.2.3.17.01,"Pengadaan Langsung",23-04-2014,06-05-2014,06-05-2014,06-06-2014
1205237,"Belanja cetak map, kop surat, amplop dll.
",40000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Penyediaan barang Cetakan dan penggandaan ",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung","Belanja baran cetakan",APBD," 40000000",2.04.2.04.01.01.11.5.2.2.06.01,"Pengadaan Langsung",17-04-2014,29-04-2014,30-04-2014,21-05-2014
1210705,"Belanja jasa pemasangan iklan	
",40000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Penyediaan bahan bacaan dan peraturan perundang-undangan ",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung ","Belanja jasa pemasangan iklan media cetak dan elektronik ",APBD," 40000000",2.04.2.04.01.01.15.5.2.2.03.14,"Pengadaan Langsung",01-05-2014,14-05-2014,15-05-2014,16-06-2014
1214148,"Belanja konsultasi perencanaan	
",100000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pelaksaan promosi pariwisata Nusantara di dalam dan di luar negeri ",Barang/jasa,"Jasa Konsultansi","2 paket","Kota Bandung ","Belanja konsultasi perencanaan ",APBD," 100000000",2.04.2.04.01.15.05.5.2.2.21.02,"Pengadaan Langsung",25-04-2014,08-05-2014,09-05-2014,10-06-2014
1211637,"Belanja Jasa Konsultasi penelitian",50000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Analisa Pasar Untuk Promosi dan Pemasaran Objek Pariwisata",Barang/jasa,"Jasa Konsultansi","1 paket","Kota Bandung","Belanja Jasa Konsultasi penelitian",APBD," 50000000",2.04.2.04.01.15.01.5.2.2.21.01,"Pengadaan Langsung",18-04-2014,02-05-2014,05-05-2014,03-06-2014
1213308,"Belanja pemeliharaan bangunan kampung wisata pasir kunci dan dago pojok	
",50000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pengembangan Objek Pariwisata Unggulan ",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung ","Belanja pemeliharaan bangunan kampung wisata pasir kunci dan dago pojok ",APBD," 50000000",2.04.2.04.01.06.01.5.2.2.20.04,"Penunjukan Langsung",30-04-2014,13-05-2014,14-05-2014,16-06-2014
1212704,"Belanja Pemeliharaan Peralatan dan Perlengkapan Kantor/Rumah tangga	
",50000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pemeliharaan rutin/berkala perlengkapan gedung kantor ",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung ","Pemeliharaan jaringan listrik kantor padepokan seni ",APBD," 50000000",2.04.2.04.01.02.26.5.2.2.20.05,"Penunjukan Langsung",22-04-2014,05-05-2014,06-05-2014,09-06-2014
1214947,"Pasanggiri Moka	
",25000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pemberian Dukungan, Penghargaan dan Kerjasama di Bidang Seni dan Budaya ",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung ","Sewa sound sistem / panggung ",APBD," 25000000",1.17.2.04.01.15.05.5.2.2.10.07,"Pengadaan Langsung",07-10-2014,21-10-2014,22-10-2014,22-10-2014
1210650,"Belanja jasa pemasangan iklan	
",40000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Penyediaan bahan bacaan dan peraturan perundang-undangan ",Barang/jasa,"Jasa Lainnya",1paket,"Kota Bandung ","Belanja jasa pemasangan iklan media cetak dan elektronik ",APBD," 40000000",2.04.2.04.01.01.15.5.2.2.03.14,"Pengadaan Langsung",30-04-2014,14-05-2014,06-05-2014,06-06-2014
1212362,"Belanja Bahan Bakar Minyak/Gas dan Pelumas	
",78000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pemeliharaan rutin/berkala kendaraan dinas/operasional ",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung ","Belanja Pelumas ",APBD," 78000000",2.04.2.04.01.02.24.5.2.2.05.03,"Penunjukan Langsung",18-04-2014,30-04-2014,01-05-2014,02-06-2014
1209613,"Belanja modal pengadaan mic conference dan sound system	
",188700000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Penyediaan Peralatan dan Perlengkapan Kantor ",Modal,"Jasa Lainnya","1 paket","Kota Bandung ","Sound System Padepokan ",APBD," 188700000",2.04.2.04.01.01.01.13.5.2.3.16.04,"Pengadaan Langsung",30-04-2014,13-05-2014,14-05-2014,13-06-2014
1215119,"Belanja jasa konsultasi penelitian	
",150000000,"Pemilihan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pelestarian dan aktulisasi adat budaya daerah ",Barang/jasa,"Jasa Konsultansi","2 paket","Kota Bandung ","Kajian potensi kesenian Kota Bandung",APBD," 150000000",1.17.2.04.01.15.01.5.2.2.21.01,"Pemilihan Langsung",24-04-2014,08-05-2014,09-05-2014,09-06-2014
1195232,"Belanja spanduk, brosur, pamflet, umbul-umbul dan sarana informasi lainnya",172000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pengelolaan dan pengembangan pelestarian peninggalan sejarah purbakala, museum dan peninggalan bawah air",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung","Pelaksanaan pemilihan penyedia telah dilaksanakan pada tgl 3 s/d 12 Maret 2014 dan pelaksanan pekerjaan dilaksanakan tgl. 13 maret 2014 s/d 14 april 2014 ",APBD," 172000000",1.17.2.04.01.16.05.5.2.2.01.10,"Pengadaan Langsung",16-04-2014,16-04-2014,16-04-2014,16-04-2014
1210038,"Belanja jasa konsultasi pengembangan pemutakhiran database kepariwisataan",27850000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Peningkatan pemanfaatan teknologi informasi dalam pemasaran pariwisata ",Barang/jasa,"Jasa Konsultansi","1 paket","Kota Bandung","Belanja jasa konsultasi pengembangan pemutakhiran database kepariwisataan",APBD," 27850000",2.04.2.04.01.15.02.5.2.2.21.04,"Pengadaan Langsung",01-05-2014,14-05-2014,15-05-2014,12-06-2014
1212285,"Belanja Bahan Bakar Minyak/Gas dan Pelumas	
",331200000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pemeliharaan rutin/berkala kendaraan dinas/operasional ",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung ","Belanja Bahan Bakar Minyak/Gas ",APBD," 331200000",2.04.2.04.01.02.24.5.2.2.05.03,"Penunjukan Langsung",21-04-2014,05-05-2014,06-05-2014,09-12-2014
1211016,"Belanja modal pengadaan radio HF/FM (handy talkie)	
",20000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Penyediaan Peralatan dan Perlengkapan Kantor ",Modal,"Jasa Lainnya","1 paket","Kota Bandung ","Pengadaan Walkie Talkie ",APBD," 20000000",2.04.2.04.01.01.13.5.2.3.17.04,"Pengadaan Langsung",28-04-2014,12-05-2014,13-05-2014,12-06-2014
1212130,"Belanja Jasa Konsultansi Evaluasi/Pengawasan	
",10000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Pemeliharaan rutin/berkala gedung kantor ",Barang/jasa,"Jasa Konsultansi","1 paket","Kota Bandung ","Belanja Jasa Konsultansi Pengawasan Kantor Dinas ",APBD," 10000000",2.04.2.04.01.02.22.5.2.2.21.03,"Penunjukan Langsung",01-07-2014,14-07-2014,15-07-2014,20-08-2014
1212828,"Belanja Pakaian Dinas Harian (PDH)	
",45000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEBUDAYAAN DAN PARIWISATA",2014,"Penyediaan pakaian dinas beserta kelengkapannya ",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung ","Pakaian Dinas Harian ",APBD," 45000000",2.04.2.04.01.02.03.5.2.2.12.04,"Pengadaan Langsung",01-07-2014,14-07-2014,15-07-2014,28-08-2014
