NO,NAMA POSYANDU,ALAMAT POSYANDU,TINGKATAN STRATA
1.,Cendrawasih,Rancabolang  Rt. 01 Rw. 01,Mandiri
2.,Dadali,Rancabolang  Rt. 02 Rw. 02,Purnama
3.,Jalak,Rancabolang  Rt. 03 Rw. 03,Purnama
4.,Cempaka,Rancabolang  Rw. 04,Madya
5.,Alamanda,Adi Gladiol 28  Rt. 06 Rw. 05,Mandiri
6.,Lavender,Rancabolang  Rw. 06,Purnama
7.,Melati,Cemara F 37 Rw. 07,Mandiri
8.,Pinus,Rancabolang  Rw. 08 A,Purnama
9.,Tulip,Rancabolang  Rw. 08 B,Madya
10., Rw. 08,Rancabolang  Rw. 08 C,-
,Palem,Rancabolang  Rw. 09,Pratama
