lokasi,nama_komoditas,2015-02-01,2015-02-02,2015-02-03,2015-02-04,2015-02-05,2015-02-06,2015-02-07,2015-02-08,2015-02-09,2015-02-10,2015-02-11,2015-02-12,2015-02-13,2015-02-14,2015-02-15,2015-02-16,2015-02-17,2015-02-18,2015-02-19,2015-02-20,2015-02-21,2015-02-22,2015-02-23,2015-02-24,2015-02-25,2015-02-26,2015-02-27,2015-02-28
"Pasar Andir","Beras Medium",0,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,0,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,0,9500,10000,10000
"Pasar Andir","Cabe Merah",0,0,0,23000,23000,23000,23000,23000,0,0,23000,23000,0,20000,23000,0,0,23000,23000,23000,23000,23000,0,0,23000,23000,23000,23000
"Pasar Andir","Bawang Merah",0,0,0,17000,17000,17000,17000,17000,0,0,17000,17000,0,17000,17000,0,0,17000,17000,17000,17000,17000,0,0,17000,17000,17000,19000
"Pasar Andir","Daging Ayam Ras",0,0,0,30000,30000,30000,32000,30000,0,0,31000,31000,0,31000,31000,0,0,29000,29000,29000,29000,29000,0,0,29000,29000,29000,29000
"Pasar Andir","Telur Ayam Ras",0,0,0,22000,22000,22000,22000,22000,0,0,21000,21000,0,21000,21000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000
"Pasar Andir","Daging Sapi",0,0,0,95000,95000,95000,95000,95000,0,0,95000,95000,0,95000,95000,0,0,95000,95000,95000,95000,95000,0,0,95000,95000,95000,95000
"Pasar Andir","Minyak Goreng",0,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,0,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000
"Pasar Andir","Gula Pasir",0,0,0,11500,11500,11500,11500,11500,0,0,11500,11500,0,11500,11500,0,0,11500,11500,11500,11500,11500,0,0,11500,11500,11500,11500
"Pasar Andir",Kentang,0,0,0,0,11000,11000,11000,11000,0,0,11000,11000,0,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,10000,11000
"Pasar Andir",Kedelai,0,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,0,12800,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000
"Pasar Andir","Tepung Terigu",0,0,0,7000,7000,7500,7500,7500,0,0,7500,7500,0,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500
"Pasar Andir","Bawang Putih",0,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,0,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000
"Pasar Andir","Cabe Keriting",0,0,0,28000,28000,28000,28000,28000,0,0,28000,28000,0,28000,28000,0,0,22000,23000,22000,22000,22000,0,0,23000,22000,23000,23000
"Pasar Andir","Cabe Rawit",0,0,0,39000,39000,39000,50000,39000,0,0,39000,39000,0,39000,39000,0,0,28000,28000,0,28000,28000,0,0,28000,28000,28000,28000
"Pasar Andir","Kacang Tanah",0,0,0,17000,17000,17000,17000,17000,0,0,17000,17000,0,17000,17000,0,0,17000,17000,17000,17000,17000,0,0,17000,17000,17000,17000
"Pasar Andir","Ubi Kayu",0,0,0,0,3000,3000,3000,3000,0,0,3000,3000,0,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000
"Pasar Andir","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir",Jagung,0,0,0,0,7000,7000,7000,7000,0,0,7000,7000,0,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000
