No,Nama Koperasi,Badan Hukum,,Alamat,Kelurahan
1,KSU Kel. Sukamiskin Marga Saluyu,9145/BH/KWK-10/21,32822,Jl. Pacuan Kuda No. 204,Sukamiskin
2,Kopeg. Pengayoman Peg.Dep.Kehakiman LP.Sukamiskin,21A/BH/KWK.10/21,33456,Jl. Raya Sukamiskin,Sukamiskin
3,"Kop Jaringan Retail ""Al-amien""","167/Bh/Kdk-10.21/IV/1999,",36266,Jl. Arcamanik Indah No. 59,Sukamiskin
4,Kop Gotong Royong Usaha Mandiri,334/Bh/Kdk-10.21/VII/1999,36363,Jl. Pencak Silat No 2,Sukamiskin
5,Kop Pondok Pesantren Madrasah Nurul Huda,381/Bh/Kdk-10.21/IX/1999,36411,Jl. Rusbandi 84 No. 24,Sukamiskin
6,KOP Serba Usaha Berkah Sejahtera,243/Bh/Kdk-10.21/V/1999,36305,Jl. Bulutangkis 33,Sukamiskin
7,KOPAGA Baroqah,97/BH/KDK.10.21/VIII/1998,36033,Jl. Pacuan Kuda Gg Silih Asih,Sukamiskin
8,KOPAGA Bina Warga,285/BH/KDK.10.21/IX/1998,36133,Jl. Pacuan Kuda I No. 44,Sukamiskin
9,KOPENTRA Sukami,265/BH/KDK.10.21/IX/1998,36111,Jl. Raya Timur 128 Km 8,Sukamiskin
10,KOPIP,250/Bh/Kdk-10.21/V/1999,36308,Jl. Golf Timur No. 1 Arcamanik,Sukamiskin
11,Kopkar Mentari,01/Bh/Kdk-10.21/I/1999,36164,Jl. Arcamanik Endah Ruko Kaulin,Sukamiskin
12,KPM Rajawali,74/Bh/Kdk-10.21/III/1999,36227,Jl. Pacuan Kuda ARC II,Sukamiskin
13,KPRI Spekrum Orbit Satelit,23/BH/KDK.10.21/I/2001,36957,Jl. Pacuan Kuda 44,Sukamiskin
14,KSU Lepmm Wijata Mekar,16/Bh/Kdk 10.21/II/2000,36564,Jl.Pesantren Sukamiskin No 26,Sukamiskin
15,KSU MBM (Multi Bisnis Mandiri),315/BH/KDK.10.21/IX/1998,36158,Jl. Senam VII No. 2,Sukamiskin
16,KSU Mitra Sejati,132/Bh/Kdk-10.21/IV/1999,36253,Jl. Golf Barat X No. 6,Sukamiskin
17,KSU Nurma Indah,263/Bh/Kdk-10.21/VI/1999,36314,Jl. Ahmad Yani No 54,Sukamiskin
18,KSU Setia Wargi,112/Bh/Kdk 10.21/XII/2000,36878,Jl. Simpang Seni No. 263,Sukamiskin
