indikator,kecamatan,kelurahan_desa,jumlah_babi,jumlah_kambing,jumlah_kerbau,jumlah_kuda,jumlah_sapi,total_krt
"Aset Ternak","BANDUNG KULON","GEMPOL SARI",0,0,0,0,13,645
"Aset Ternak","BANDUNG KULON","CIGONDEWAH KALER",0,22,0,0,10,1548
"Aset Ternak","BANDUNG KULON","CIGONDEWAH KIDUL",0,0,0,0,0,422
"Aset Ternak","BANDUNG KULON","CIGONDEWAH RAHAYU",0,9,0,1,0,638
"Aset Ternak","BANDUNG KULON",CARINGIN,0,4,0,0,0,248
"Aset Ternak","BANDUNG KULON","WARUNG MUNCANG",0,4,0,0,0,1756
"Aset Ternak","BANDUNG KULON",CIBUNTU,0,2,0,0,0,866
"Aset Ternak","BANDUNG KULON",CIJERAH,0,2,0,0,0,1420
"Aset Ternak","BABAKAN CIPARAY",MARGASUKA,0,0,0,0,0,662
"Aset Ternak","BABAKAN CIPARAY",CIRANGRANG,0,0,0,0,0,650
"Aset Ternak","BABAKAN CIPARAY","MARGAHAYU UTARA",0,10,0,0,0,1125
"Aset Ternak","BABAKAN CIPARAY","BABAKAN CIPARAY",0,0,0,0,0,1885
"Aset Ternak","BABAKAN CIPARAY",BABAKAN,2,19,2,4,3,2162
"Aset Ternak","BABAKAN CIPARAY",SUKAHAJI,0,1,0,0,0,2120
"Aset Ternak","BOJONGLOA KALER",KOPO,0,6,0,2,0,1828
"Aset Ternak","BOJONGLOA KALER","SUKA ASIH",0,2,0,0,0,1835
"Aset Ternak","BOJONGLOA KALER","BABAKAN ASIH",0,1,0,0,4,1421
"Aset Ternak","BOJONGLOA KALER","BABAKAN TAROGONG",0,20,0,0,0,2448
"Aset Ternak","BOJONGLOA KALER",JAMIKA,0,22,1,10,2,2523
"Aset Ternak","BOJONGLOA KIDUL","CIBADUYUT KIDUL",0,0,0,20,0,627
"Aset Ternak","BOJONGLOA KIDUL","CIBADUYUT WETAN",0,0,0,0,0,431
"Aset Ternak","BOJONGLOA KIDUL","MEKAR WANGI",0,6,0,0,0,804
"Aset Ternak","BOJONGLOA KIDUL",CIBADUYUT,0,3,0,0,0,921
"Aset Ternak","BOJONGLOA KIDUL","KEBON LEGA",0,5,0,6,1,1150
"Aset Ternak","BOJONGLOA KIDUL",SITUSAEUR,0,4,0,0,0,1203
"Aset Ternak",ASTANAANYAR,KARASAK,0,2,0,0,1,442
"Aset Ternak",ASTANAANYAR,"PELINDUNG HEWAN",0,14,0,0,0,860
"Aset Ternak",ASTANAANYAR,NYENGSERET,0,1,0,0,0,615
"Aset Ternak",ASTANAANYAR,PANJUNAN,0,0,0,0,0,425
"Aset Ternak",ASTANAANYAR,CIBADAK,0,0,0,0,0,583
"Aset Ternak",ASTANAANYAR,"KARANG ANYAR",0,2,0,0,0,176
"Aset Ternak",REGOL,CISEUREUH,0,2,0,0,0,918
"Aset Ternak",REGOL,PASIRLUYU,0,0,0,0,0,1038
"Aset Ternak",REGOL,ANCOL,0,0,0,0,0,477
"Aset Ternak",REGOL,CIGERELENG,0,2,0,0,0,371
"Aset Ternak",REGOL,CIATEUL,0,0,0,0,0,211
"Aset Ternak",REGOL,PUNGKUR,0,0,0,0,0,233
"Aset Ternak",REGOL,"BALONG GEDE",0,0,0,0,0,231
"Aset Ternak",LENGKONG,CIJAGRA,0,0,0,0,0,256
"Aset Ternak",LENGKONG,TURANGGA,0,0,0,0,0,163
"Aset Ternak",LENGKONG,"LINGKAR SELATAN",0,2,0,0,0,113
"Aset Ternak",LENGKONG,MALABAR,0,1,0,0,0,309
"Aset Ternak",LENGKONG,BURANGRANG,0,0,0,0,0,459
"Aset Ternak",LENGKONG,CIKAWAO,0,0,0,0,0,354
"Aset Ternak",LENGKONG,PALEDANG,0,0,0,0,0,250
"Aset Ternak","BANDUNG KIDUL",WATES,0,0,0,0,0,671
"Aset Ternak","BANDUNG KIDUL",MENGGER,0,2,0,0,0,465
"Aset Ternak","BANDUNG KIDUL",BATUNUNGGAL,0,28,0,0,0,1130
"Aset Ternak","BANDUNG KIDUL",KUJANGSARI,0,4,0,0,0,1126
"Aset Ternak",BUAHBATU,CIJAURA,0,0,0,0,2,1424
"Aset Ternak",BUAHBATU,MARGASARI,0,2,0,0,2,1938
"Aset Ternak",BUAHBATU,SEKEJATI,0,9,0,0,0,893
"Aset Ternak",BUAHBATU,"JATI SARI",0,0,0,0,0,296
"Aset Ternak",RANCASARI,DERWATI,0,2,0,0,0,1129
"Aset Ternak",RANCASARI,CIPAMOKOLAN,0,15,0,0,0,657
"Aset Ternak",RANCASARI,MANJAHLEGA,0,0,0,1,0,388
"Aset Ternak",RANCASARI,MEKARJAYA,0,0,0,0,0,660
"Aset Ternak",GEDEBAGE,RANCABOLANG,0,4,0,0,0,355
"Aset Ternak",GEDEBAGE,RANCANUMPANG,0,1,0,0,0,124
"Aset Ternak",GEDEBAGE,"CISARANTEN KIDUL",0,0,0,0,0,818
"Aset Ternak",GEDEBAGE,CIMINCRANG,0,15,0,0,0,249
"Aset Ternak",CIBIRU,"PASIR BIRU",0,9,0,0,0,970
"Aset Ternak",CIBIRU,CIPADUNG,0,4,0,0,1,1140
"Aset Ternak",CIBIRU,PALASARI,0,0,0,0,1,851
"Aset Ternak",CIBIRU,CISURUPAN,0,13,0,0,0,891
"Aset Ternak",PANYILEUKAN,"MEKAR MULYA",0,2,0,0,3,109
"Aset Ternak",PANYILEUKAN,"CIPADUNG KIDUL",0,9,0,0,0,175
"Aset Ternak",PANYILEUKAN,"CIPADUNG WETAN",0,2,0,0,0,348
"Aset Ternak",PANYILEUKAN,"CIPADUNG KULON",0,1,0,0,0,653
"Aset Ternak","UJUNG BERUNG",PASANGGRAHAN,0,7,2,0,0,1286
"Aset Ternak","UJUNG BERUNG",PASIRJATI,0,0,0,0,0,1104
"Aset Ternak","UJUNG BERUNG","PASIR WANGI",0,31,0,0,0,1143
"Aset Ternak","UJUNG BERUNG",CIGENDING,0,10,0,0,0,914
"Aset Ternak","UJUNG BERUNG","PASIR ENDAH",0,0,0,0,0,366
"Aset Ternak",CINAMBO,"CISARANTEN WETAN",0,10,0,0,0,325
"Aset Ternak",CINAMBO,"BABAKAN PENGHULU",0,0,0,0,0,414
"Aset Ternak",CINAMBO,PAKEMITAN,0,0,0,0,0,191
"Aset Ternak",CINAMBO,SUKAMULYA,0,2,0,0,0,360
"Aset Ternak",ARCAMANIK,"CISARANTEN KULON",0,0,2,0,0,1061
"Aset Ternak",ARCAMANIK,"CISARANTEN BINA HARAPAN",0,4,0,0,0,926
"Aset Ternak",ARCAMANIK,SUKAMISKIN,0,0,0,0,0,697
"Aset Ternak",ARCAMANIK,"CISARANTEN ENDAH",0,4,0,0,0,831
"Aset Ternak",ANTAPANI,"ANTAPANI KIDUL",0,0,0,0,0,307
"Aset Ternak",ANTAPANI,"ANTAPANI TENGAH",0,0,0,0,0,749
"Aset Ternak",ANTAPANI,"ANTAPANI WETAN",0,6,0,0,0,761
"Aset Ternak",ANTAPANI,"ANTAPANI KULON",0,0,0,0,0,483
"Aset Ternak",MANDALAJATI,JATIHANDAP,0,0,0,0,0,1276
"Aset Ternak",MANDALAJATI,"KARANG PAMULANG",0,0,0,0,2,1105
