nama_kecamatan,jumlah_pus,jml_pus_kps_ksi,persentase_pus_kps_ks1,jml_pus_jkn_penerima_bantuan,persentase_pus_jkn_terima_bantuan,jml_pus_jkn_bukan_penerima_bantuan,persentase_pus_jkn_bukan_penerima_bantuan,jml_pus_jkn,persentase_pus_jkn
Sukasari,8891,3572,40.18,0,0.00,0,0.00,0,0.00
Coblong,16771,6765,40.34,56,0.33,45,0.27,101,0.60
Babakan Ciparay,21565,8388,38.90,8192,37.99,13373,62.01,21565,100.00
Bojongloa Kaler,17543,7898,45.02,7618,43.42,9811,55.93,17429,99.35
Andir,14268,10834,75.93,7853,55.04,0,0.00,7853,55.04
Cicendo,13837,8742,63.18,0,0.00,13837,100.00,13837,100.00
Sukajadi,13351,1837,13.76,0,0.00,0,0.00,0,0.00
Cidadap,8165,2625,32.15,2623,32.12,4689,57.43,7312,89.55
Bandung Wetan,4716,2040,43.26,0,0.00,51,1.08,51,1.08
Astana Anyar,9704,2354,24.26,0,0.00,0,0.00,0,0.00
Regol,12215,3666,30.01,3666,30.01,8549,69.99,12215,100.00
Batununggal,17104,10276,60.08,0,0.00,0,0.00,0,0.00
Lengkong,7416,3178,42.85,419,5.65,6997,94.35,7416,100.00
Cibeunying Kidul,17529,7897,45.05,7043,40.18,7445,42.47,14488,82.65
Bandung Kulon,12670,9682,76.42,4405,34.77,3981,31.42,8386,66.19
Kiaracondong,19210,9962,51.86,0,0.00,0,0.00,0,0.00
Bojongloa Kidul,12123,4927,40.64,2102,17.34,8972,74.01,11074,91.35
Cibeunying Kaler,10321,1993,19.31,1965,19.04,0,0.00,1965,19.04
Sumur Bandung,3657,583,15.94,0,0.00,0,0.00,0,0.00
Antapani,10126,407,4.02,0,0.00,0,0.00,0,0.00
Bandung Kidul,4264,1912,44.84,1813,42.52,2381,55.84,4194,98.36
Buahbatu,11840,2221,18.76,0,0.00,0,0.00,0,0.00
Rancasari,12694,2542,20.03,2322,18.29,220,1.73,2542,20.03
Arcamanik,8668,3267,37.69,0,0.00,0,0.00,0,0.00
Cibiru,9646,3526,36.55,1344,13.93,2369,24.56,3713,38.49
Ujung Berung,20751,16969,81.77,5473,26.37,6336,30.53,11809,56.91
Gedebage,7203,2755,38.25,557,7.73,4131,57.35,4688,65.08
Panyileukan,5625,1434,25.49,786,13.97,648,11.52,1434,25.49
Cinambo,4398,1498,34.06,777,17.67,1511,34.36,2288,52.02
Mandalajati,11287,4235,37.52,4235,37.52,7050,62.46,11285,99.98
