lokasi,nama_komoditas,2015-01-01,2015-01-02,2015-01-03,2015-01-04,2015-01-05,2015-01-06,2015-01-07,2015-01-08,2015-01-09,2015-01-10,2015-01-11,2015-01-12,2015-01-13,2015-01-14,2015-01-15,2015-01-16,2015-01-17,2015-01-18,2015-01-19,2015-01-20,2015-01-21,2015-01-22,2015-01-23,2015-01-24,2015-01-25,2015-01-26,2015-01-27,2015-01-28,2015-01-29,2015-01-30,2015-01-31
"Pasar Baru","Beras Medium",0,0,0,0,0,0,9500,9500,9500,9500,9500,0,0,0,0,9500,9500,0,0,0,9500,9500,9500,9500,9500,0,0,9500,0,0,0
"Pasar Baru","Cabe Merah",0,0,0,0,0,0,80000,80000,80000,60000,60000,0,0,0,0,45000,45000,0,0,0,30000,30000,30000,30000,27000,0,0,27000,0,0,0
"Pasar Baru","Bawang Merah",0,0,0,0,0,0,18000,18000,18000,18000,18000,0,0,0,0,18000,18000,0,0,0,18000,18000,18000,18000,18000,0,0,18000,0,0,0
"Pasar Baru","Daging Ayam Ras",0,0,0,0,0,0,32000,32000,32000,32000,32000,0,0,0,0,32000,32000,0,0,0,32000,32000,32000,32000,32000,0,0,30000,0,0,0
"Pasar Baru","Telur Ayam Ras",0,0,0,0,0,0,20000,20000,20000,20000,20000,0,0,0,0,23000,23000,0,0,0,22000,22000,22000,22000,22000,0,0,22000,0,0,0
"Pasar Baru","Daging Sapi",0,0,0,0,0,0,100000,100000,100000,100000,100000,0,0,0,0,100000,100000,0,0,0,100000,100000,100000,100000,100000,0,0,100000,0,0,0
"Pasar Baru","Minyak Goreng",0,0,0,0,0,0,14000,14000,14000,14000,14000,0,0,0,0,14000,14000,0,0,0,14000,14000,14000,14000,14000,0,0,14000,0,0,0
"Pasar Baru","Gula Pasir",0,0,0,0,0,0,11000,11000,11000,11000,11000,0,0,0,0,11000,11000,0,0,0,11000,11000,11000,11000,11000,0,0,11000,0,0,0
"Pasar Baru",Kentang,0,0,0,0,0,0,12000,12000,12000,12000,12000,0,0,0,0,12000,12000,0,0,0,12000,0,0,0,0,0,0,0,0,0,0
"Pasar Baru",Kedelai,0,0,0,0,0,0,13000,13000,13000,13000,13000,0,0,0,0,13000,13000,0,0,0,13000,13000,13000,13000,0,0,0,13000,0,0,0
"Pasar Baru","Tepung Terigu",0,0,0,0,0,0,7000,7000,7000,7000,7000,0,0,0,0,7000,7000,0,0,0,7000,7000,7000,7000,7000,0,0,7000,0,0,0
"Pasar Baru","Bawang Putih",0,0,0,0,0,0,15000,15000,15000,15000,15000,0,0,0,0,15000,15000,0,0,0,15000,15000,15000,15000,15000,0,0,15000,0,0,0
"Pasar Baru","Cabe Keriting",0,0,0,0,0,0,85000,85000,85000,75000,75000,0,0,0,0,60000,60000,0,0,0,30000,30000,30000,30000,27000,0,0,27000,0,0,0
"Pasar Baru","Cabe Rawit",0,0,0,0,0,0,120000,120000,120000,100000,100000,0,0,0,0,100000,100000,0,0,0,60000,60000,60000,60000,60000,0,0,60000,0,0,0
"Pasar Baru","Kacang Tanah",0,0,0,0,0,0,20000,20000,20000,20000,20000,0,0,0,0,20000,20000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Ubi Kayu",0,0,0,0,0,0,3000,3000,3000,3000,3000,0,0,0,0,3000,3000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru",Jagung,0,0,0,0,0,0,7000,7000,7000,7000,7000,0,0,0,0,7000,7000,0,0,0,7000,7000,7000,7000,7000,0,0,7000,0,0,0
"Pasar Baru","Ikan Olahan",0,0,0,0,0,0,50000,50000,50000,50000,50000,0,0,0,0,50000,50000,0,0,0,0,50000,50000,50000,50000,0,0,50000,0,0,0
"Pasar Baru","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Minyak Goreng Curah",0,0,0,0,0,0,11500,11500,11500,11500,11500,0,0,0,0,11500,11500,0,0,0,11500,9500,11500,11500,11500,0,0,11500,0,0,0
"Pasar Baru","Daging Ayam Kampung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Telur Ayam Kampung",0,0,0,0,0,0,45000,45000,45000,45000,45000,0,0,0,0,45000,45000,0,0,0,45000,45000,45000,45000,45000,0,0,45000,0,0,0
"Pasar Baru","Susu Kental Manis Merk Bendera",0,0,0,0,0,0,11000,11000,11000,11000,11000,0,0,0,0,11000,11000,0,0,0,11000,11000,11000,11000,11000,0,0,11000,0,0,0
"Pasar Baru","Susu Kental Manis Merk Indomilk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Garam Beryodium Bata",0,0,0,0,0,0,1000,1000,1000,1000,1000,0,0,0,0,1000,1000,0,0,0,1000,1000,1000,0,1000,0,0,1000,0,0,0
"Pasar Baru","Garam Beryodium Halus",0,0,0,0,0,0,3500,3500,3500,3500,3500,0,0,0,0,3500,3500,0,0,0,3500,3500,3500,3500,3500,0,0,3500,0,0,0
"Pasar Baru","Tepung Terigu Cakra Kembar",0,0,0,0,0,0,7500,7500,7200,7200,7200,0,0,0,0,7200,7200,0,0,0,7200,7200,7200,7200,7200,0,0,7200,0,0,0
"Pasar Baru","Tepung Terigu Kunci",0,0,0,0,0,0,8200,8200,8200,8200,8200,0,0,0,0,8200,8200,0,0,0,8200,8200,8200,8200,8200,0,0,8200,0,0,0
"Pasar Baru","Mie Instan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Cabe Rawit Hijau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,25000,0,0,25000,0,0,0
"Pasar Baru","Kacang Hijau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Susu Bubuk Dancow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Susu Bubuk Indomilk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Ikan Kembung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
