nama_kecamatan,jumlah_pengguna_IUD,persentase_pengguna_IUD,jumlah_pengguna_MOW,persentase_pengguna_MOW,jumlah_pengguna_MOP,persentase_pengguna_MOP,jumlah_pengguna_kondom,persentase_pengguna_kondom,jumlah_pengguna_implan,persentase_pengguna_implan,jumlah_pengguna_suntikan,persentase_pengguna_suntikan,jumlah_pengguna_pil,persentase_pengguna_pil,jumlah_peserta_kb_aktif
Sukasari,1903,29.26,178,2.74,12,0.18,175,2.69,83,1.28,3024,46.5,1128,17.35,6503
Coblong,4442,35.81,1211,9.76,23,0.19,690,5.56,285,2.3,4344,35.02,1408,11.35,12403
Babakan Ciparay,3474,20.17,249,1.45,32,0.19,102,0.59,254,1.47,10441,60.62,2673,15.52,17225
Bojongloa Kaler,5549,39.49,446,3.17,56,0.4,250,1.78,196,1.4,4653,33.12,2900,20.64,14050
Andir,2477,23.58,776,7.39,19,0.18,158,1.5,278,2.65,4325,41.18,2470,23.52,10503
Cicendo,2639,27.27,511,5.28,32,0.33,220,2.27,156,1.61,4148,42.86,1973,20.38,9679
Sukajadi,3355,28.58,1988,16.94,37,0.32,584,4.98,181,1.54,3501,29.83,2091,17.82,11737
Cidadap,1360,21.61,252,4,7,0.11,110,1.75,527,8.37,3088,49.07,949,15.08,6293
Bandung Wetan,1587,46.7,434,12.77,73,2.15,73,2.15,102,3,704,20.72,425,12.51,3398
Astana Anyar,2470,34.72,290,4.08,50,0.7,175,2.46,240,3.37,2962,41.64,927,13.03,7114
Regol,4519,51.79,384,4.4,279,3.2,42,0.48,143,1.64,2800,32.09,559,6.41,8726
Batununggal,3653,30.19,278,2.3,18,0.15,211,1.74,95,0.79,5873,48.53,1973,16.3,12101
Lengkong,2153,41.4,230,4.42,15,0.29,193,3.71,211,4.06,1822,35.04,576,11.08,5200
Cibeunying Kidul,4027,31.18,1140,8.83,53,0.41,288,2.23,299,2.31,5527,42.79,1583,12.26,12917
Bandung Kulon,6689,58.84,291,2.56,10,0.09,165,1.45,327,2.88,2188,19.25,1699,14.94,11369
Kiaracondong,3959,27.19,230,1.58,20,0.14,460,3.16,180,1.24,6924,47.55,2787,19.14,14560
Bojongloa Kidul,2239,23.35,125,1.3,32,0.33,37,0.39,234,2.44,6120,63.84,800,8.34,9587
Cibeunying Kaler,2891,29.46,261,2.66,27,0.28,210,2.14,2642,26.92,2457,25.04,1325,13.5,9813
Sumur Bandung,857,33.82,99,3.91,2,0.08,153,6.04,82,3.24,921,36.35,420,16.57,2534
Antapani,2891,38.67,174,2.33,31,0.41,222,2.97,84,1.12,3125,41.8,949,12.69,7476
Bandung Kidul,763,24.18,63,2,7,0.22,110,3.49,30,0.95,1652,52.34,531,16.83,3156
Buahbatu,2827,31.37,132,1.46,26,0.29,159,1.76,145,1.61,4445,49.32,1278,14.18,9012
Rancasari,3788,38.77,378,3.87,35,0.36,242,2.48,80,0.82,4253,43.53,994,10.17,9770
Arcamanik,2364,34.15,236,3.41,24,0.35,111,1.6,400,5.78,2984,43.1,804,11.61,6923
Cibiru,1400,19.61,127,1.78,31,0.43,156,2.18,247,3.46,3785,53,1395,19.54,7141
Ujung Berung,10312,60.46,141,0.83,58,0.34,474,2.78,398,2.33,3977,23.32,1696,9.94,17056
Gedebage,2198,39.1,532,9.46,111,1.97,164,2.92,126,2.24,1891,33.64,600,10.67,5622
Panyileukan,1544,37.7,133,3.25,3,0.07,193,4.71,80,1.95,1547,37.77,596,14.55,4096
Cinambo,906,28.02,68,2.1,9,0.28,61,1.89,45,1.39,1588,49.12,556,17.2,3233
Mandalajati,2002,23.56,281,3.31,10,0.12,181,2.13,158,1.86,4191,49.32,1675,19.71,8498
