ALAT KELENGKAPAN ,Jenis_Kelengkapan,Jumlah_Kekuatan_(Orang)
Pimpinan DPRD,,4
Badan Musyawarah DPRD,,24
Panitia Anggaran DPRD,,24
Komisi A/ Bidang Pemerintahan,Komisi,10
Komisi B / Bidang Perekonomian dan Bidang Keuangan,Komisi,11
Komisi C/ Bidang Pembangunan,Komisi,13
Komisi Bidang Kesejahteraan Rakyat,Komisi,12
Fraksi Partai Demokrat,Fraksi,20
Fraksi Partai Keadilan Sejahtera,Fraksi,9
Fraksi Partai Demokrasi Indonesia Perjuangan,Fraksi,8
Fraksi Partai Golongan Karya,Fraksi,6
Fraksi Partai Gerindra Damai,Fraksi,7
