indikator,kecamatan,kelurahan_desa,tidak_cacat,tuna_daksa,tuna_netra,tuna_rungu,tuna_wicara,"tuna_rungu,wicara","tuna_netra,daksa","tuna_netra,rungu,_wicara","tuna_rungu,wicara,_daksa","tuna_rungu,_wicara,netra,_daksa",cacat_mental,mental_gangguan_jiwa,cacat_fisik_mental,total_krt
"Kekurangan Fisik","BANDUNG KULON","GEMPOL SARI",632,3,3,0,2,0,0,0,0,0,0,5,0,645
"Kekurangan Fisik","BANDUNG KULON","CIGONDEWAH KALER",1537,5,0,2,1,0,1,0,0,0,1,1,0,1548
"Kekurangan Fisik","BANDUNG KULON","CIGONDEWAH KIDUL",418,0,3,0,0,0,1,0,0,0,0,0,0,422
"Kekurangan Fisik","BANDUNG KULON","CIGONDEWAH RAHAYU",636,1,1,0,0,0,0,0,0,0,0,0,0,638
"Kekurangan Fisik","BANDUNG KULON",CARINGIN,244,2,2,0,0,0,0,0,0,0,0,0,0,248
"Kekurangan Fisik","BANDUNG KULON","WARUNG MUNCANG",1714,23,11,2,1,0,2,1,0,0,0,1,1,1756
"Kekurangan Fisik","BANDUNG KULON",CIBUNTU,849,6,2,3,0,0,0,0,0,0,2,4,0,866
"Kekurangan Fisik","BANDUNG KULON",CIJERAH,1393,10,1,1,0,2,0,0,0,1,7,4,1,1420
"Kekurangan Fisik","BABAKAN CIPARAY",MARGASUKA,644,6,6,0,0,0,1,0,1,1,1,1,1,662
"Kekurangan Fisik","BABAKAN CIPARAY",CIRANGRANG,637,3,4,1,2,0,0,1,0,0,0,2,0,650
"Kekurangan Fisik","BABAKAN CIPARAY","MARGAHAYU UTARA",1111,5,1,2,0,0,0,0,0,0,2,4,0,1125
"Kekurangan Fisik","BABAKAN CIPARAY","BABAKAN CIPARAY",1864,4,7,3,0,1,1,2,0,0,2,0,1,1885
"Kekurangan Fisik","BABAKAN CIPARAY",BABAKAN,2140,2,9,3,1,0,0,0,0,0,7,0,0,2162
"Kekurangan Fisik","BABAKAN CIPARAY",SUKAHAJI,2089,8,6,4,1,0,0,0,3,1,0,2,5,2119
"Kekurangan Fisik","BOJONGLOA KALER",KOPO,1811,5,3,3,0,0,2,0,1,0,1,2,0,1828
"Kekurangan Fisik","BOJONGLOA KALER","SUKA ASIH",1827,2,2,1,0,0,0,1,0,0,0,0,1,1835
"Kekurangan Fisik","BOJONGLOA KALER","BABAKAN ASIH",1416,1,2,2,0,0,0,0,0,0,0,0,0,1421
"Kekurangan Fisik","BOJONGLOA KALER","BABAKAN TAROGONG",2418,6,7,0,0,0,1,0,4,7,4,0,0,2448
"Kekurangan Fisik","BOJONGLOA KALER",JAMIKA,2502,7,3,5,1,0,1,0,1,0,1,0,1,2523
"Kekurangan Fisik","BOJONGLOA KIDUL","CIBADUYUT KIDUL",614,9,1,0,0,1,0,0,0,0,1,1,0,627
"Kekurangan Fisik","BOJONGLOA KIDUL","CIBADUYUT WETAN",427,3,0,0,0,1,0,0,0,0,0,0,0,431
"Kekurangan Fisik","BOJONGLOA KIDUL","MEKAR WANGI",799,4,1,0,0,0,0,0,0,0,0,0,0,804
"Kekurangan Fisik","BOJONGLOA KIDUL",CIBADUYUT,907,2,1,0,2,0,1,0,1,2,1,2,2,921
"Kekurangan Fisik","BOJONGLOA KIDUL","KEBON LEGA",1120,11,4,2,0,0,1,1,1,1,2,5,2,1150
"Kekurangan Fisik","BOJONGLOA KIDUL",SITUSAEUR,1186,8,2,2,0,0,0,1,0,0,1,2,1,1203
"Kekurangan Fisik",ASTANAANYAR,KARASAK,432,3,1,0,0,1,0,0,0,1,1,0,1,442
"Kekurangan Fisik",ASTANAANYAR,"PELINDUNG HEWAN",848,4,3,1,0,0,0,1,0,0,1,0,2,860
"Kekurangan Fisik",ASTANAANYAR,NYENGSERET,607,3,2,0,0,0,0,0,0,0,1,1,1,615
"Kekurangan Fisik",ASTANAANYAR,PANJUNAN,425,0,0,0,0,0,0,0,0,0,0,0,0,425
"Kekurangan Fisik",ASTANAANYAR,CIBADAK,580,0,0,0,0,0,0,2,0,0,0,0,1,583
"Kekurangan Fisik",ASTANAANYAR,"KARANG ANYAR",174,1,1,0,0,0,0,0,0,0,0,0,0,176
"Kekurangan Fisik",REGOL,CISEUREUH,909,5,2,0,0,0,0,1,0,0,0,1,0,918
"Kekurangan Fisik",REGOL,PASIRLUYU,1028,3,4,0,0,0,0,0,2,0,0,0,1,1038
"Kekurangan Fisik",REGOL,ANCOL,473,0,3,0,0,0,0,0,0,0,0,0,0,477
"Kekurangan Fisik",REGOL,CIGERELENG,363,2,1,2,0,0,0,1,0,0,0,1,1,371
"Kekurangan Fisik",REGOL,CIATEUL,207,1,0,0,1,0,0,1,0,0,0,0,1,211
"Kekurangan Fisik",REGOL,PUNGKUR,231,1,0,0,0,0,0,0,0,1,0,0,0,233
"Kekurangan Fisik",REGOL,"BALONG GEDE",229,1,0,1,0,0,0,0,0,0,0,0,0,231
"Kekurangan Fisik",LENGKONG,CIJAGRA,250,1,2,1,0,0,1,1,0,0,0,0,0,256
"Kekurangan Fisik",LENGKONG,TURANGGA,163,0,0,0,0,0,0,0,0,0,0,0,0,163
"Kekurangan Fisik",LENGKONG,"LINGKAR SELATAN",110,0,3,0,0,0,0,0,0,0,0,0,0,113
"Kekurangan Fisik",LENGKONG,MALABAR,302,2,1,0,0,0,0,0,0,0,3,0,0,309
"Kekurangan Fisik",LENGKONG,BURANGRANG,451,2,3,0,0,0,1,0,0,0,2,0,0,459
"Kekurangan Fisik",LENGKONG,CIKAWAO,351,2,0,0,0,0,0,1,0,0,0,0,0,354
"Kekurangan Fisik",LENGKONG,PALEDANG,244,1,2,0,0,0,0,1,0,1,0,0,1,250
"Kekurangan Fisik","BANDUNG KIDUL",WATES,667,1,1,1,0,0,0,0,0,1,0,0,0,671
"Kekurangan Fisik","BANDUNG KIDUL",MENGGER,454,2,1,1,1,1,1,0,0,0,3,1,0,465
"Kekurangan Fisik","BANDUNG KIDUL",BATUNUNGGAL,1104,13,2,3,1,0,0,1,0,2,2,0,2,1130
"Kekurangan Fisik","BANDUNG KIDUL",KUJANGSARI,1110,3,3,1,3,0,0,1,0,1,2,1,0,1126
"Kekurangan Fisik",BUAHBATU,CIJAURA,1413,1,6,0,0,0,0,0,0,0,1,2,1,1424
"Kekurangan Fisik",BUAHBATU,MARGASARI,1925,4,2,2,0,0,4,0,0,0,1,0,0,1938
"Kekurangan Fisik",BUAHBATU,SEKEJATI,886,0,3,0,0,0,0,0,0,0,2,1,1,893
"Kekurangan Fisik",BUAHBATU,"JATI SARI",296,0,0,0,0,0,0,0,0,0,0,0,0,296
"Kekurangan Fisik",RANCASARI,DERWATI,1106,9,4,2,1,0,1,0,0,0,5,0,1,1129
"Kekurangan Fisik",RANCASARI,CIPAMOKOLAN,650,2,4,0,0,0,0,0,0,0,1,0,0,657
"Kekurangan Fisik",RANCASARI,MANJAHLEGA,386,1,1,0,0,0,0,0,0,0,0,0,0,388
"Kekurangan Fisik",RANCASARI,MEKARJAYA,647,6,1,2,0,1,2,0,0,0,0,1,0,660
"Kekurangan Fisik",GEDEBAGE,RANCABOLANG,353,1,1,0,0,0,0,0,0,0,0,0,0,355
"Kekurangan Fisik",GEDEBAGE,RANCANUMPANG,124,0,0,0,0,0,0,0,0,0,0,0,0,124
"Kekurangan Fisik",GEDEBAGE,"CISARANTEN KIDUL",801,7,4,1,1,0,0,0,0,0,2,0,0,818
"Kekurangan Fisik",GEDEBAGE,CIMINCRANG,249,0,0,0,0,0,0,0,0,0,0,0,0,249
"Kekurangan Fisik",CIBIRU,"PASIR BIRU",946,11,4,2,1,0,1,0,0,0,1,2,2,970
"Kekurangan Fisik",CIBIRU,CIPADUNG,1124,5,4,3,0,1,1,0,0,0,0,1,1,1140
"Kekurangan Fisik",CIBIRU,PALASARI,818,6,8,2,0,2,0,0,0,1,6,1,7,851
"Kekurangan Fisik",CIBIRU,CISURUPAN,870,6,1,2,1,0,0,0,0,0,8,2,1,891
"Kekurangan Fisik",PANYILEUKAN,"MEKAR MULYA",108,0,0,0,0,1,0,0,0,0,0,0,0,109
"Kekurangan Fisik",PANYILEUKAN,"CIPADUNG KIDUL",171,2,1,0,1,0,0,0,0,0,0,0,0,175
"Kekurangan Fisik",PANYILEUKAN,"CIPADUNG WETAN",342,4,1,0,0,0,0,0,0,0,0,1,0,348
"Kekurangan Fisik",PANYILEUKAN,"CIPADUNG KULON",645,1,1,0,0,1,0,0,0,0,1,4,0,653
"Kekurangan Fisik","UJUNG BERUNG",PASANGGRAHAN,1265,9,5,3,0,1,2,0,0,0,0,0,1,1286
"Kekurangan Fisik","UJUNG BERUNG",PASIRJATI,1099,2,1,1,0,1,0,0,0,0,0,0,0,1104
"Kekurangan Fisik","UJUNG BERUNG","PASIR WANGI",1126,4,1,1,3,3,0,0,0,0,0,1,4,1143
"Kekurangan Fisik","UJUNG BERUNG",CIGENDING,887,17,2,3,0,2,0,1,0,1,0,1,0,914
"Kekurangan Fisik","UJUNG BERUNG","PASIR ENDAH",356,3,1,1,0,1,1,0,0,0,1,1,1,366
"Kekurangan Fisik",CINAMBO,"CISARANTEN WETAN",322,2,0,0,0,0,0,0,0,0,0,1,0,325
"Kekurangan Fisik",CINAMBO,"BABAKAN PENGHULU",407,2,0,2,0,0,0,0,0,0,1,0,2,414
"Kekurangan Fisik",CINAMBO,PAKEMITAN,173,4,2,11,1,0,0,0,0,0,0,0,0,191
"Kekurangan Fisik",CINAMBO,SUKAMULYA,355,1,2,1,0,0,0,0,0,0,0,1,0,360
"Kekurangan Fisik",ARCAMANIK,"CISARANTEN KULON",1044,9,3,0,0,0,0,0,1,0,2,1,0,1061
"Kekurangan Fisik",ARCAMANIK,"CISARANTEN BINA HARAPAN",900,10,2,3,1,0,0,2,0,3,2,2,1,926
"Kekurangan Fisik",ARCAMANIK,SUKAMISKIN,689,3,1,0,0,2,0,0,0,0,2,0,0,697
"Kekurangan Fisik",ARCAMANIK,"CISARANTEN ENDAH",824,3,1,0,0,0,0,1,0,0,2,0,0,831
"Kekurangan Fisik",ANTAPANI,"ANTAPANI KIDUL",304,1,0,0,0,0,0,0,0,0,0,1,1,307
"Kekurangan Fisik",ANTAPANI,"ANTAPANI TENGAH",744,1,1,1,1,0,0,0,0,0,1,0,0,749
"Kekurangan Fisik",ANTAPANI,"ANTAPANI WETAN",753,0,1,2,0,0,1,0,0,0,2,1,1,761
"Kekurangan Fisik",ANTAPANI,"ANTAPANI KULON",477,3,0,0,0,0,0,0,0,2,0,1,0,483
"Kekurangan Fisik",MANDALAJATI,JATIHANDAP,1258,5,3,3,1,0,0,0,0,0,3,0,3,1276
"Kekurangan Fisik",MANDALAJATI,"KARANG PAMULANG",1084,1,6,1,1,1,4,0,2,1,1,1,2,1105
"Kekurangan Fisik",MANDALAJATI,"SINDANG JAYA",554,1,1,0,0,0,0,0,0,0,2,2,0,561
"Kekurangan Fisik",MANDALAJATI,"PASIR IMPUN",385,2,2,1,1,1,0,0,0,0,1,1,2,396
"Kekurangan Fisik",KIARACONDONG,"KEBON KANGKUNG",752,7,3,0,0,0,1,1,0,0,4,0,0,768
"Kekurangan Fisik",KIARACONDONG,SUKAPURA,1763,5,5,10,0,0,0,1,0,2,0,2,3,1792
"Kekurangan Fisik",KIARACONDONG,"KEBUN JAYANTI",882,10,2,2,0,0,1,0,0,0,4,2,1,904
"Kekurangan Fisik",KIARACONDONG,"BABAKAN SARI",1621,2,2,2,0,1,1,0,0,0,3,1,0,1634
"Kekurangan Fisik",KIARACONDONG,"BABAKAN SURABAYA",1023,7,1,3,0,0,0,0,0,0,2,2,1,1039
"Kekurangan Fisik",KIARACONDONG,CICAHEUM,885,4,1,1,1,0,0,2,0,0,1,0,10,905
"Kekurangan Fisik",BATUNUNGGAL,GUMURUH,801,2,7,0,1,1,2,0,0,0,3,6,0,823
"Kekurangan Fisik",BATUNUNGGAL,BINONG,999,7,2,1,0,0,0,0,0,1,3,0,5,1019
"Kekurangan Fisik",BATUNUNGGAL,"KEBON GEDANG",577,2,2,0,0,0,0,0,0,0,2,1,1,586
"Kekurangan Fisik",BATUNUNGGAL,MALEER,1404,7,1,1,3,0,0,0,0,0,5,0,2,1423
"Kekurangan Fisik",BATUNUNGGAL,CIBANGKONG,979,22,3,5,2,2,1,0,0,0,2,3,1,1020
"Kekurangan Fisik",BATUNUNGGAL,SAMOJA,1006,2,5,0,1,2,0,0,1,0,2,0,0,1019
"Kekurangan Fisik",BATUNUNGGAL,KACAPIRING,448,0,1,1,0,2,0,1,0,0,1,0,2,456
"Kekurangan Fisik",BATUNUNGGAL,"KEBON WARU",825,8,2,0,0,0,3,0,1,0,2,0,0,841
