id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
1243620,"Belanja peralatan kebersihan dan bahan pembersih
",20000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN BANDUNG WETAN",2014,"Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan",Barang/jasa,Barang,"1 TAHUN","KECAMATAN BANDUNG WETAN","Belanja peralatan kebersihan dan bahan pembersih ",APBD," 20000000",5.2.30.03.2.01.05,"Penunjukan Langsung",01-04-2014,30-06-2014,01-04-2014,30-06-2014
1243683,"Belanja modal pengadaan Komputer/PC
",21500000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN BANDUNG WETAN",2014,"Pengadaan perlengkapan gedung kantor ",Modal,Barang,"2 BUAH","Kelurahan Cihapit Kecamatan Bandung Wetan ","Belanja modal pengadaan Komputer/PC ",APBD," 21500000",5.2.02.07.3.12.02,"Penunjukan Langsung",30-01-2014,28-03-2014,30-01-2014,28-03-2014
1243338,"Belanja Modal Pengadaan Kulkas
",5500000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN BANDUNG WETAN",2014,"Penyediaan peralatan rumah tangga ",Modal,Barang,"1 BUAH","KECAMATAN BANDUNG WETAN","Belanja Modal Pengadaan Kulkas ",APBD," 5500000",5.2.01.14.05,"Penunjukan Langsung",01-04-2014,30-06-2014,01-04-2014,30-06-2014
1243814,"Belanja modal Pengadaan Printer
",9500000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN BANDUNG WETAN",2014,"Pengadaan perlengkapan gedung kantor ",Modal,Barang,"2 BUAH","Kelurahan Citarum Kecamatan Bandung Wetan ","Belanja modal Pengadaan Printer ",APBD," 9500000",5.2.02.07.3.12.04,"Penunjukan Langsung",30-01-2014,28-03-2014,30-01-2014,28-03-2014
1243545,"Belanja Jasa Konsultasi Perencanaan
",34000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN BANDUNG WETAN",2014,"Rehabilitasi sedang/berat gedung kantor ",Barang/jasa,"Jasa Konsultansi","1 PAKET","KECAMATAN BANDUNG WETAN","Belanja Jasa Konsultasi Perencanaan ",APBD," 34000000",5.2.02.42.2.21.02,"Penunjukan Langsung",30-01-2014,28-03-2014,30-01-2014,28-03-2014
1243707,"Belanja modal pengadaan Konstruksi reservoir
",19000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN BANDUNG WETAN",2014,"Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan ",Modal,Barang,"4 buah","Kelurahan Cihapit Kecamatan Bandung Wetan ","Belanja modal pengadaan Konstruksi reservoir ",APBD," 19000000",5.2.30.03.3.07,"Penunjukan Langsung",30-01-2014,28-03-2014,30-01-2014,28-03-2014
1243429,"Belanja modal pengadaan Mesin Potong Rumput
",7500000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN BANDUNG WETAN",2014,"Pengadaan perlengkapan gedung kantor ",Barang/jasa,Barang,"1 BUAH","KECAMATAN BANDUNG WETAN ","Belanja modal pengadaan Mesin Potong Rumput ",APBD," 7500000",5.2.02.07.3.09.05,"Penunjukan Langsung",30-01-2014,28-03-2014,30-01-2014,28-03-2014
1243809,"Belanja modal Pengadaan Komputer Notebook
",21500000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN BANDUNG WETAN",2014,"Pengadaan perlengkapan gedung kantor ",Modal,Barang,"2 BUAH","Kelurahan Citarum Kecamatan Bandung Wetan ","Belanja modal Pengadaan Komputer Notebook",APBD," 21500000",5.2.02.07.3.12.03,"Penunjukan Langsung",30-01-2014,28-03-2014,30-01-2014,28-03-2014
1243633,"Belanja Souvenir",15000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN BANDUNG WETAN",2014,"Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan",Barang/jasa,Barang,"1 PAKET","KECAMATAN BANDUNG WETAN","Belanja Souvenir",APBD," 15000000",5.2.30.03.2.01.11,"Penunjukan Langsung",01-04-2014,30-06-2014,01-04-2014,30-06-2014
1243686,"Belanja modal pengadaan Komputer/Note Book
",20000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN BANDUNG WETAN",2014,"Pengadaan perlengkapan gedung kantor ",Modal,Barang,"2 BUAH","Kelurahan Cihapit Kecamatan Bandung Wetan ","Belanja modal pengadaan Komputer/Note Book ",APBD," 20000000",5.2.02.07.3.12.03,"Penunjukan Langsung",30-01-2014,28-03-2014,30-01-2014,28-03-2014
