id_site,nama_site,lokasi,kelurahan,kecamatan,nama_perusahaan,alamat_perusahaan_menara,latitude,longitude,type_menara,tower_height
120487109,CIGANITRI-STO-CIJAURA,"JL. CIGANITRI MUKTI, KEL.CIPAGALO, KEC.BOJONGSOANG, KAB.BANDUNG, JAWABARAT",-,-,PT.TOWER BERSAMA GROUP,"International Financial Centre 6th & 8th floor Jl. Jend. Sudirman Kav 22-23, Jakarta 12920",-6.96821,107.65646,GF/SST/31,31
120330109,STO-GEGERKALONG-SETRAMURNI,JL. SETRASARI II NO. 14 BANDUNG,-,-,PT.TOWER BERSAMA GROUP,"International Financial Centre 6th & 8th floor Jl. Jend. Sudirman Kav 22-23, Jakarta 12920",-6.87586,107.58801,GF/SST/42,42
121832109,SIMPANGLIMA-STEMBI,"RADIO DAHLIA, JL.BURANGRANG NO. 28 KEL.BURANGRANG KEC. LENGKONG BANDUNG",Burangrang,Lengkong,PT.TOWER BERSAMA GROUP,"International Financial Centre 6th & 8th floor Jl. Jend. Sudirman Kav 22-23, Jakarta 12920",-6.92581,107.61994,GF/SST/110,110
120484109,CICADAS-STO-BDG-TIMUR,"JL. A YANI NO. 635, KOTA BANDUNG",-,-,PT.TOWER BERSAMA GROUP,"International Financial Centre 6th & 8th floor Jl. Jend. Sudirman Kav 22-23, Jakarta 12920",-6.90792,107.6442,RT/Pole/18,18
120490109,STO-BDG-TIMUR-ATLAS-ANTAPANI,"JL. TERUSAN JALAN JAKARTA, NO. 109, ANTAPANI BANDUNG",Antapani Kulon,Antapani,PT.TOWER BERSAMA GROUP,"International Financial Centre 6th & 8th floor Jl. Jend. Sudirman Kav 22-23, Jakarta 12920",-6.91275,107.65535,RT/POLE/6,6
120478109,BABAKAN-SARI-SARI-INDAH,"JL. SETRAWANGI 4, RT 05, RW 15, KEL.BABAKAN SURABAYA, KEC. KIARA CONDONG BANDUNG",Babakan Surabaya,Kiaracondong,PT.TOWER BERSAMA GROUP,"International Financial Centre 6th & 8th floor Jl. Jend. Sudirman Kav 22-23, Jakarta 12920",-6.91883,107.65157,RT/MT /25,25
121915104,ANDIR,"JL. RAJAWALI TIMUR, NO. 167, RT/RW:01/09, KEL.DUNGUSCARIANG, KEC.ANDIR, BANDUNG",Dunguscariang,Andir,PT.TOWER BERSAMA GROUP,"International Financial Centre 6th & 8th floor Jl. Jend. Sudirman Kav 22-23, Jakarta 12920",-6.91511,107.58294,RT/SST/20,20
120712110,CIUMBULEUIT-CIDADAP,JL. CIGADUNG RAYA BARAT/ KAMPUNG CLPAHEUT KIDUL RT.03/RW.04 KEL.CIGADUNG KEC. CBEUNYLNG KALER KOTA BANDUNG,Cigadung,Cibeunying Kaler,PT.TOWER BERSAMA GROUP,"International Financial Centre 6th & 8th floor Jl. Jend. Sudirman Kav 22-23, Jakarta 12920",-6.87401,107.62329,GF/SST/42,42
120784109,KAUMKIDUL-PRMANGLAYANG,JL. DALEM KAUM NO. 85 RT 01 RW 08 KEL.CIKAWAO KEC. LENGKONG KOTA BANDUNG,Cikawao,Lengkong,PT.TOWER BERSAMA GROUP,"International Financial Centre 6th & 8th floor Jl. Jend. Sudirman Kav 22-23, Jakarta 12920",-6.92265,107.60941,RT/MT /25,25
120302109,BCAKOPO-KOPOLKRSEL,JL. LEUWIPANJANG 90 G RT01 RW04KOTA BANDUNG,-,-,PT.TOWER BERSAMA GROUP,"International Financial Centre 6th & 8th floor Jl. Jend. Sudirman Kav 22-23, Jakarta 12920",-6.94289,107.5957,RT/SST/25,25
