lokasi,nama_komoditas,2014-03-01,2014-03-02,2014-03-03,2014-03-04,2014-03-05,2014-03-06,2014-03-07,2014-03-08,2014-03-09,2014-03-10,2014-03-11,2014-03-12,2014-03-13,2014-03-14,2014-03-15,2014-03-16,2014-03-17,2014-03-18,2014-03-19,2014-03-20,2014-03-21,2014-03-22,2014-03-23,2014-03-24,2014-03-25,2014-03-26,2014-03-27,2014-03-28,2014-03-29,2014-03-30,2014-03-31
"Pasar Baru","Beras Medium",8500,0,0,0,8500,8500,8500,8500,8500,0,0,8500,8500,8500,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0
"Pasar Baru","Cabe Merah",26000,0,0,0,25000,25000,25000,26000,26000,0,0,26000,26000,26000,25000,25000,0,0,25000,25000,25000,25000,30000,0,0,30000,30000,30000,30000,30000,0
"Pasar Baru","Bawang Merah",15000,0,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0
"Pasar Baru","Daging Ayam Ras",28000,0,0,0,28000,28000,28000,28000,28000,0,0,27000,27000,27000,26000,26000,0,0,26000,26000,26000,26000,28000,0,0,28000,28000,28000,28000,28000,0
"Pasar Baru","Telur Ayam Ras",16000,0,0,0,16000,16000,16000,16000,16000,0,0,16000,16000,16000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,16000,0
"Pasar Baru","Daging Sapi",100000,0,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,0
"Pasar Baru","Minyak Goreng",13300,0,0,0,13300,13300,13300,13300,13300,0,0,13300,13300,13300,13300,13300,0,0,13300,13300,13300,13300,13300,0,0,13300,13300,13300,13300,13300,0
"Pasar Baru","Gula Pasir",11000,0,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0
"Pasar Baru",Kentang,14000,0,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,12000,0,0,12000,12000,12000,12000,12000,0
"Pasar Baru",Kedelai,12000,0,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0
