nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,20,0,0,4,8,27,17
Coblong,24,0,0,1,13,29,1
Babakan Ciparay,57,0,0,1,15,12,11
Bojongloa Kaler,40,0,0,1,12,48,1
Andir,16,0,0,2,5,9,0
Cicendo,44,0,0,8,0,24,1
Sukajadi,106,25,0,4,3,13,14
Cidadap,11,7,0,0,0,31,1
Bandung Wetan,15,9,0,3,1,15,9
Astana Anyar,125,30,0,0,5,130,3
Regol,29,3,0,6,0,15,9
Batununggal,36,0,0,1,13,19,0
Lengkong,14,0,0,2,2,18,3
Cibeunying Kidul,75,0,0,1,5,17,0
Bandung Kulon,11,0,0,12,15,52,33
Kiaracondong,10,0,0,0,0,3,1
Bojongloa Kidul,0,0,0,0,0,3,3
Cibeunying Kaler,0,0,0,0,0,5,0
Sumur Bandung,3,0,0,0,0,8,5
Antapani,15,0,0,0,0,3,5
Bandung Kidul,6,0,0,0,0,31,3
Buahbatu,5,0,0,0,0,26,1
Rancasari,5,0,0,0,0,49,4
Arcamanik,21,0,0,0,14,13,0
Cibiru,25,0,0,1,16,22,7
Ujung Berung,1,0,0,0,0,18,10
Gedebage,38,0,0,0,13,17,12
Panyileukan,2,0,0,0,1,12,0
Cinambo,97,10,0,0,4,16,0
Mandalajati,22,0,0,1,14,21,20
