NO,NAMA KOPERASI,ALAMAT,KELURAHAN,JUMLAH ANGGOTA,JENIS KOPERASI
1,Simpan Pinjam,Jl. Kalijati II No. 1 RT 01/04,Antapani Kulon,130 Orang,Simpan Pinjam
2,Simpan Pinjam RT 02/02,Jl. Jakarta 15 No. 10,Antapani Kulon,29 Orang,Simpan Pinjam
4,Mekarsari,Jl. Tanjungsari RW 05,Antapani Wetan,280 Orang,Simpan Pinjam
5,Sindangsari,Jl. Sindangsari RW 08,Antapani Wetan,50 Orang,Simpan Pinjam
6,Koperasi Simpan Pinjam - PKK RW 03,Jl. Malangbong V No. 8,Antapani Wetan,120 Orang,Simpa Pinjam 
7,Koperasi Simpan Pinjam ,Jl. Cihaurkuku RT 01/01,Antapani Wetan,35 Orang,Simpan Pinjam
8,Koperasi Rukun Warga 02,Jl. Subang 13 No 4,Antapani Tengah,151 Orang,Simpan Pinjam
9,Koperasi Warga RW 21,Jl. Cikajang 14 No. 65,Antapani Tengah,57 Orang ,Simpan Pinjam
10,Koperasi Melati,Jl. Plered V,Antapani Tengah,91 Orang,Simpan Pinjam
11,Koperasi Warga Sejahtera RW 01,Jl. Purwakarta 9/18,Antapani Kidul,126 Orang,Simpan Pinjam
12,Sonya Karya Wahana Cakti,Jl. Indramayu No 24,Antapani Kidul,5 Orang,
13,Koperasi Bandar Sejahtera,jl. Pratista barat A-69,Antapani Kidul,5 Orang,
14,Koperasi Syariah BMT,Jl. Purwakarta 82,Antapani Kidul,3 Orang,Koperasi Serba Usaha
15,Koperasi Putra sapta Usaha,Jl. Sariwates Indah IV No. 37,Antapani Kidul,4 Orang ,
16,UED - SP Amanah Sejahtera,Jl. Rengasdengklok ,Antapani Kidul,66 Orang,Simpan Pinjam
17,Koperasi Simpan Pinjam ,Jl. Purwakarta 3 No. 9,Antapani Kidul,148 Orang,Simpan Pinjam
18,Koperasi Simpan Pinjam ,Jl. Cicalengka III RW ,Antapani Kidul,58 Orang,Simpan Pinjam
