No,Nama Kecamatan,A,B,AB,O,A+,A-,B+,B-,AB+,AB-,O+,O-,Tidak Tahu
1., SUKASARI," 11,500 "," 7,499 "," 3,369 "," 10,948 ", 52 , 3 , 46 , 13 , 65 , 6 , 49 , 18 ," 36,569 "
2., COBLONG," 27,661 "," 13,157 "," 8,901 "," 21,291 ", 49 , 2 , 38 , 3 , 67 , 26 , 43 , 127 ," 56,874 "
3., BABAKAN CIPARAY," 15,697 "," 3,574 "," 2,447 "," 6,975 ", 32 , 3 , 17 , 2 , 15 , 25 , 21 , 93 ," 90,986 "
4., BOJONGLOA KALER," 6,733 "," 5,913 "," 4,635 "," 10,977 ", 32 , 2 , 20 , 3 , 22 , 21 , 15 , 25 ," 82,491 "
5., ANDIR," 17,031 "," 6,929 "," 4,383 "," 12,199 ", 33 , 5 , 24 , 6 , 9 , 6 , 11 , 25 ," 64,147 "
6., CICENDO," 12,946 "," 7,347 "," 3,689 "," 12,567 ", 54 , 9 , 76 , 16 , 62 , 17 , 83 , 115 ," 56,152 "
7., SUKAJADI," 14,097 "," 7,872 "," 4,023 "," 13,397 ", 92 , 10 , 106 , 21 , 114 , 62 , 71 , 195 ," 51,834 "
8., CIDADAP," 4,731 "," 2,643 "," 1,460 "," 5,321 ", 22 , 2 , 25 , 4 , 15 , 19 , 10 , 6 ," 33,240 "
9., BANDUNG WETAN," 8,818 "," 3,451 "," 2,563 "," 4,837 ", 34 , 2 , 31 , 4 , 41 , 9 , 31 , 20 ," 18,236 "
10., ASTANA ANYAR," 7,034 "," 5,716 "," 3,146 "," 11,393 ", 53 , 2 , 37 , 17 , 42 , 28 , 37 , 14 ," 40,529 "
11., REGOL," 20,019 "," 9,094 "," 5,832 "," 14,096 ", 30 , 1 , 17 , 11 , 17 , 8 , 8 , 113 ," 44,681 "
12., BATUNUNGGAL," 22,560 "," 8,858 "," 5,280 "," 14,140 ", 75 , 3 , 13 , 4 , 52 , 13 , 21 , 47 ," 63,421 "
13., LENGKONG," 20,031 "," 12,183 "," 6,522 "," 17,032 ", 159 , 17 , 813 , 39 , 112 , 34 , 138 , 50 ," 22,076 "
14., CIBEUNYING KIDUL," 12,576 "," 6,947 "," 3,446 "," 11,375 ", 53 , 6 , 39 , 10 , 52 , 18 , 37 , 176 ," 66,912 "
15., BANDUNG KULON," 8,880 "," 6,858 "," 3,758 "," 12,236 ", 64 , 6 , 34 , 2 , 32 , 31 , 89 , 25 ," 88,487 "
16., KIARACONDONG," 21,249 "," 11,661 "," 6,627 "," 18,779 ", 32 , 2 , 26 , 10 , 24 , 45 , 11 , 86 ," 65,226 "
17., BOJONGLOA KIDUL," 8,975 "," 3,877 "," 2,403 "," 6,851 ", 42 , 2 , 17 , 9 , 35 , 20 , 46 , 57 ," 55,839 "
18., CIBEUNYING KALER," 13,165 "," 8,173 "," 4,399 "," 12,120 ", 39 , 4 , 26 , 4 , 16 , 14 , 16 , 17 ," 29,734 "
19., SUMUR BANDUNG," 5,753 "," 2,822 "," 1,485 "," 5,127 ", 26 , 1 , 20 , 1 , 10 , 3 , 16 , 46 ," 26,096 "
20., ANTAPANI," 15,310 "," 10,297 "," 4,732 "," 14,874 ", 135 , 6 , 121 , 26 , 120 , 26 , 123 , 61 ," 22,874 "
21., BANDUNG KIDUL," 6,885 "," 4,493 "," 2,212 "," 7,947 ", 26 , 6 , 21 , 5 , 21 , 14 , 26 , 28 ," 29,489 "
22., BUAH BATU," 18,131 "," 10,678 "," 5,794 "," 16,173 ", 78 , 4 , 45 , 21 , 110 , 11 , 30 , 30 ," 49,606 "
23., RANCASARI," 17,846 "," 9,721 "," 4,742 "," 14,432 ", 102 , 11 , 122 , 35 , 134 , 43 , 107 , 96 ," 34,559 "
24., ARCAMANIK," 12,185 "," 7,759 "," 3,955 "," 12,331 ", 64 , 8 , 61 , 9 , 55 , 28 , 38 , 28 ," 28,973 "
25., CIBIRU," 16,197 "," 4,310 "," 3,284 "," 6,733 ", 45 , 1 , 27 , 14 , 28 , 22 , 28 , 46 ," 50,879 "
26., UJUNGBERUNG," 10,059 "," 6,799 "," 3,538 "," 11,938 ", 80 , 3 , 68 , 19 , 75 , 18 , 88 , 42 ," 42,074 "
27., GEDEBAGE," 4,895 "," 3,589 "," 1,652 "," 5,428 ", 27 , 2 , 24 , 7 , 24 , 38 , 23 , 14 ," 19,702 "
28., PANYILEUKAN," 4,762 "," 3,810 "," 1,832 "," 5,820 ", 30 , 4 , 27 , 11 , 32 , 3 , 32 , 24 ," 19,391 "
29., CINAMBO," 1,210 "," 1,125 ", 598 ," 1,961 ", 7 , 1 , 2 , - , 6 , 6 , 5 , 7 ," 17,457 "
30., MANDALAJATI," 8,185 "," 4,768 "," 2,342 "," 7,431 ", 21 , 3 , 25 , 4 , 122 , 11 , 10 , 53 ," 44,153 "
