KECAMATAN,ISLAM,KRISTEN,KATHOLIK,HINDU,BUDDHA,KONG HUCU,KEPERCAYAAN
SUKASARI,77715,4479,2215,136,216,4,4
COBLONG,128399,4522,2348,107,272,2,5
BABAKAN CIPARAY,129188,8512,3065,55,938,6,2
BOJONGLOA KALER,118090,9568,2090,40,971,25,2
ANDIR,103883,13304,4184,80,1968,9,5
CICENDO,95032,10381,4820,88,890,4,2
SUKAJADI,101143,6011,2732,78,358,9,1
CIDADAP,53043,2718,1551,49,301,4,0
BANDUNG WETAN,33634,3890,2591,58,330,4,5
ASTANA ANYAR,68744,11735,3316,29,2077,18,4
REGOL,86319,10437,4800,115,1507,12,1
BATUNUNGGAL,125182,4806,2209,48,346,2,0
LENGKONG,75104,6134,3229,172,775,8,3
CIBEUNYING KIDUL,114977,4806,1947,123,207,0,2
BANDUNG KULON,132271,10559,3204,59,1208,12,0
KIARACONDONG,133277,3926,1528,72,207,6,3
BOJONGLOA KIDUL,80040,7421,2642,21,893,19,1
CIBEUNYING KALER,71813,3377,1891,74,73,0,1
SUMUR BANDUNG,35790,4038,2360,90,610,8,11
ANTAPANI,74566,4857,1848,134,121,1,1
BANDUNG KIDUL,58287,2864,1843,56,239,4,0
BUAH BATU,102447,3703,1381,129,180,4,16
RANCASARI,88911,3378,1124,130,89,3,7
ARCAMANIK,73554,3599,1615,126,88,0,0
CIBIRU,84004,1771,554,81,18,0,0
UJUNGBERUNG,86934,1410,553,101,23,0,12
GEDEBAGE,40831,1394,577,38,74,5,0
PANYILEUKAN,39244,1177,439,65,30,0,0
CINAMBO,25802,806,326,56,48,0,0
MANDALAJATI,71630,1753,745,45,38,0,9
