id_satker,nama_satker,penyedia_paket,penyedia_pagu,kegiatan_swakelola,swakelola_pagu,penyedia_swakelola,total_pagu
71580,KECAMATAN MANDALAJATI,71,1772933996,3,175050000,74,1947983996
71585,KECAMATAN CINAMBO,81,2284821550,1,74000000,82,2358821550
71591,KECAMATAN PANYILEUKAN,104,3969767000,0,0,104,3969767000
71596,KECAMATAN GEDEBAGE,13,1467500000,0,0,13,1467500000
71598,KECAMATAN UJUNGBERUNG,74,3383110000,0,0,74,3383110000
71602,KECAMATAN CIBIRU,139,6288830000,0,0,139,6288830000
71607,KECAMATAN ARCAMANIK,56,4247950000,0,0,56,4247950000
71610,KECAMATAN RANCASARI,71,3144370000,251,1172006000,322,4316376000
71614,KECAMATAN BUAHBATU,11,1039250000,20,719241832,31,1758491832
71617,KECAMATAN BANDUNG KIDUL,27,1806720000,253,3051874500,280,4858594500
71625,KECAMATAN ANTAPANI,54,3372125000,102,3752975000,156,7125100000
71630,KECAMATAN SUMUR BANDUNG,72,2139752500,65,1653854500,137,3793607000
71636,KECAMATAN CIBEUNYING KALER,65,4202030000,12,225500000,77,4427530000
71641,KECAMATAN BOJONGLOA KIDUL,49,1357410000,21,1177430000,70,2534840000
71644,KECAMATAN KIARACONDONG,95,3197505500,118,1574964500,213,4772470000
71653,KECAMATAN BANDUNG KULON,88,4324428000,0,0,88,4324428000
71662,KECAMATAN CIBEUNYING KIDUL,48,836170000,73,1178041000,121,2014211000
71674,KECAMATAN LENGKONG,68,1185335000,176,5579365000,244,6764700000
71682,KECAMATAN BATUNUNGGAL,70,3895790000,0,0,70,3895790000
71688,KECAMATAN REGOL,67,2549870000,174,1493375000,241,4043245000
71974,KECAMATAN ASTANAANYAR,41,2605230000,172,4444070000,213,7049300000
71975,KECAMATAN BANDUNG WETAN,46,2213113000,51,1301475500,97,3514588500
71976,KECAMATAN CIDADAP,72,5424970000,0,0,72,5424970000
71977,KECAMATAN SUKAJADI,86,2231674700,108,3667325300,194,5899000000
71978,KECAMATAN CICENDO,73,2976138000,19,1411077000,92,4387215000
71979,KECAMATAN ANDIR,6,4474158986,0,0,6,4474158986
71980,KECAMATAN BOJONGLOA KALER,74,4712805000,77,1701870000,151,6414675000
71981,KECAMATAN BABAKAN CIPARAY,84,2941250000,200,4438323328,284,7379573328
71982,KECAMATAN COBLONG,53,4787400000,257,2193800000,310,6981200000
71983,KECAMATAN SUKASARI,75,4766005000,0,0,75,4766005000
71984,DINAS PEMUDA DAN OLAH RAGA,172,72699054000,5,1109700000,177,73808754000
71985,DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH,64,8263730000,0,0,64,8263730000
71986,DINAS PERTANIAN DAN KETAHANAN PANGAN,194,19974702900,2,280000000,196,20254702900
71987,DINAS KEBUDAYAAN DAN PARIWISATA,103,8562568500,0,0,103,8562568500
71988,DINAS KOMUNIKASI DAN INFORMATIKA,45,36678770000,57,3244555000,102,39923325000
71989,DINAS PELAYANAN PAJAK,193,31231650000,0,0,193,31231650000
71990,"DINAS KOPERASI, UKM & PERINDUSTRIAN PERDAGANGAN ",137,10531057400,392,8026588050,529,18557645450
71991,DINAS TENAGA KERJA,52,6380817800,116,3670124600,168,10050942400
71992,DINAS SOSIAL,117,15726249500,61,4026042150,178,19752291650
71993,DINAS TATA RUANG & CIPTAKARYA,153,1258042114000,0,0,153,1258042114000
71994,DINAS KEPENDUDUKAN & PENCATATAN SIPIL,52,4249750000,18,4844300000,70,9094050000
71995,DINAS PEMAKAMAN  DAN  PERTAMANAN,225,46948700000,0,0,225,46948700000
71996,DINAS PERHUBUNGAN,121,79523764118,3,866000000,124,80389764118
72000,DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN,83,15450299490,56,3611780760,139,19062080250
72004,DINAS BINA MARGA DAN PENGAIRAN,958,586070116809,1,300000000,959,586370116809
72005,DINAS KESEHATAN,253,70356596280,1,170000000,254,70526596280
72006,DINAS PENDIDIKAN,476,170437581189,478,18185088856,954,188622670045
72007,RUMAH SAKIT KHUSUS GIGI DAN MULUT,9,8468350000,6,970500000,15,9438850000
72008,RUMAH SAKIT KHUSUS IBU DAN ANAK,22,10186030000,0,0,22,10186030000
72010,RUMAH SAKIT UMUM DAERAH KOTA BANDUNG,28,26875323700,0,0,28,26875323700
72012,SATUAN POLISI PAMONG PRAJA,30,9793723500,31,14357301416,61,24151024916
72013,KANTOR PERPUSTAKAAN DAN ARSIP DAERAH,56,2548155000,27,426424000,83,2974579000
72015,BADAN PEMBERDAYAAN PEREMPUAN DAN KELUARGA BERENCANA,37,4251282000,0,0,37,4251282000
72017,BADAN PELAYANAN PERIZINAN TERPADU,56,15429885000,0,0,56,15429885000
72018,BADAN PENGELOLA LINGKUNGAN HIDUP,19,13488605000,62,17277260000,81,30765865000
72019,BADAN KESATUAN BANGSA DAN PEMBERDAYAAN MASYARAKAT,40,8175124300,44,4610125700,84,12785250000
72020,BADAN KEPEGAWAIAN DAERAH,46,2142980000,31,5956060000,77,8099040000
72022,BADAN PERENCANAAN DAN PEMBANGUNAN DAERAH,165,10123950000,178,5025215000,343,15149165000
72023,SEKRETARIAT DAERAH (NON BAGIAN),54,6160600000,0,0,54,6160600000
72026,BAGIAN PEMERINTAHAN UMUM,55,1380750000,0,0,55,1380750000
72027,BAGIAN UMUM & PERLENGKAPAN,152,21222352500,0,0,152,21222352500
72029,BAGIAN TATA USAHA SEKRETARIAT DAERAH,28,1035600000,37,713550000,65,1749150000
72031,BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN,43,2605405000,82,1353467000,125,3958872000
72032,BAGIAN PEMBANGUNAN DAN SUMBER DAYA ALAM,33,1345700000,0,0,33,1345700000
72035,BAGIAN PEREKONOMIAN,34,1483543000,17,2347457000,51,3831000000
72036,BAGIAN ORGANISASI & PEMBERDAYAAN APARATUR DAERAH,44,2189942500,58,2068290250,102,4258232750
72037,BAGIAN HUKUM & HAM,40,2095570000,19,2870930000,59,4966500000
72038,ASISTEN ADMINISTRASI UMUM,8,309400000,2,435400000,10,744800000
72040,ASISTEN ADMINISTRASI PEREKONOMIAN & PEMBANGUNAN,8,222055000,17,666445000,25,888500000
72042,ASISTEN PEMERINTAHAN,8,623750000,7,130500000,15,754250000
72044,SEKRETARIAT DPRD,186,19319589100,76,59486018360,262,78805607460
72051,INSPEKTORAT KOTA,12,677630000,90,1866345000,102,2543975000
72208,BAGIAN KERJASAMA,18,551250000,11,4025550000,29,4576800000
78150,KPU KOTA BANDUNG,0,0,0,0,0,0
83370,PDAM TIRTAWENING KOTA BANDUNG,0,0,0,0,0,0
90507,PD KEBERSIHAN KOTA BANDUNG,0,0,0,0,0,0
