id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
6523712,"Belanja Modal Gedung dan Bangunan - Rehab gedung kantor dan Honorarium Tim PBJ Kecamatan Bandung Kidul",200000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2016,"Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Kantor Kecamatan Bandung Kidul",Modal,"Pekerjaan Konstruksi","1 Paket","Kecamatan Bandung Kidul","Renovasi Ruang Tramtib, PKK, dan Lembaga Kemasyarakatan dan Honorarium Tim PBJ",APBD," 200000000",1.20.1.20.35.01.02.26.5.2.2.49.01,"Penunjukan Langsung",01-06-2016,01-07-2016,01-06-2016,01-07-2016
6683398,"Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer - PIPPK RW - Kelurahan Kujangsari",23100000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2016,"Penyediaan Peralatan dan Perlengkapan Kantor Kelurahan Kujangsari",Modal,Barang,"3 Paket","Kelurahan Kujangsari","Pengadaan Komputer PC dan Honorarium Tim PBJ",APBD," 23100000",1.20.1.20.35.05.01.13.5.2.3.29.02,"Pengadaan Langsung",01-04-2016,01-05-2016,01-04-2016,01-05-2016
6645161,"Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor Lainnya - PIPPK PKK dan Karang Taruna - Kelurahan Batununggal",6250000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2016,"Penyediaan Peralatan dan Perlengkapan Kantor Kelurahan Batununggal",Modal,Barang,"3 Paket","Kelurahan Batununggal","Pengadaan plang/papan nama/papan data PKK dan Karang Taruna",APBD," 6250000",1.20.1.20.35.02.01.13.5.2.3.27.05,"Pengadaan Langsung",01-04-2016,01-05-2016,01-04-2016,01-05-2016
6603407,"Belanja Perawatan Kendaraan Bermotor - Belanja Penggantian Suku Cadang - Kecamatan Bandung Kidul",62000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2016,"Pemeliharaan rutin/berkala kendaraan dinas/operasional Kecamatan Bandung Kidul",Barang/jasa,Barang,"12 Bulan","Kecamatan Bandung Kidul","Belanja Penggantian Suku Cadang",APBD," 62000000",1.20.1.20.35.01.02.24.5.2.2.05.02,"Pengadaan Langsung",01-06-2016,01-07-2016,01-06-2016,01-07-2016
6829228,"Belanja Bahan/Bibit Tanaman - PIPPK Karang Taruna - Kelurahan Kujangsari",10000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup Karang Taruna - Kelurahan Kujangsari",Barang/jasa,Barang,"1 Paket","Kelurahan Kujangsari","Belanja tanaman untuk Urban Farming",APBD," 10000000",1.20.1.20.35.05.22.03.5.2.2.02.02,"Pengadaan Langsung",01-04-2016,01-05-2016,01-04-2016,01-05-2016
6466241,"Belanja Modal Peralatan dan Mesin - Pengadaan Mesin Ketik  - Pengadaan Mesin Tik Elektrik - Kecamatan Bandung Kidul",5000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2016,"Penyediaan peralatan dan perlengkapan kantor Kecamatan Bandung Kidul",Modal,Barang,"2 Buah","Kecamatan Bandung Kidul","Pengadaan Mesin Tik Elektrik",APBD," 5000000",1.20.1.20.35.01.01.13.5.2.3.27.01,"Pengadaan Langsung",01-03-2016,01-04-2016,01-03-2016,01-04-2016
6683454,"Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Personal Komputer - Kelurahan Kujangsari",2500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2016,"Pengadaan Peralatan dan Pengadaan Alat Kantor Kelurahan Kujangsari",Modal,Barang,"1 Paket","Kelurahan Kujangsari","Pengadaan printer",APBD," 2500000",1.20.1.20.35.05.02.12.5.2.3.29.05,"Pengadaan Langsung",01-02-2016,01-03-2016,01-02-2016,01-03-2016
6643338,"Belanja Modal Peralatan dan Mesin - Pengadaan Pompa - PIPPK RW - Kelurahan Batununggal",18000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2016,"Penyediaan Peralatan dan Perlengkapan Kantor Kelurahan Batununggal",Modal,Barang,"2 Paket","Kelurahan Batununggal","Pengadaan Pompa RW 07, 10, dan Honorarium Tim PBJ PIPPK RW",APBD," 18000000",1.20.1.20.35.02.01.13.5.2.3.16.05,"Pengadaan Langsung",01-04-2016,01-05-2016,01-04-2016,01-05-2016
6665887,"Belanja Mdal Peralatan dan Mesin - Pengadaan Alat Komunikasi Telephone - PIPPK RW - Kelurahan Wates",6000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2016,"Penyediaan Peralatan dan Perlengkapan Kantor Kelurahan Wates",Modal,Barang,"1 Paket","Kelurahan Wates","Pengadaan alat komunikasi HT untuk Linmas PIPPK RW",APBD," 6000000",1.20.1.20.35.03.01.13.5.2.3.32.01,"Pengadaan Langsung",01-04-2016,01-05-2016,01-04-2016,01-05-2016
6666425,"Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer - Kelurahan Wates",17000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2016,"Pengadaan Perlengkapan Peralatan Aparatur Kelurahan Wates",Modal,Barang,"1 Paket","Kelurahan Wates","Pengadaan Laptop dan Honorarium Tim PBJ",APBD," 17000000",1.20.1.20.35.03.02.12.5.2.3.29.02,"Pengadaan Langsung",01-03-2016,01-04-2016,01-03-2016,01-04-2016
