Kecamatan,pria,wanita
Sukasari,40588,38122
Coblong,68283,62158
Babakan Ciparay,59657,55573
Bojongloa Kaler,66913,62798
Andir,64732,60443
Cicendo,36485,34245
Sukajadi,58341,55142
Cidadap,31925,28040
Bandung Wetan,24493,21995
Astana Anyar,42155,39891
Regol,29981,28176
Batununggal,39412,37854
Lengkong,46617,43737
Cibeunying Kidul,69429,63311
Bandung Kulon,68686,65285
Kiaracondong,67568,64181
Bojongloa Kidul,44435,40409
Cibeunying Kaler,42578,38843
Sumur Bandung,28027,24757
Antapani,23273,21477
Bandung Kidul,26836,25594
Buah Batu,51652,48718
Rancasari,51037,47964
Arcamanik,39804,37452
Cibiru,39027,35124
Ujungberung,33376,31076
Gedebage,37502,35307
Panyileukan,13165,12066
Cinambo,22622,20698
Mandalajati,19834,18991
