id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
709794,"Belanja Perjalanan Dinas dalam daerah",1000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CINAMBO",2014,"Belanja Perjalanan Dinas",Barang/jasa,"Jasa Lainnya","1 Tahun","kecamatan cinambo","kegiatan ini dilaksanakan pada bulan Maret 2014 sampai Desember 2014",APBD," 1000000",1.20.1.20.38.01.5.2.30.01.2.15.01,"Pengadaan Langsung",03-03-2014,31-12-2015,04-03-2014,31-12-2015
709319,"Belanja makanan dan minuman rapat",2000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CINAMBO",2014,"Belanja Makanan dan Minuman Rapat",Barang/jasa,"Jasa Lainnya","1 Tahun","kecamatan cinambo","kegiatan ini dilakukan pada bulan Oktober 2014",APBD," 2000000",1.20.1.20.38.01.5.2.06.04.2.11.02,"Pengadaan Langsung",01-10-2014,08-10-2014,09-10-2014,31-12-2015
666492,"Penyusunan pelaporan keuangan akhir tahun",17225000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CINAMBO",2014,"Program Peningkatan Pengembangan Sistem Pelaporan Capaian Kinerja dan Keuangan",Barang/jasa,"Jasa Lainnya","1 Dokumen","Kecamatan Cinambo","Pelaksanaan kegiatan ini dilakukan mulai dari awal bulan Januari sampai dengan akhir bulan Desember tahun 2014.",APBD," 17225000",1.20.1.20.38.06.04,"Pengadaan Langsung",21-02-2014,31-12-2015,21-02-2014,31-12-2015
665865,"Penyediaan bahan bacaan dan peraturan perundang-undangan ",6000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CINAMBO",2014,"Program Pelayanan Administrasi Perkantoran",Barang/jasa,Barang,"1 Tahun","1 Tahun","Pelaksanaan kegiatan ini dilakukan dari mulai awal bulan Januari sampai dengan akhir bulan Desember tahun 2014.",APBD," 6000000",1.20.1.20.38.01.15,"Pengadaan Langsung",21-02-2014,31-12-2015,21-02-2014,31-12-2015
691952,"Belanja Modal Pengadaan Komputer Note Book",73200000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CINAMBO",2014,"Belanja Modal Pengadaan Komputer",Modal,Barang,"8 unit","Kecamatan Cinambo","Pelaksanaan Kegiatan ini dilakukan pada Pertengahan Mei sampai dengan awal Juni 2014",APBD," 73200000",1.20.1.20.38.01.5.2.01.13.3.12.03,"Pengadaan Langsung",01-05-2014,15-05-2014,16-05-2014,06-06-2014
665739,"Belanja Cetak",12400000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CINAMBO",2014,"Penyediaan barang cetakan dan penggandaan ",Barang/jasa,Barang,"12 bulan","Kecamatan Cinambo","Pelaksanaan dilakukan dari mulai awal bulan Januari sampai dengan akhir bulan Desember tahun 2014.",APBD," 12400000",1.20.38.01.5.2.01.11.2.06.01,"Pengadaan Langsung",21-02-2014,31-12-2015,21-02-2014,31-12-2015
665909,"Penyediaan makanan dan minuman",114075775,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CINAMBO",2014,"Program Pelayanan Administrasi Perkantoran",Barang/jasa,Barang,"4 Kegiatan","Kecamatan Cinambo","Pelaksanaan kegiatan ini dilakukan mulai awal bulan Januari sampai dengan akhir bulan Desember tahun 2014.",APBD," 114075775",1.20.1.20.38.01.17,"Pengadaan Langsung",21-02-2014,31-12-2015,21-02-2014,31-12-2015
705373,"Belanja Perjalanan Dinas Dalam Daerah",10700000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CINAMBO",2014,"Belanja Perjalanan Dinas",Barang/jasa,"Jasa Lainnya","1 Tahun","Kecamatan Cinambo","Pelaksanaan Kegiatan ini dilakukan dari awal sampai akhir tahun 2014",APBD," 10700000",1.20.1.20.38.01.5.2.01.18.2.15.01,"Pengadaan Langsung",25-02-2014,12-12-2014,25-02-2014,31-12-2015
666339,"Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD",29000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CINAMBO",2014,"Program Peningkatan Pengembangan Sistem Pelaporan Capaian Kinerja dan Keuangan",Barang/jasa,"Jasa Lainnya","5 Dokumen","Kecamatan Cinambo","Pelaksanaan kegiatan ini dilakukan dari mulai awal bulan Januari sampai dengan akhir bulan Desember tahun 2014.",APBD," 29000000",1.20.1.20.38.06.01,"Pengadaan Langsung",21-02-2014,31-12-2015,21-02-2014,31-12-2015
708057,"Belanja perjalanan dinas dalam daerah",1000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CINAMBO",2014,"Belanja Perjalanan Dinas",Barang/jasa,"Jasa Lainnya","1 Tahun","kecamatan cinambo","kegiatan ini dilaksanakan pada bulan Maret 2014",APBD," 1000000",1.20.1.20.38.01.5.2.06.01.2.15.01,"Pengadaan Langsung",25-02-2014,12-12-2014,25-02-2014,31-12-2015
710132,"Honorarium Panitia Pelaksana Kegiatan",4425000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CINAMBO",2014,"Honorarium PNS",Barang/jasa,"Jasa Lainnya","1 Tahun","kecamatan cinambo","kegiatan ini dilaksanakan pada bulan Maret 2014 sampai Desember 2014",APBD," 4425000",1.20.1.20.38.01.5.2.30.02.1.01.01,"Pengadaan Langsung",03-03-2014,31-12-2015,04-03-2014,31-12-2015
693001,"Belanja Modal pengadaan Rak buku/TV/Kembang",8000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CINAMBO",2014,"Belanja Modal pengadaan Mebeulair",Modal,Barang,"4 unit","Kecamatan Cinambo","Pelaksanaan Kegiatan ini dilaksanakan pada pertengahan Bulan Juni sampai awal bulan Juli",APBD," 8000000",1.20.1.20.38.01.5.2.01.13.3.13.09,"Pengadaan Langsung",02-06-2014,16-06-2014,17-06-2014,01-07-2014
665468,"Belanja Telepon",5004000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CINAMBO",2014,"Program Pelayanan Administrasi Perkantoran",Barang/jasa,Barang,"12 bulan","Kecamatan Cinambo","Pengadaan ini dilakukan pada awal Januari 2014 sampai akhir Desember 2014 dan di bayarkan pertiap bulan",APBD," 5004000",1.20.1.20.38.01.02.2.03.01,"Pengadaan Langsung",21-02-2014,19-12-2014,21-02-2014,19-12-2014
665787,"Belanja Alat Listrik dan Elektronik ",4000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CINAMBO",2014,"Penyediaan peralatan dan perlengkapan kantor",Barang/jasa,Barang,"2 bulan","Kecamatan Cinambo","Pelaksanaan kegiatan ini dilakukan dari mulai awal bulan Mei sampai dengan akhir bulan Juni tahun 2014.",APBD," 4000000",1.20.1.20.38.01.5.2.01.13.2.01.03,"Pengadaan Langsung",01-05-2014,30-06-2014,01-05-2014,30-06-2014
