nama_kecamatan,iud_sisa_bulan_lalu,kondom_sisa_bulan_lalu,implant_sisa_bulan_lalu,suntikan_sisa_bulan_lalu,pil_sisa_bulan_lalu,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_sisa_akhir_bulan_ini,kondom_sisa_akhir_bulan_ini,implant_sisa_akhir_bulan_ini,suntikan_sisa_akhir_bulan_ini,pil_sisa_akhir_bulan_ini
Sukasari,53,36,66,99,351,0,12,0,180,0,9,16,2,216,59,44,32,64,63,292
Coblong,60,47,38,125,476,25,12,0,20,0,27,2,1,131,11,58,57,37,14,465
Babakan Ciparay,118,98,16,237,224,7,0,0,0,0,17,21,0,62,44,108,77,16,175,180
Bojongloa Kaler,69,44,11,23,102,58,24,7,200,200,58,20,7,183,57,69,48,11,40,245
Andir,148,90,17,368,441,50,24,0,100,10,18,2,3,158,14,180,112,14,310,437
Cicendo,25,428,0,31,226,45,5,0,100,100,40,16,0,76,58,30,417,0,55,268
Sukajadi,81,29,0,9,113,125,0,1,568,200,118,12,1,546,161,88,17,0,31,152
Cidadap,119,40,7,238,354,0,0,0,0,0,8,0,0,90,5,111,40,7,148,349
Bandung Wetan,20,60,12,101,393,25,44,0,60,100,15,7,0,66,7,30,97,12,95,486
Astana Anyar,180,564,7,469,659,50,0,3,100,0,75,7,3,241,48,155,557,7,328,611
Regol,43,102,0,277,232,50,12,0,260,200,37,5,0,89,38,56,109,0,448,394
Batununggal,68,33,9,107,213,55,48,12,190,0,65,8,13,250,32,58,73,8,47,181
Lengkong,111,131,35,291,454,0,36,10,180,200,18,15,8,238,68,93,152,37,233,586
Cibeunying Kidul,43,89,93,30,270,0,2,10,40,0,7,4,0,47,20,36,87,103,23,250
Bandung Kulon,79,16,8,350,575,0,36,0,80,100,6,19,1,112,65,73,33,7,318,610
Kiaracondong,123,35,11,121,219,0,12,0,20,100,3,6,2,79,98,120,41,9,62,221
Bojongloa Kidul,3,6,0,65,40,0,0,0,0,0,3,0,0,4,20,0,6,0,61,20
Cibeunying Kaler,12,8,10,2,70,0,24,0,0,0,11,18,0,0,22,1,14,10,2,48
Sumur Bandung,46,32,0,94,258,0,12,0,100,0,8,7,0,56,10,38,37,0,138,248
Antapani,58,85,13,51,153,0,36,0,40,0,2,8,0,71,72,56,113,13,20,81
Bandung Kidul,77,27,15,132,503,0,12,0,20,17,2,2,0,113,16,75,37,15,39,504
Buahbatu,84,77,22,41,211,0,24,0,140,0,8,13,2,152,59,76,88,20,29,152
Rancasari,26,30,10,102,171,0,12,0,60,0,3,5,0,94,26,23,37,10,68,145
Arcamanik,31,63,6,33,230,0,36,0,40,0,11,21,0,56,22,20,78,6,17,208
Cibiru,85,37,40,77,255,0,36,0,314,102,11,8,1,351,190,74,65,39,40,167
Ujung Berung,18,0,0,15,10,0,12,0,25,90,18,0,0,36,23,0,12,0,4,77
Gedebage,44,35,27,136,431,0,12,20,20,0,17,14,7,58,52,27,33,40,98,379
Panyileukan,59,10,18,87,141,0,12,0,52,0,6,4,0,77,23,53,18,18,62,118
Cinambo,386,15,63,244,330,0,0,0,33,0,103,0,15,52,10,283,15,48,225,320
Mandalajati,46,24,13,159,249,0,0,0,0,0,14,0,0,26,6,32,24,13,133,243
