nama_kecamatan,tipe_kredit,jumlah,jumlah_kredit
Lengkong,Perorangan,22,147500000
Lengkong,Kelompok,34,215000000
Buah Batu,Perorangan,26,246500000
Buah Batu,Kelompok,31,165000000
Panyileukan,Perorangan,11,89900000
Panyileukan,Kelompok,5,25000000
Rancasari,Perorangan,18,151500000
Rancasari,Kelompok,5,32500000
Cibeunying Kaler,Perorangan,11,90000000
Cibeunying Kaler,Kelompok,11,85000000
Batununggal,Perorangan,58,340000000
Batununggal,Kelompok,50,381500000
Antapani,Perorangan,25,269500000
Antapani,Kelompok,17,105500000
Cibeunying Kidul,Perorangan,42,345550000
Cibeunying Kidul,Kelompok,28,199500000
Cicendo,Perorangan,36,275800000
Cicendo,Kelompok,13,127500000
Kiaracondong,Perorangan,49,404850000
Kiaracondong,Kelompok,39,237500000
Bandung Wetan,Perorangan,6,55000000
Bandung Wetan,Kelompok,13,65000000
Arcamanik,Perorangan,16,94400000
Arcamanik,Kelompok,5,25000000
Coblong,Perorangan,20,157000000
Coblong,Kelompok,30,183500000
Ujung Berung,Perorangan,13,82100000
Ujung Berung,Kelompok,19,147000000
Cinambo,Perorangan,6,36500000
Cinambo,Kelompok,10,52000000
Regol,Perorangan,24,172500000
Regol,Kelompok,32,186000000
Bojong Loa Kaler,Perorangan,52,322700000
Bojong Loa Kaler,Kelompok,13,100000000
Bandung Kulon,Perorangan,24,234100000
Bandung Kulon,Kelompok,22,177500000
Sumur Bandung,Perorangan,23,154000000
Sumur Bandung,Kelompok,27,150000000
Cibiru,Perorangan,17,115750000
Cibiru,Kelompok,38,320500000
Bojong Loa Kidul,Perorangan,21,189000000
Bojong Loa Kidul,Kelompok,7,45000000
