nama_kecamatan,jumlah_pengguna_IUD,persentase_pengguna_IUD,jumlah_pengguna_MOW,persentase_pengguna_MOW,jumlah_pengguna_MOP,persentase_pengguna_MOP,jumlah_pengguna_kondom,persentase_pengguna_kondom,jumlah_pengguna_implan,persentase_pengguna_implan,jumlah_pengguna_suntikan,persentase_pengguna_suntikan,jumlah_pengguna_pil,persentase_pengguna_pil,jumlah_peserta_kb_aktif
Sukasari,1818,28.94,175,2.79,12,0.19,160,2.55,69,1.1,2940,46.79,1109,17.65,6283
Coblong,4342,35.23,1202,9.75,23,0.19,686,5.57,262,2.13,4386,35.59,1423,11.55,12324
Babakan Ciparay,3428,20.04,245,1.43,26,0.15,104,0.61,254,1.49,10399,60.8,2647,15.48,17103
Bojongloa Kaler,5518,39.58,446,3.2,56,0.4,233,1.67,190,1.36,4623,33.16,2877,20.63,13943
Andir,2282,22.55,750,7.41,19,0.19,154,1.52,269,2.66,4181,41.31,2465,24.36,10120
Cicendo,2623,27.43,511,5.34,32,0.33,223,2.33,156,1.63,4127,43.16,1890,19.77,9562
Sukajadi,3178,27.86,1977,17.33,37,0.32,542,4.75,154,1.35,3458,30.31,2063,18.08,11409
Cidadap,1313,21.46,228,3.73,7,0.11,101,1.65,517,8.45,3003,49.08,949,15.51,6118
Bandung Wetan,1580,46.25,422,12.35,27,0.79,106,3.1,101,2.96,742,21.72,438,12.82,3416
Astana Anyar,2301,33.92,265,3.91,43,0.63,176,2.59,231,3.41,2834,41.78,933,13.75,6783
Regol,4442,53.1,379,4.53,279,3.33,24,0.29,125,1.49,2578,30.82,539,6.44,8366
Batununggal,3473,30.17,273,2.37,18,0.16,208,1.81,84,0.73,5510,47.87,1944,16.89,11510
Lengkong,2086,41.57,222,4.42,15,0.3,190,3.79,186,3.71,1745,34.77,574,11.44,5018
Cibeunying Kidul,3867,32.17,1125,9.36,53,0.44,233,1.94,83,0.69,5171,43.01,1490,12.39,12022
Bandung Kulon,4580,43.47,282,2.68,10,0.09,139,1.32,1959,18.59,1947,18.48,1620,15.37,10537
Kiaracondong,3753,26.97,228,1.64,20,0.14,444,3.19,157,1.13,6559,47.13,2756,19.8,13917
Bojongloa Kidul,2217,23.23,125,1.31,32,0.34,28,0.29,231,2.42,6109,64.02,800,8.38,9542
Cibeunying Kaler,3070,41.46,228,3.08,34,0.46,132,1.78,196,2.65,2400,32.41,1344,18.15,7404
Sumur Bandung,828,32.28,99,3.86,2,0.08,154,6,69,2.69,918,35.79,495,19.3,2565
Antapani,2850,39.35,169,2.33,31,0.43,215,2.97,78,1.08,2974,41.06,926,12.78,7243
Bandung Kidul,649,23.01,58,2.06,7,0.25,83,2.94,22,0.78,1461,51.81,540,19.15,2820
Buahbatu,2706,31.9,127,1.5,26,0.31,151,1.78,123,1.45,4087,48.18,1263,14.89,8483
Rancasari,3724,38.8,376,3.92,25,0.26,236,2.46,78,0.81,4182,43.57,978,10.19,9599
Arcamanik,2300,33.71,236,3.46,24,0.35,111,1.63,378,5.54,2968,43.51,805,11.8,6822
Cibiru,1314,19.48,127,1.88,31,0.46,144,2.13,230,3.41,3590,53.22,1309,19.41,6745
Ujung Berung,8165,67.33,126,1.04,58,0.48,248,2.05,324,2.67,1536,12.67,1670,13.77,12127
Gedebage,1852,37.67,531,10.8,101,2.05,164,3.34,106,2.16,1755,35.69,408,8.3,4917
Panyileukan,1493,38.15,133,3.4,4,0.1,176,4.5,76,1.94,1436,36.7,595,15.21,3913
Cinambo,861,27.34,66,2.1,9,0.29,58,1.84,34,1.08,1568,49.79,553,17.56,3149
Mandalajati,1960,23.78,276,3.35,10,0.12,172,2.09,142,1.72,4019,48.76,1663,20.18,8242
